aug_name,sweep_idx,param_json,status,error,val_acc,val_auc,val_eer,val_tpr,val_tnr,val_fpr,val_fnr
pitch_up,1,"{""semitones"": 1}",ok,,,,,,,,
pitch_up,2,"{""semitones"": 2}",ok,,,,,,,,
pitch_up,3,"{""semitones"": 3}",ok,,,,,,,,
pitch_up,4,"{""semitones"": 4}",ok,,,,,,,,
pitch_up,5,"{""semitones"": 5}",ok,,,,,,,,
pitch_down,1,"{""semitones"": 1}",ok,,,,,,,,
pitch_down,2,"{""semitones"": 2}",ok,,,,,,,,
pitch_down,3,"{""semitones"": 3}",ok,,,,,,,,
pitch_down,4,"{""semitones"": 4}",ok,,,,,,,,
pitch_down,5,"{""semitones"": 5}",ok,,,,,,,,
phase_noise,1,"{""noise_level"": 0.003}",ok,,,,,,,,
phase_noise,2,"{""noise_level"": 0.006}",ok,,,,,,,,
phase_noise,3,"{""noise_level"": 0.012}",ok,,,,,,,,
phase_noise,4,"{""noise_level"": 0.02}",ok,,,,,,,,
phase_noise,5,"{""noise_level"": 0.03}",ok,,,,,,,,
amp_scale,1,"{""scale"": 0.8}",ok,,,,,,,,
amp_scale,2,"{""scale"": 0.9}",ok,,,,,,,,
amp_scale,3,"{""scale"": 1.0}",ok,,,,,,,,
amp_scale,4,"{""scale"": 1.1}",ok,,,,,,,,
amp_scale,5,"{""scale"": 1.2}",ok,,,,,,,,
volume,1,"{""gain_db"": -6.0}",ok,,,,,,,,
volume,2,"{""gain_db"": -3.0}",ok,,,,,,,,
volume,3,"{""gain_db"": 0.0}",ok,,,,,,,,
volume,4,"{""gain_db"": 3.0}",ok,,,,,,,,
volume,5,"{""gain_db"": 6.0}",ok,,,,,,,,
additive_noise,1,"{""snr_db"": 40}",ok,,,,,,,,
additive_noise,2,"{""snr_db"": 32}",ok,,,,,,,,
additive_noise,3,"{""snr_db"": 24}",ok,,,,,,,,
additive_noise,4,"{""snr_db"": 16}",ok,,,,,,,,
additive_noise,5,"{""snr_db"": 8}",ok,,,,,,,,
time_stretch,1,"{""rate"": 0.75}",ok,,,,,,,,
time_stretch,2,"{""rate"": 0.9}",ok,,,,,,,,
time_stretch,3,"{""rate"": 1.07}",ok,,,,,,,,
time_stretch,4,"{""rate"": 1.25}",ok,,,,,,,,
time_stretch,5,"{""rate"": 1.5}",ok,,,,,,,,
lowpass,1,"{""cutoff_hz"": 7000}",ok,,,,,,,,
lowpass,2,"{""cutoff_hz"": 5000}",ok,,,,,,,,
lowpass,3,"{""cutoff_hz"": 3500}",ok,,,,,,,,
lowpass,4,"{""cutoff_hz"": 2500}",ok,,,,,,,,
lowpass,5,"{""cutoff_hz"": 1500}",ok,,,,,,,,
highpass,1,"{""cutoff_hz"": 40}",ok,,,,,,,,
highpass,2,"{""cutoff_hz"": 80}",ok,,,,,,,,
highpass,3,"{""cutoff_hz"": 120}",ok,,,,,,,,
highpass,4,"{""cutoff_hz"": 200}",ok,,,,,,,,
highpass,5,"{""cutoff_hz"": 350}",ok,,,,,,,,
reverberation,1,"{""room_scale"": 0.25, ""t60"": 0.2}",ok,,,,,,,,
reverberation,2,"{""room_scale"": 0.4, ""t60"": 0.35}",ok,,,,,,,,
reverberation,3,"{""room_scale"": 0.5, ""t60"": 0.5}",ok,,,,,,,,
reverberation,4,"{""room_scale"": 0.65, ""t60"": 0.7}",ok,,,,,,,,
reverberation,5,"{""room_scale"": 0.8, ""t60"": 0.9}",ok,,,,,,,,
codec_mulaw,1,{},ok,,,,,,,,
