left_out,rho,p,loso_r2
Cartesia.ai (Sonic-3)|en,0.59672131147541,4.858789551361929e-07,0.27328672798821685
Chatterbox|en,0.5947763267574327,5.4084724047297e-07,0.27352950371494666
DeepGram|en,0.5982217282578495,4.4710594142338553e-07,0.27499103256302415
Edge-TTS|en,0.6129480411225341,1.9315967090635118e-07,0.29017716370132995
FireRedTTS-2.0|en,0.5798833009169214,1.2010685720950318e-06,0.21362344144270684
FishTTS|en,0.5947763267574327,5.4084724047297e-07,0.27367115588436086
Higgs-Audio-V2|en,0.5799944429008059,1.194112907406976e-06,0.23866514894108337
Index-TTS-1.5|en,0.5800500138927481,1.1906492373696628e-06,0.24242790378736567
Index-TTS-2.0|en,0.6003889969435956,3.9619980375594264e-07,0.2855803583130315
Indri-TTS-0.1|en,0.6056682411781051,2.940373686192779e-07,0.2780402278062798
Kani-TTS-370M|en,0.5985551542095028,4.388936253782751e-07,0.2817789477292
Kitten-TTS-Nano-0.1|en,0.5989441511530982,4.2949162810891795e-07,0.2744643282706032
Kitten-TTS-Nano-0.2|en,0.5905529313698251,6.809256203380047e-07,0.2696483450638183
Kyutai-TTS|en,0.5952764656849125,5.261805329245671e-07,0.272096167251592
Llasa-1B-Multilingual|en,0.613448180050014,1.8759009888015129e-07,0.28729001137713506
Llasa-8B|en,0.5969435954431788,4.799421850029172e-07,0.36298884062537207
Mars5|en,0.5872186718532927,8.148325681064906e-07,0.2697179526458775
MatchaTTS|en,0.5956098916365659,5.166109954047466e-07,0.2715195753863203
Maya1 TTS|en,0.5958877465962769,5.087614042417609e-07,0.27562125913697544
MegaTTS3|en,0.6046679633231454,3.1125875958292463e-07,0.27991379750011536
MeloTTS|en,0.5938316198944154,5.69603461379e-07,0.2704077284093064
Metavoice-1B|en,0.6063906640733537,2.8216103543457044e-07,0.2811368162094432
Microsoft VibeVoice 1.5B|en,0.6317310363989999,6.210292110639978e-08,0.2910452586457646
Microsoft VibeVoice Large|en,0.6012781328146709,3.7693374704495507e-07,0.2756983722221271
MiniCPM-o-2.6|en,0.5938871908863576,5.678729679492098e-07,0.2744377657713569
Nari Dia-1.6B|en,0.6288413448180051,7.431376785154767e-08,0.3090403774826227
Nari Dia2|en,0.5957766046123925,5.118877110740392e-07,0.2762704052334113
NeuTTS-Air|en,0.5975548763545431,4.639652377761256e-07,0.2799260069616919
OpenVoiceV2|en,0.6031119755487636,3.399424960264345e-07,0.27864841087752357
Openaudio-S1-Mini|en,0.5957766046123925,5.118877110740392e-07,0.27626417503475076
OuteTTS|en,0.5867185329258129,8.369290268852224e-07,0.26953023624189254
Qwen2.5-Omni|en,0.6110586273964991,2.156357478188097e-07,0.2799198779740253
RVC|en,0.5980550152820229,4.512659918514587e-07,0.2757208536840797
"Resemble.ai (April 12th, 2025)|en",0.6035565434843013,3.3150341473056604e-07,0.27965574553523376
Ringg Squirrel TTS v1.0|en,0.5967768824673522,4.843883340498823e-07,0.2733208377348765
SoulX-Podcast|en,0.5941094748541262,5.610002018294341e-07,0.27352697840281714
Spark-TTS-0.5B|en,0.6165045846068353,1.5670301142226753e-07,0.35822492700679454
Step-Audio-EditX|en,0.6095026396221175,2.3596911765887889e-07,0.27591025460166096
Supertonic|en,0.596499027507641,4.918846048585434e-07,0.27384446086724135
Veena|en,0.5787163100861352,1.2764298858466963e-06,0.25813968780522567
VoxCPM-0.5B|en,0.5839955543206448,9.674184340792992e-07,0.26638184070922855
VoxCPM-1.5|en,0.5799944429008059,1.194112907406976e-06,0.24571275123074
Voxtream|en,0.5949986107252015,5.342819674249351e-07,0.2759187261381394
WhisperSpeech|en,0.5956098916365659,5.166109954047466e-07,0.2749065068305214
ZipVoice|en,0.5839955543206448,9.674184340792992e-07,0.2661265842776024
e2-tts|en,0.6003334259516533,3.9743412640580355e-07,0.28186715834135656
f5-tts|en,0.5960544595721035,5.041055273078715e-07,0.2805628694385748
facebook_mms-tts-eng|en,0.5868296749096973,8.319707061134882e-07,0.2616688296915085
griffin_lim|en,0.5971658794109477,4.740735576044001e-07,0.28176697805233175
kokoro|en,0.5952764656849125,5.261805329245671e-07,0.27209234826908013
microsoft_speecht5_tts|en,0.5976104473464853,4.625378199509569e-07,0.2844757168560176
minimax_speech-02-turbo|en,0.589997221450403,7.017060020727297e-07,0.2677859024655176
minimax_speech-2.6-hd|en,0.5956654626285081,5.150320412961285e-07,0.27094942101679154
optispeech|en,0.5977771603223118,4.582802627294826e-07,0.27151118526284257
orpheus-tts-0.1-finetune|en,0.5873853848291193,8.075894405677587e-07,0.2676051135546481
parler_tts_large_v1|en,0.594053903862184,5.6271103836773e-07,0.2707533762481934
parler_tts_mini_v0.1|en,0.6000555709919424,4.036600964998659e-07,0.2756856940509096
sesame_csm|en,0.5957766046123925,5.118877110740392e-07,0.2766632786024641
suno_bark-small|en,0.6032231175326481,3.3781400619958913e-07,0.2758902412356292
suno_bark|en,0.5972214504028899,4.7261696240149107e-07,0.27237406319065194
vixTTS|en,0.5984440122256184,4.4161519647299315e-07,0.2720064781922221
