,n_utts,s_along,sd_along,s_orth,hard_shared
Cartesia.ai (Sonic-3)|en,11,7.206027030944824,2.3624910858161368,24.78179931640625,0.061473768522226635
Chatterbox|en,14,6.832940101623535,3.570532002473186,23.791837692260742,0.25949234319278375
DeepGram|en,9,7.171701431274414,2.463666090293552,25.2611141204834,0.042747593408386374
Edge-TTS|en,9,5.014733791351318,4.239077969789911,31.521265029907227,0.14647577092511013
FireRedTTS-2.0|en,16,2.785212755203247,6.0360840838702305,26.567824363708496,0.5228753671071953
FishTTS|en,15,7.147126197814941,3.5337271973086346,25.08771324157715,0.2593734703866863
Higgs-Audio-V2|en,23,6.148266792297363,5.165559983312114,25.67302131652832,0.4754836238268531
Index-TTS-1.5|en,15,9.05176830291748,4.930655759281679,26.090059280395508,0.511086637298091
Index-TTS-2.0|en,17,8.27705192565918,2.6446804155573225,24.79433822631836,0.3213267685928997
Indri-TTS-0.1|en,14,6.573573350906372,2.6406485031809535,24.097180366516113,0.03644850010488776
Kani-TTS-370M|en,11,4.048766613006592,2.428395479480453,25.53327751159668,0.2535709518088373
Kitten-TTS-Nano-0.1|en,14,7.2981181144714355,2.3699013026714013,23.806020736694336,0.012350534927627388
Kitten-TTS-Nano-0.2|en,16,9.46077013015747,2.0832638826047876,25.567255973815918,0.028496696035242224
Kyutai-TTS|en,19,6.27286434173584,2.2555123669482238,25.168941497802734,0.06776025968003711
Llasa-1B-Multilingual|en,16,8.577775955200195,3.6457397024164346,27.22980308532715,0.10827367841409685
Llasa-8B|en,18,3.9928033351898193,7.092728911886867,27.19132423400879,0.2577908304780552
Mars5|en,16,5.766439437866211,4.1409962845899235,33.23646926879883,0.2829478707782673
MatchaTTS|en,10,7.707346439361572,2.030318443800027,25.085806846618652,0.10359765051395005
Maya1 TTS|en,17,7.201733112335205,2.6652233015805162,25.82393455505371,0.13017189254556452
MegaTTS3|en,14,6.951037406921387,3.3986971727635162,28.811077117919922,0.14862597021187327
MeloTTS|en,13,10.538789749145508,2.0115899184451957,23.149293899536133,0.08468880605444484
Metavoice-1B|en,14,8.718846797943115,2.0970080000573192,24.50152587890625,0.216671911055171
Microsoft VibeVoice 1.5B|en,13,9.017295837402344,1.8593189711357625,24.454782485961914,0.26315938100079067
Microsoft VibeVoice Large|en,17,7.769486427307129,2.3049013545244175,25.336633682250977,0.16534939967176296
MiniCPM-o-2.6|en,20,5.135945796966553,3.8287395127113713,25.437722206115723,0.2363252569750367
Nari Dia-1.6B|en,11,7.023653030395508,4.5419101832849895,25.722671508789062,0.09708316646642638
Nari Dia2|en,11,8.472871780395508,3.1057008742792998,24.577186584472656,0.26888933386730746
NeuTTS-Air|en,16,8.109451293945312,3.7922463533565995,26.131092071533203,0.179538362701909
OpenVoiceV2|en,15,6.623371124267578,3.205434661141478,23.538034439086914,0.14517865883504646
Openaudio-S1-Mini|en,25,6.533298015594482,3.099739973099272,23.27566909790039,0.2656975036710719
OuteTTS|en,22,3.9834178686141968,3.9092028200060263,25.236434936523438,0.3021292217327459
Qwen2.5-Omni|en,14,8.545698165893555,1.600923864592861,24.652485847473145,0.1782567652611706
RVC|en,14,6.496351480484009,2.666185955685937,25.76065444946289,0.15675477239353888
"Resemble.ai (April 12th, 2025)|en",18,6.2018280029296875,3.1899725602086773,31.786054611206055,0.12750856583455702
Ringg Squirrel TTS v1.0|en,18,7.210122585296631,2.347323724158161,25.62936019897461,0.04215614292706804
SoulX-Podcast|en,12,6.275095701217651,3.686388080857925,23.61434841156006,0.2512236906510035
Spark-TTS-0.5B|en,16,7.612765789031982,2.4705118294828132,27.057275772094727,0.6005185389133626
Step-Audio-EditX|en,11,6.092774868011475,1.9133185699357729,23.720487594604492,0.15992524362568417
Supertonic|en,16,5.638656854629517,2.364762376530077,24.21181011199951,0.029666850220264312
Veena|en,16,8.715733528137207,1.0931313441393107,24.70944595336914,0.02799192364170337
VoxCPM-0.5B|en,23,6.903702259063721,3.9598949277251427,25.368690490722656,0.36849581817021004
VoxCPM-1.5|en,14,5.962121486663818,4.950192852276768,27.22974681854248,0.44338682609607716
Voxtream|en,18,6.419244289398193,3.0967677396740996,25.27266788482666,0.23109397944199708
WhisperSpeech|en,21,6.6286115646362305,3.2890206943703566,24.26854705810547,0.2627351234179428
ZipVoice|en,12,5.874902248382568,3.9685169186226394,28.22160530090332,0.4390907978463045
e2-tts|en,16,7.291589021682739,2.637591324412729,25.13148593902588,0.28209893538913366
f5-tts|en,17,6.9599127769470215,2.697792062850903,24.889596939086914,0.2749416947395698
facebook_mms-tts-eng|en,18,5.328481912612915,0.6642988954275352,24.053205490112305,0.063203622124327
griffin_lim|en,15,0.5739961862564087,2.951829471643095,24.207353591918945,0.338913362701909
kokoro|en,19,6.102680206298828,2.25462251163245,23.33556365966797,0.06859108122729733
microsoft_speecht5_tts|en,12,5.371455907821655,2.679127910501796,25.15576934814453,0.31659936368086145
minimax_speech-02-turbo|en,11,9.257560729980469,1.5658893778025147,24.94652557373047,0.08476838873314647
minimax_speech-2.6-hd|en,12,8.268271923065186,1.9361699926644362,25.468287467956543,0.10187224669603519
optispeech|en,14,8.1193265914917,1.9456023027611493,24.238969802856445,0.10937172225718479
orpheus-tts-0.1-finetune|en,11,9.066433906555176,1.9332590755863963,24.1080379486084,0.029568815912428215
parler_tts_large_v1|en,14,5.790503263473511,2.1397556052081304,24.373665809631348,0.060389133627019066
parler_tts_mini_v0.1|en,17,6.101119041442871,2.5666147781029744,24.414806365966797,0.06759091301718927
