detector,left_out,rho,p
wavlm_gat,A07,0.6993006993006995,0.011374198642690932
wavlm_gat,A08,0.6293706293706295,0.02831967129576002
wavlm_gat,A09,0.6993006993006995,0.011374198642690932
wavlm_gat,A10,0.5944055944055945,0.04152149441031855
wavlm_gat,A11,0.5874125874125874,0.044609296463363105
wavlm_gat,A12,0.6363636363636365,0.026096891052703127
wavlm_gat,A13,0.4895104895104896,0.106252371759346
wavlm_gat,A14,0.6223776223776225,0.030675895061640132
wavlm_gat,A15,0.6223776223776225,0.030675895061640132
wavlm_gat,A16,0.6433566433566434,0.024003191200713644
wavlm_gat,A17,0.5244755244755246,0.08001937592027475
wavlm_gat,A18,0.5034965034965035,0.09515736659412469
wavlm_gat,A19,0.4895104895104896,0.106252371759346
aasist_zs,A07,0.6433566433566434,0.024003191200713644
aasist_zs,A08,0.5944055944055945,0.04152149441031855
aasist_zs,A09,0.5594405594405596,0.05858947538856762
aasist_zs,A10,0.6293706293706295,0.02831967129576002
aasist_zs,A11,0.6503496503496504,0.022034190932365288
aasist_zs,A12,0.7412587412587414,0.005801150474478243
aasist_zs,A13,0.5664335664335665,0.054842119775407844
aasist_zs,A14,0.5594405594405596,0.05858947538856762
aasist_zs,A15,0.6643356643356644,0.018452718028445437
aasist_zs,A16,0.6363636363636365,0.026096891052703127
aasist_zs,A17,0.6713286713286714,0.016831456186893395
aasist_zs,A18,0.6573426573426573,0.020185498509854096
aasist_zs,A19,0.7272727272727274,0.007355028857805126
