A,B,dAUC_seedmean,dAUC_reported,p_reported,seed_consistent,t_seed,p_seed_ttest,seed_deltas,q_bh_seed
iso_0.5,baseline,-0.00821250000000003,-0.0082124999999999,0.0,False,-1.9084191925715719,0.19655754161068503,"[-0.01258281250000004, 0.0003937499999999705, -0.01244843750000002]",0.2848118054659288
iso_0.7,baseline,-0.0023364583333333653,-0.0023364583333334,0.024,False,-1.8530077029764787,0.20506449993546877,"[-0.0029296875, 8.281249999997353e-05, -0.004162500000000069]",0.2848118054659288
iso_0.875,baseline,-0.0004880208333333617,-0.0004880208333332,0.643,False,-0.39962850503867925,0.7280685437498722,"[-0.0028124999999999956, 0.0013234374999999687, 2.4999999999941735e-05]",0.7280685437498721
iso_1.25,baseline,0.001909374999999991,0.0019093749999999,0.107,True,2.873979084131962,0.10274664338841967,"[0.0007359375000000057, 0.0030359374999999744, 0.0019562499999999927]",0.20428428813421434
shift_0.5,baseline,-0.0028890625000000205,-0.0028890625,0.031,False,-0.7560170103161512,0.5285527670711735,"[-0.0103609375, 0.0022390624999999442, -0.0005453125000000059]",0.5540491285193497
shift_0.7,baseline,0.001213541666666651,0.0012135416666666,0.31,False,1.1568315308413912,0.36684492736113183,"[-0.0008218749999998609, 0.0017906249999998236, 0.0026718749999999902]",0.4462624229216672
shift_0.875,baseline,0.0007223958333332966,0.0007223958333332,0.51,True,3.0296627721654654,0.09385937920244117,"[0.0005265624999999385, 0.0011968749999999861, 0.000443749999999965]",0.20428428813421434
shift_1.25,baseline,0.0013796874999999487,0.0013796874999999,0.225,False,0.7491625785986228,0.5318871633785758,"[-0.0023031249999999615, 0.0031703124999999943, 0.003271874999999813]",0.5540491285193497
iso_0.7_ungated,baseline,-0.012423437499999893,-0.0124234374999999,0.0,True,-3.7386538841491057,0.06467961174040336,"[-0.01321249999999985, -0.006314062499999995, -0.017743749999999836]",0.20428428813421434
spec_0.6,baseline,-0.005896874999999986,-0.0058968749999999,0.0,True,-2.959358969798485,0.09773148251690514,"[-0.0062531249999999705, -0.0022812500000000124, -0.009156249999999977]",0.20428428813421434
spec_0.8,baseline,-0.001075000000000011,-0.001075,0.282,False,-1.2572865115235672,0.3355748222086451,"[-0.0023453125000000297, 0.0005515624999999913, -0.001431249999999995]",0.4415458186955856
spec_1.25,baseline,0.003201041666666645,0.0032010416666666,0.008,True,7.966294397739213,0.015394570239645957,"[0.0028000000000000247, 0.002798437499999973, 0.004004687499999937]",0.16837886392163062
spec_1.6,baseline,0.005128125000000039,0.005128125,0.0,True,6.927962687427185,0.020205463670595676,"[0.0036562500000000275, 0.005726562500000143, 0.006001562499999946]",0.16837886392163062
smooth_3,baseline,0.0034901041666666557,0.0034901041666666,0.0,True,4.671071452594185,0.04290382082224924,"[0.0028796875000000055, 0.0026140624999999584, 0.0049765625000000036]",0.20428428813421434
smooth_5,baseline,0.0019770833333332774,0.0019770833333333,0.112,True,3.7599254961812085,0.06401841313576341,"[0.0014828124999999304, 0.003028124999999937, 0.001420312499999965]",0.20428428813421434
smooth_9,baseline,-0.001117708333333356,-0.0011177083333333,0.463,False,-0.7976536156429449,0.5087292180902555,"[-0.003642187500000005, 0.001198437499999927, -0.00090937499999999]",0.5540491285193497
jitter_0.5,baseline,0.0012124999999999868,0.0012124999999999,0.29,True,10.346360112387863,0.009212781313124061,"[0.0009781249999999408, 0.001331250000000006, 0.0013281250000000133]",0.16837886392163062
jitter_1.0,baseline,-0.002222916666666667,-0.0022229166666666,0.046,False,-1.1326920426962723,0.37486043525420043,"[-0.0044218750000000195, 0.0016921874999999975, -0.003939062499999979]",0.4462624229216672
shuffle,baseline,-0.01704218750000001,-0.0170421875,0.0,True,-2.149428993438107,0.1646035372877034,"[-0.016979687500000007, -0.003340624999999986, -0.030806250000000035]",0.25719302701203656
sub_top_0.7,baseline,-0.031978645833333354,-0.0319786458333333,0.0,True,-2.8181156118946458,0.10622782982979147,"[-0.04090312500000004, -0.009445312500000025, -0.0455875]",0.20428428813421434
sub_res_0.7,baseline,0.003871874999999969,0.003871875,0.0,True,2.3344654696521134,0.14470247309783657,"[0.004756250000000017, 0.006198437499999931, 0.0006609374999999584]",0.25719302701203656
iso_0.7,shift_0.7,-0.0035500000000000163,-0.00355,0.006,True,-2.156426418890309,0.1637846987185255,"[-0.002107812500000139, -0.00170781249999985, -0.006834375000000059]",0.25719302701203656
iso_0.7,iso_0.7_ungated,0.010086979166666529,0.0100869791666665,0.0,True,4.858243342569487,0.03985276377627292,"[0.01028281249999985, 0.0063968749999999686, 0.013581249999999767]",0.20428428813421434
iso_0.7,smooth_3,-0.005826562500000021,-0.0058265625,0.0,True,-3.0545055167666892,0.09254335918883798,"[-0.0058093750000000055, -0.002531249999999985, -0.009139062500000072]",0.20428428813421434
sub_top_0.7,sub_res_0.7,-0.03585052083333332,-0.0358505208333334,0.0,True,-3.5478646673637977,0.07107866517941151,"[-0.04565937500000006, -0.015643749999999956, -0.04624843749999996]",0.20428428813421434
