method,variant,mlaad_eer,itw_eer,itw_FPR,itw_FNR,itw_bal
baseline,frozen mlaad_robust_goat,0.2666666666666667,0.3758333333333333,0.664,0.143,0.5965
"P1 TAP (linear, test-time)",oracle α=2.0,0.27,0.4366666666666666,0.5313333333333333,0.361,0.5538333333333334
P4 blind correction,baseline (no correction),0.2625,0.3716666666666667,0.6636666666666666,0.149,0.5936666666666667
P4 blind correction,blind correction ĝ(d),0.2858333333333334,0.4098333333333334,0.5996666666666667,0.2336666666666666,0.5833333333333333
P4 blind correction,shuffled-descriptor control,0.2858333333333334,0.3873333333333333,0.5876666666666667,0.2083333333333333,0.602
P2 augmentation (train),robust_goat (ref),0.245,0.376,0.6543333333333333,0.14,0.6028333333333333
P2 augmentation (train),none,0.24708333333333338,0.4308333333333333,0.6696666666666666,0.16883333333333328,0.58075
P2 augmentation (train),broad,0.2875,0.3973333333333333,0.598,0.21349999999999994,0.59425
P2 augmentation (train),causal,0.2729166666666667,0.45799999999999996,0.7153333333333334,0.16999999999999993,0.5573333333333333
P3 adapter (train),frozen (ref),0.2541666666666666,0.3778333333333333,0.669,0.1446666666666666,0.5931666666666666
P3 adapter (train),adapter λ=0.0,0.2866666666666666,0.3581666666666666,0.7083333333333334,0.1066666666666666,0.5925
P3 adapter (train),adapter λ=1.0,0.3133333333333333,0.4536666666666666,0.7026666666666667,0.208,0.5446666666666666
