noise,snr_db,mean_T,mean_T_spoof,auc_T,cliff_T,rho_T_logit,mean_C,auc_C,cliff_C,rho_C_logit,eer
clean,999,2.7675924051611753,2.769473467144806,0.5336799999999999,0.06736000000000009,-0.19059052236208943,-10.734008354187011,0.500368,-0.0007359999999999589,-0.19414148056592226,0.35600000000014886
babble,20,2.752140861685472,2.749830727563477,0.5078119999999999,-0.015623999999999971,-0.042996459985839945,-10.709173346042633,0.517042,0.034084,-0.1664510338041352,0.41399999999902903
babble,15,2.738569989740993,2.736179095338466,0.50936,-0.01871999999999996,-0.023755295021180085,-10.641792671203614,0.5157959999999999,-0.03159199999999995,-0.19989247956991826,0.43799999999999994
babble,10,2.7187217340018393,2.7185424065694668,0.506092,0.012183999999999973,-0.04465227460909844,-10.512675404548645,0.53319,-0.06638,-0.18075879137337653,0.48999999999932503
babble,5,2.693726994913063,2.695212457281849,0.511008,0.022016000000000036,0.01079495517982072,-10.222432462692261,0.501996,-0.0039919999999999956,-0.20555429421717686,0.524
babble,0,2.656094092273287,2.6544667086191645,0.508572,-0.017144000000000048,0.1608504674018696,-9.818969715118408,0.551696,0.10339199999999993,-0.28506622826491307,0.5619999999989951
gaussian,20,2.7710817647671457,2.7620464520456993,0.553088,-0.10617600000000005,-0.13314062856251424,-10.763800579547881,0.54418,-0.08836,-0.24683781935127744,0.4179999999999918
gaussian,15,2.76238772252161,2.7547427323361635,0.545856,-0.09171200000000002,-0.15227792111168445,-10.71073384475708,0.551886,-0.10377199999999998,-0.3111068124272497,0.428
gaussian,10,2.752375183641162,2.75069848426328,0.5002840000000001,-0.0005680000000000129,-0.08832236928947716,-10.642200744152069,0.5595140000000001,-0.11902800000000002,-0.3737312229248917,0.4259999999986096
gaussian,5,2.735212083919795,2.731183189616673,0.5188280000000001,-0.03765600000000002,-0.08070099480397921,-10.555044220924378,0.5701240000000001,-0.14024800000000004,-0.3778021192084768,0.4360000000002901
gaussian,0,2.697850452544536,2.6966357966094483,0.501124,0.0022480000000000278,0.11135746942987773,-10.40601073694229,0.564612,-0.129224,-0.3553943815775263,0.5080000000004796
