sample_id,speaker,label,C,T,rog_L12,vel_L9,logit_robust_goat,logit_mlaad_robust_goat,wada_v3,wada_snr_db
0,Alec Guinness,spoof,-10.929936408996582,2.511686214658214,10.929936408996582,2.511686214658214,7.215697288513184,8.272964477539062,1.0798040600038403,25.0
10006,Ayn Rand,spoof,-10.925079345703123,2.654156029826218,10.925079345703123,2.654156029826218,0.7077912092208862,7.5554585456848145,1.4276140851574697,46.0
10008,Bernie Sanders,spoof,-10.746363639831545,2.6618785378064183,10.746363639831545,2.6618785378064183,6.247729301452637,8.615823745727539,0.8013837036628368,15.0
10016,Barack Obama,bona-fide,-10.28494358062744,2.643458176341932,10.28494358062744,2.643458176341932,1.7772295475006104,3.622228145599365,1.8130603296768464,100.0
10025,Lyndon Johnson,bona-fide,-10.54867458343506,2.7196402246414144,10.54867458343506,2.7196402246414144,4.752050876617432,6.236774444580078,0.874922175142778,18.0
10029,Alexandria Ocasio-Cortez,spoof,-10.693790435791016,2.773078173595024,10.693790435791016,2.773078173595024,4.483255386352539,9.92994499206543,0.9535240164590135,20.0
10031,Barack Obama,bona-fide,-10.76479148864746,2.754715672216443,10.76479148864746,2.754715672216443,0.2801040709018707,4.036832332611084,1.5961990591139976,77.0
10039,Christopher Hitchens,bona-fide,-10.743687629699709,2.791295079627281,10.743687629699709,2.791295079627281,7.742639064788818,5.924614429473877,1.3455305369253798,39.0
1004,Bernie Sanders,bona-fide,-11.020835876464844,2.8515936094029555,11.020835876464844,2.8515936094029555,6.654160499572754,6.825956344604492,1.2582885836518294,34.0
10041,Barack Obama,bona-fide,-10.43251609802246,2.80854098633371,10.43251609802246,2.80854098633371,-1.6760964393615725,7.748687267303467,1.39631948434686,43.0
10054,Bernie Sanders,spoof,-10.861915588378906,2.7465270554552825,10.861915588378906,2.7465270554552825,6.368456840515137,6.53349494934082,1.4827000784342128,53.0
10057,Donald Trump,bona-fide,-10.790059089660645,2.899595784972661,10.790059089660645,2.899595784972661,2.7504525184631348,5.513446807861328,2.1503809760520425,100.0
10064,Queen Elizabeth II,spoof,-10.514841079711914,2.625468934727553,10.514841079711914,2.625468934727553,9.716137886047363,5.9257426261901855,1.0278147060603824,23.0
10068,Queen Elizabeth II,spoof,-10.617039680480955,2.625931607082311,10.617039680480955,2.625931607082311,3.041921138763428,6.138258457183838,1.380684135259802,42.0
10072,Alec Guinness,spoof,-10.844616889953612,2.7205522301611618,10.844616889953612,2.7205522301611618,7.296199321746826,6.463921070098877,1.3094753642421928,37.0
10073,Ayn Rand,spoof,-10.953020095825195,2.7388390136778966,10.953020095825195,2.7388390136778966,7.520075798034668,10.309297561645508,1.2176625127542575,32.0
10086,Donald Trump,bona-fide,-10.59621524810791,2.731848707820688,10.59621524810791,2.731848707820688,-1.045182228088379,7.39875602722168,0.9666264810809242,21.0
10090,JFK,bona-fide,-10.902057647705078,2.8136561047497097,10.902057647705078,2.8136561047497097,4.39223575592041,5.750773906707764,1.053771524089537,24.0
10097,Orson Welles,spoof,-11.010169982910156,2.5584055193843414,11.010169982910156,2.5584055193843414,9.60950756072998,9.123459815979004,0.7863898555251669,15.0
101,Christopher Hitchens,spoof,-9.44444751739502,2.716648869763896,9.44444751739502,2.716648869763896,6.696067810058594,6.87774658203125,1.2450850195721417,33.0
10110,George Carlin,bona-fide,-10.965858459472656,2.866582327692696,10.965858459472656,2.866582327692696,5.408261775970459,6.36171293258667,1.5856224897010431,73.0
10117,FDR,bona-fide,-9.944857597351074,2.424719094007045,9.944857597351074,2.424719094007045,-2.008519411087036,1.6898095607757568,0.5545313593749999,6.0
10118,Calvin Coolidge,bona-fide,-10.622435569763184,2.793061116606675,10.622435569763184,2.793061116606675,1.6997087001800537,5.595890045166016,1.0225264799359395,23.0
10122,Ronald Reagan,bona-fide,-10.7526216506958,2.788058932789545,10.7526216506958,2.788058932789545,4.5320892333984375,7.5793609619140625,1.0355016494473244,23.0
10123,Donald Trump,bona-fide,-10.797160148620604,2.768919985018062,10.797160148620604,2.768919985018062,7.936997413635254,6.888608932495117,0.8139045291757832,16.0
10128,Bill Clinton,bona-fide,-10.443618774414062,2.780359065909172,10.443618774414062,2.780359065909172,2.9559268951416016,8.913455963134766,1.2466455391844984,33.0
10129,Alec Guinness,bona-fide,-10.772708892822266,2.810772425509772,10.772708892822266,2.810772425509772,-0.8855109214782715,8.534098625183105,0.8788947845686015,18.0
10130,Queen Elizabeth II,spoof,-10.879222869873049,2.5152219556045217,10.879222869873049,2.5152219556045217,8.004095077514648,9.595151901245115,0.7831082437244103,14.0
