seed,intervention,alpha,energy,measured_C,EER,AUC,Acc
s1,C_scale,0.5,0.5,7.450199604034424,0.2837500000010901,0.7791374999999999,0.7325
s1,shift_control,0.5,0.5,14.890301704406738,0.08374999999999992,0.976028125,0.919375
s1,C_scale,0.625,0.375,9.288371086120605,0.12375000000000012,0.9515328124999999,0.878125
s1,shift_control,0.625,0.375,14.90120792388916,0.07249999999910721,0.97968125,0.93125
s1,C_scale,0.75,0.25,11.206575393676758,0.08999999999884158,0.9728625,0.915
s1,shift_control,0.75,0.25,14.86683464050293,0.06750000000117937,0.9814312500000001,0.933125
s1,C_scale,0.875,0.125,13.006507873535156,0.0724999999999999,0.9801421874999999,0.92875
s1,shift_control,0.875,0.125,14.888420104980469,0.06874999999999983,0.98068125,0.935625
s1,C_scale,1.0,0.0,14.814844131469727,0.06624999999980165,0.9839156250000001,0.936875
s1,shift_control,1.0,0.0,14.877513885498047,0.07124999999997944,0.978853125,0.929375
s1,C_scale,1.125,0.125,16.768310546875,0.06999999999947681,0.98233125,0.933125
s1,shift_control,1.125,0.125,14.891561508178711,0.06499999999999996,0.982478125,0.935625
s1,C_scale,1.25,0.25,18.67596435546875,0.07000000000020093,0.980790625,0.9325
s1,shift_control,1.25,0.25,14.87417984008789,0.07374999999999926,0.980971875,0.933125
s1,C_scale,1.375,0.375,20.490880966186523,0.06375000000007551,0.9825328124999999,0.938125
s1,shift_control,1.375,0.375,14.868624687194824,0.0699999999999994,0.9800156250000001,0.930625
s1,C_scale,1.5,0.5,22.317306518554688,0.0700000000001278,0.97941875,0.9325
s1,shift_control,1.5,0.5,14.89346694946289,0.08499999999950675,0.97485625,0.92
s1,C_scale,1.75,0.75,26.06406021118164,0.06999999999945457,0.9789515625,0.93375
s1,shift_control,1.75,0.75,14.913042068481445,0.09000000000001596,0.9676953125000001,0.9125
s1,C_scale,2.0,1.0,29.92719078063965,0.08625000000000219,0.9753796875,0.92
s1,shift_control,2.0,1.0,14.892141342163086,0.1024999999999895,0.95630625,0.90375
s1,C_scale,2.25,1.25,33.33509063720703,0.08999999999999822,0.9755609375000001,0.9225
s1,shift_control,2.25,1.25,14.857590675354004,0.11500000000053072,0.9475296875000001,0.8875
s1,C_scale,2.5,1.5,37.24687194824219,0.087499999999959,0.9691874999999999,0.916875
s1,shift_control,2.5,1.5,14.932382583618164,0.14000000000000123,0.9224859375000001,0.86625
