alpha,delta_auc,ci_lo,ci_hi,p_two_sided,n_seeds,seed_signs,n_pos,n_neg
0.5,-0.185128125,-0.20480984081235035,-0.16502211989636945,0.0,3,"[-1, -1, -1]",0,3
0.625,-0.03132708333333337,-0.03819669039108052,-0.024737852389743038,0.0,3,"[-1, -1, -1]",0,3
0.75,-0.01013489583333338,-0.013391049648639193,-0.006835219358688966,0.0,3,"[-1, -1, -1]",0,3
0.875,-0.002633854166666616,-0.005033787862301279,-0.00038016631768725506,0.023,3,"[-1, -1, -1]",0,3
1.0,-0.0004020833333333214,-0.002418430638949147,0.0017592032563161664,0.718,3,"[1, -1, -1]",1,2
1.125,-0.000880729166666742,-0.0029936080194731037,0.0011343921702930053,0.386,3,"[-1, -1, 1]",1,2
1.25,0.00011666666666665382,-0.002665817443846258,0.002819101719214599,0.962,3,"[-1, -1, 1]",1,2
1.375,0.002381770833333315,-0.0007993469373217792,0.005831584588275918,0.145,3,"[1, -1, 1]",2,1
1.5,0.004735937499999972,0.000964417216797403,0.008597401008629272,0.015,3,"[1, -1, 1]",2,1
1.75,0.012323958333333366,0.006764224807747489,0.017946459367740933,0.0,3,"[1, -1, 1]",2,1
2.0,0.01838437500000001,0.011250043516149303,0.025904173481099243,0.0,3,"[1, -1, 1]",2,1
2.25,0.021645833333333253,0.013451987137860213,0.02998000909465152,0.0,3,"[1, -1, 1]",2,1
2.5,0.026168749999999963,0.01710691488085439,0.035445262169925884,0.0,3,"[1, -1, 1]",2,1
3.0,0.03778489583333333,0.026310122852350407,0.04983973413383864,0.0,3,"[1, -1, 1]",2,1
3.5,0.047659375000000025,0.034186656165110185,0.062007037742889556,0.0,3,"[1, -1, 1]",2,1
4.0,0.04919791666666662,0.035160291233578146,0.06402836030579641,0.0,3,"[1, -1, 1]",2,1
