system,src_sym,tgt_sym,bon_mean,atk_mean,delta,abs_delta
A02,j,ɾ,0.00010325742046290244,1.0,0.9998967425795371,0.9998967425795371
A05,ɾ,ɹ,0.04790757878922283,0.8498515476276914,0.8019439688384686,0.8019439688384686
A02,j,œ,0.0010718794088884272,0.6123524494146745,0.6112805700057861,0.6112805700057861
A02,ɾ,ə,0.5505738361757782,0.0,-0.5505738361757782,0.5505738361757782
A03,ɾ,ə,0.5505738361757782,0.004630622084618425,-0.5459432140911598,0.5459432140911598
A04,aʊ,ɲ,0.5263123128434096,0.0,-0.5263123128434096,0.5263123128434096
A01,aʊ,ɲ,0.5263123128434096,0.0012369769617918242,-0.5250753358816178,0.5250753358816178
A01,ɾ,ə,0.5505738361757782,0.03898638600571574,-0.5115874501700625,0.5115874501700625
A05,ɐ,fʲ,0.0,0.5,0.5,0.5
A05,aʊ,f,0.0985633995848033,0.5917134060081973,0.493150006423394,0.493150006423394
A06,j,ɔ̃,0.018094600704793108,0.5076434311838296,0.48954883047903647,0.48954883047903647
A04,l,i,0.4931933082558917,0.009221178897893992,-0.4839721293579977,0.4839721293579977
A05,ɛ,oː,0.0203384097576531,0.5,0.4796615902423469,0.4796615902423469
A01,l,i,0.4931933082558917,0.014378247293829291,-0.4788150609620624,0.4788150609620624
A02,l,i,0.4931933082558917,0.019719392012978405,-0.4734739162429133,0.4734739162429133
A01,ɾ,fʲ,0.4394444673332401,0.0,-0.4394444673332401,0.4394444673332401
A04,ɾ,fʲ,0.4394444673332401,0.0032894403918221076,-0.436155026941418,0.436155026941418
A03,l,i,0.4931933082558917,0.05927856937177675,-0.4339147388841149,0.4339147388841149
A06,l,i,0.4931933082558917,0.061417275527517225,-0.43177603272837445,0.43177603272837445
A05,ɾ,j,0.0,0.41866562370881405,0.41866562370881405,0.41866562370881405
A02,ɾ,z,0.0006751624057234148,0.40802519029931117,0.40735002789358776,0.40735002789358776
A02,j,x,0.005609529441655371,0.39217516524442864,0.38656563580277326,0.38656563580277326
A03,ɾ,uː,0.026843032975654407,0.39523761326565404,0.3683945802899996,0.3683945802899996
A05,ɾ,w,0.0015411869354899387,0.3644481765425177,0.3629069896070278,0.3629069896070278
A05,ɾ,eɪ,0.011104328611161361,0.3639149471045734,0.35281061849341205,0.35281061849341205
A06,j,tʃ,0.08248155090056748,0.4302651554259343,0.34778360452536683,0.34778360452536683
A02,θ,ɑ,0.3435566383727147,0.0,-0.3435566383727147,0.3435566383727147
A03,θ,ɑ,0.3435566383727147,0.0,-0.3435566383727147,0.3435566383727147
A05,θ,ɑ,0.3435566383727147,0.0,-0.3435566383727147,0.3435566383727147
A01,j,d,0.3391527541388235,0.0,-0.3391527541388235,0.3391527541388235
A05,ɛɪ,oː,0.3405849948433271,0.0026500552446138345,-0.3379349395987133,0.3379349395987133
A02,ɛɪ,oː,0.3405849948433271,0.0037242001717786716,-0.33686079467154845,0.33686079467154845
A03,ɛɪ,oː,0.3405849948433271,0.0038649495310734646,-0.33672004531225364,0.33672004531225364
A01,ɛɪ,oː,0.3405849948433271,0.004051338102416331,-0.3365336567409108,0.3365336567409108
A02,ʊ,uː,0.013414177960035705,0.34928600120205,0.3358718232420143,0.3358718232420143
A04,ɛɪ,oː,0.3405849948433271,0.00731693098380625,-0.33326806385952085,0.33326806385952085
A06,ɛɪ,oː,0.3405849948433271,0.009312641269019114,-0.331272353574308,0.331272353574308
A04,θ,ɑ,0.3435566383727147,0.018560632155967528,-0.3249960062167472,0.3249960062167472
A05,iː,e,0.011913544861271462,0.33414023310168967,0.3222266882404182,0.3222266882404182
A01,θ,ɑ,0.3435566383727147,0.02202008050777512,-0.3215365578649396,0.3215365578649396
A05,l,ŋ,0.02008678926495331,0.3333333333333333,0.31324654406838,0.31324654406838
A06,ɐ,j,0.020116590752363626,0.3333333333333333,0.3132167425809697,0.3132167425809697
A02,œ̃,t,0.3175562536152681,0.009974440354784566,-0.30758181326048356,0.30758181326048356
A04,œ̃,t,0.3175562536152681,0.010814066695231946,-0.3067421869200362,0.3067421869200362
A03,œ̃,t,0.3175562536152681,0.011034732913528645,-0.3065215207017395,0.3065215207017395
A05,l,ɾ,0.0036417183181967883,0.30636843421743026,0.3027267158992335,0.3027267158992335
A05,œ̃,t,0.3175562536152681,0.016681308541282046,-0.3008749450739861,0.3008749450739861
A05,ɾ,vʲ,0.1559970929099951,0.4535309235202413,0.2975338306102462,0.2975338306102462
A03,eə,z,0.03629855453179501,0.3333333333333333,0.2970347788015383,0.2970347788015383
A01,œ̃,t,0.3175562536152681,0.021697876785214957,-0.29585837683005317,0.29585837683005317
A05,k,iː,0.0030213414397303657,0.2971330582939438,0.29411171685421345,0.29411171685421345
A01,aʊ,aʊ,0.29450736642397163,0.00918991303895328,-0.28531745338501835,0.28531745338501835
A06,ɐ,m,0.01833015569152881,0.3006659455714796,0.2823357898799508,0.2823357898799508
A05,ɐ,1,0.0,0.2783228222453414,0.2783228222453414,0.2783228222453414
A05,aʊ,œ̃,0.01153339190930975,0.273703580817197,0.26217018890788724,0.26217018890788724
A06,œ̃,t,0.3175562536152681,0.06040965867244352,-0.2571465949428246,0.2571465949428246
A05,k,øː,0.01151946585899257,0.2647880630987306,0.25326859723973805,0.25326859723973805
A03,aʊ,aʊ,0.29450736642397163,0.04158670730345102,-0.2529206591205206,0.2529206591205206
A01,aʊ,x,0.2547120208327572,0.008418256555723893,-0.24629376427703328,0.24629376427703328
A03,tʲ,øː,0.005304776882172744,0.24945274258307298,0.24414796570090025,0.24414796570090025
A05,l,i,0.4931933082558917,0.25052480408287037,-0.24266850417302133,0.24266850417302133
A04,aʊ,aʊ,0.29450736642397163,0.0565957235343173,-0.23791164288965433,0.23791164288965433
A04,ɾ,ɾ,0.23815312892549,0.0007401551663017703,-0.23741297375918824,0.23741297375918824
A06,aʊ,y,0.015412868105188052,0.25047786245846493,0.23506499435327688,0.23506499435327688
A05,ɾ,tʲ,0.23124726004966856,0.0,-0.23124726004966856,0.23124726004966856
A06,ɾ,t,0.00886602740559645,0.24010863831714768,0.23124261091155124,0.23124261091155124
A04,ɾ,tʲ,0.23124726004966856,0.000466734175327853,-0.2307805258743407,0.2307805258743407
A01,ɾ,ɾ,0.23815312892549,0.007824308074244496,-0.2303288208512455,0.2303288208512455
A03,ɾ,tʲ,0.23124726004966856,0.0016274990716935722,-0.22961976097797498,0.22961976097797498
