system_id,phoneme_class,U_stat,p_raw,delta_mean_entropy,n_attack,n_bonafide,p_corrected,significant
A01,Vowels,1976.0,5.689590771923591e-07,0.14124474436125722,50,50,3.0154385016634144e-05,True
A03,Vowels,1930.0,2.808489205506208e-06,0.1305093678823812,50,50,0.00014603098020415928,True
A04,Vowels,1815.0,9.960120895997481e-05,0.11597786920893172,50,50,0.005067033698184287,True
A01,Other,1811.0,0.00011155159944843511,0.11059119271078033,50,50,0.005562363538782145,True
A04,Diphthongs,1398.5,0.00011908040170730053,0.3741059470397454,45,42,0.005818294904366361,True
A01,Diphthongs,1341.0,0.00012023626541870088,0.40271133605889964,43,42,0.005818294904366361,True
A04,Other,1770.0,0.00034183720776138606,0.10387681855610875,50,50,0.01594067629458895,True
A03,Other,1727.0,0.0010201670101643125,0.09753779446788013,50,50,0.04586645761683139,True
A03,Diphthongs,1358.5,0.0022943946049778165,0.3349690797632101,47,42,0.09820349109879845,False
A02,Vowels,1666.0,0.004178235869665813,0.083051955389992,50,50,0.16825345655785062,False
A02,Diphthongs,1255.0,0.015945610737795303,0.27842853532691425,46,42,0.4990188093072099,False
A01,Fricatives,1159.0,0.04129575293400226,0.2223474104647929,45,41,0.829880007567976,False
A02,Other,1529.0,0.05486688905543262,0.05936044871135526,50,50,0.9010963993350645,False
A02,Fricatives,1141.0,0.09307910461356962,0.18387656436239563,46,41,0.9799194166574972,False
A05,Fricatives,1041.0,0.10206216360173441,0.13788834774258807,42,41,0.9849822593314974,False
A05,Diphthongs,867.5,0.10987947445396405,0.13658193910405725,34,42,0.988003487921727,False
A03,Sibilants,12.0,0.14185814185814188,-0.25878882904847456,6,8,0.9965191428959213,False
A04,Stops,1269.0,0.14268201294629942,0.10220609165847283,49,44,0.9965191428959213,False
A04,Nasals,303.0,0.15176878948117778,0.09260330918412785,23,21,0.9968522612006577,False
A04,Fricatives,970.0,0.15787522375616392,0.16392030538738012,40,41,0.9970973202118317,False
A01,Nasals,336.0,0.18109975855271288,0.10222134780097814,26,21,0.9986303078322544,False
A06,Diphthongs,1075.0,0.1934838816419523,0.13540317267824542,44,42,0.9989728883853469,False
A06,Other,1082.0,0.2482072248628715,-0.026092540801941233,50,50,0.999855774324982,False
A01,Sibilants,13.0,0.3543123543123543,-0.1236870604753495,5,8,0.9999980016373391,False
A04,Approximants,828.5,0.37536104221184063,0.1011179629386516,38,39,0.999998816296467,False
A01,Stops,1216.0,0.38147369354077654,0.06877916994794164,50,44,0.999998816296467,False
A06,Nasals,232.0,0.3861135928020579,0.06302547484710996,19,21,0.999998816296467,False
A02,Stops,1157.0,0.43213708129088235,0.04674420600493634,48,44,0.9999995923088653,False
A02,Sibilants,26.0,0.43512043512043513,0.10177993476390834,5,8,0.9999995923088653,False
A02,Nasals,230.0,0.4803829045555341,-0.14358613894099248,25,21,0.9999998498925169,False
A02,Approximants,656.0,0.4992993943535976,-0.029722728170790136,37,39,0.9999998768890495,False
A05,Other,1344.0,0.5192044821835923,-0.0031938305119234567,50,50,0.9999998992769131,False
A02,Affricates,639.0,0.5205466191489154,0.01611097643772763,40,35,0.9999998992769131,False
A01,Affricates,705.0,0.5207444243437402,0.1311060188643567,37,35,0.9999998992769131,False
A06,Affricates,461.0,0.5350067275660941,-0.028358565377092804,29,35,0.9999998992769131,False
A05,Affricates,463.0,0.5529034056942495,-0.1317643667637618,29,35,0.9999998992769131,False
A04,Sibilants,24.0,0.6216006216006216,0.05938698947429666,5,8,0.9999999331414362,False
A01,Approximants,829.0,0.6343642171871932,0.1376339203119279,40,39,0.9999999331414362,False
A05,Vowels,1187.0,0.6665674483521367,-0.03179732456975093,50,50,0.9999999331414362,False
A03,Affricates,824.0,0.7269777337451173,0.173101314725699,45,35,0.9999999872128741,False
A04,Affricates,635.0,0.7446211534355407,0.025704738178796926,38,35,0.9999999872128741,False
A03,Fricatives,1001.0,0.7569424343057831,0.12773441680109543,47,41,0.9999999872128741,False
A06,Vowels,1213.0,0.8013313771703272,-0.004113707052220139,50,50,0.9999999872128741,False
A03,Nasals,255.0,0.8773187974298976,-0.011711295502526253,25,21,0.9999999992277103,False
A06,Stops,1016.0,0.889464136773237,0.0004487348037107708,47,44,0.9999999992277103,False
A05,Approximants,457.5,0.9014110690554971,-0.005313898558202412,23,39,0.9999999992277103,False
A03,Stops,1069.0,0.9478503089017688,0.030715034465158775,49,44,0.9999999992277103,False
A05,Sibilants,29.0,0.9550893550893552,-0.2942684839169183,7,8,0.9999999992277103,False
A06,Fricatives,888.0,0.9571787187068579,0.019760527688426288,43,41,0.9999999992277103,False
A05,Nasals,187.0,0.9662932555003845,-0.10652389909539894,18,21,0.9999999992277103,False
A03,Approximants,779.0,0.9960879695340872,0.06233548421235291,40,39,0.9999999992277103,False
A05,Stops,859.0,0.9963600040737818,-0.02109692901131366,39,44,0.9999999992277103,False
A06,Approximants,682.5,1.0,0.01965970212504975,35,39,1.0,False
