src_pid,tgt_pid,src_symbol,tgt_symbol,src_class,tgt_class,bon_mean_attn,att_mean_attn,delta,n_bon_edges,n_att_edges
24,37,aʊ,ɲ,Diphthongs,Other,0.6296564385294914,0.0680488757789135,-0.5616075627505779,5,2
16,23,iː,aː,Vowels,Vowels,0.0668196827173233,0.424333781003952,0.3575140982866287,3,1
50,69,ɛɪ,oː,Vowels,Vowels,0.37145358324050903,0.05535556469112635,-0.3160980185493827,3,4
78,6,l,ɔø,Approximants,Vowels,0.3861323595046997,0.07528517246246338,-0.31084718704223635,3,5
10,63,j,d,Approximants,Stops,0.3846627262731393,0.0758218988776207,-0.3088408273955186,3,1
78,55,l,aɪə,Approximants,Diphthongs,0.30005175061523914,0.06809567734599113,-0.231956073269248,4,5
40,17,z,1,Sibilants,Other,0.0,0.22310221195220947,0.22310221195220947,0,1
48,13,œ̃,vʲ,Other,Fricatives,0.3023759617159764,0.08130360436108378,-0.22107235735489264,12,9
33,19,ɛː,ʃ,Vowels,Sibilants,0.21816284954547882,0.0,-0.21816284954547882,1,0
63,65,d,aɪ,Stops,Diphthongs,0.21441413462162018,0.0,-0.21441413462162018,1,0
74,12,ɾ,tʲ,Approximants,Stops,0.24383715987205506,0.0468328557908535,-0.19700430408120156,5,3
40,19,z,ʃ,Sibilants,Sibilants,0.0,0.19639769196510315,0.19639769196510315,0,2
59,20,m,ɑ,Nasals,Vowels,0.18995581567287445,0.0,-0.18995581567287445,1,0
74,34,ɾ,ə,Approximants,Vowels,0.18856672942638397,0.0,-0.18856672942638397,1,0
42,60,ɡ,w,Stops,Approximants,0.0,0.1831771284341812,0.1831771284341812,0,1
23,74,aː,ɾ,Vowels,Approximants,0.0,0.18308109790086746,0.18308109790086746,0,2
24,64,aʊ,x,Diphthongs,Fricatives,0.2801935443511376,0.09778945486653935,-0.18240408948459824,13,11
74,68,ɾ,œ,Approximants,Other,0.2294034630060196,0.049824520479887724,-0.17957894252613188,5,8
22,6,θ,ɔø,Fricatives,Vowels,0.2653906889259815,0.08587158222993214,-0.17951910669604937,5,12
73,60,ʑ,w,Other,Approximants,0.0,0.1753757767379284,0.1753757767379284,0,5
48,56,œ̃,ɔ̃,Other,Vowels,0.2484154955794414,0.07691019928703706,-0.17150529629240435,6,12
20,56,ɑ,ɔ̃,Vowels,Vowels,0.0,0.1695919781923294,0.1695919781923294,0,1
65,21,aɪ,ŋ,Diphthongs,Nasals,0.0,0.1680927574634552,0.1680927574634552,0,5
59,12,m,tʲ,Nasals,Stops,0.16313795745372772,0.0,-0.16313795745372772,2,0
59,53,m,ɐ,Nasals,Vowels,0.1626814752817154,0.0,-0.1626814752817154,1,0
23,73,aː,ʑ,Vowels,Other,0.1621144339442253,0.0,-0.1621144339442253,2,0
33,60,ɛː,w,Vowels,Approximants,0.0,0.160769734531641,0.160769734531641,0,2
59,73,m,ʑ,Nasals,Other,0.0,0.16063648462295532,0.16063648462295532,0,1
40,13,z,vʲ,Sibilants,Fricatives,0.0,0.15980935096740723,0.15980935096740723,0,1
0,7,|,iə,Other,Diphthongs,0.15924008935689926,0.0,-0.15924008935689926,3,0
