src_pid,tgt_pid,src_symbol,tgt_symbol,src_class,tgt_class,bon_mean_attn,att_mean_attn,delta,n_bon_edges,n_att_edges
24,37,aʊ,ɲ,Diphthongs,Other,0.6296564385294914,0.07617003098130226,-0.5534864075481891,5,2
10,63,j,d,Approximants,Stops,0.3846627262731393,0.0,-0.3846627262731393,3,0
36,21,e,ŋ,Vowels,Nasals,0.11321447044610977,0.43696507811546326,0.3237506076693535,1,1
50,69,ɛɪ,oː,Vowels,Vowels,0.37145358324050903,0.0560950692743063,-0.31535851396620274,3,2
78,6,l,ɔø,Approximants,Vowels,0.3861323595046997,0.07713914588093758,-0.30899321362376214,3,10
78,59,l,m,Approximants,Nasals,0.0831840131431818,0.33327028155326843,0.25008626841008663,4,1
78,55,l,aɪə,Approximants,Diphthongs,0.30005175061523914,0.0757187744602561,-0.22433297615498304,4,8
63,65,d,aɪ,Stops,Diphthongs,0.21441413462162018,0.0,-0.21441413462162018,1,0
24,64,aʊ,x,Diphthongs,Fricatives,0.2801935443511376,0.06972073577344418,-0.2104728085776934,13,6
59,12,m,tʲ,Nasals,Stops,0.16313795745372772,0.3706319332122803,0.20749397575855255,2,1
48,13,œ̃,vʲ,Other,Fricatives,0.3023759617159764,0.0987383450071017,-0.2036376167088747,12,9
22,6,θ,ɔø,Fricatives,Vowels,0.2653906889259815,0.07233066856861115,-0.19306002035737035,5,3
16,21,iː,ŋ,Vowels,Nasals,0.19166911393404007,0.0,-0.19166911393404007,2,0
59,20,m,ɑ,Nasals,Vowels,0.18995581567287445,0.0,-0.18995581567287445,1,0
78,23,l,aː,Approximants,Vowels,0.05868874862790108,0.24776355549693108,0.18907480686903,1,2
74,34,ɾ,ə,Approximants,Vowels,0.18856672942638397,0.0,-0.18856672942638397,1,0
74,12,ɾ,tʲ,Approximants,Stops,0.24383715987205506,0.05680305138230324,-0.18703410848975183,5,1
48,56,œ̃,ɔ̃,Other,Vowels,0.2484154955794414,0.06737714260816574,-0.18103835297127566,6,6
69,25,oː,eə,Vowels,Vowels,0.0,0.17607111359635988,0.17607111359635988,0,3
74,68,ɾ,œ,Approximants,Other,0.2294034630060196,0.055677060037851334,-0.17372640296816827,5,1
61,17,f,1,Fricatives,Other,0.0,0.17207125574350357,0.17207125574350357,0,2
56,16,ɔ̃,iː,Vowels,Vowels,0.0740084582939744,0.24383223056793213,0.16982377227395773,4,1
0,35,|,n,Other,Nasals,0.16872955610354742,0.0,-0.16872955610354742,3,0
5,23,ɹ,aː,Approximants,Vowels,0.0,0.1646556407213211,0.1646556407213211,0,1
34,67,ə,ɛ,Vowels,Vowels,0.16251398622989655,0.0,-0.16251398622989655,2,0
23,73,aː,ʑ,Vowels,Other,0.1621144339442253,0.0,-0.1621144339442253,2,0
59,47,m,k,Nasals,Stops,0.1620464101433754,0.0,-0.1620464101433754,2,0
64,37,x,ɲ,Fricatives,Other,0.0,0.16067086160182953,0.16067086160182953,0,2
79,9,t,y,Stops,Other,0.15955400466918945,0.0,-0.15955400466918945,1,0
61,72,f,i,Fricatives,Vowels,0.0,0.15937047824263573,0.15937047824263573,0,4
