checkpoint,head,class,mean_entropy,top3_sparsity,top5_sparsity,peak_pos_src,peak_pos_tgt,peak_magnitude,attn_variance
goat,h0,bonafide,2.03454,0.389893,0.513088,Other,Other,0.137679,0.000686
goat,h0,A01,2.131301,0.427093,0.561995,Other,Other,0.154791,0.000827
goat,h0,A02,2.079058,0.41194,0.528021,Other,Other,0.161666,0.000761
goat,h0,A03,2.121419,0.37224,0.495934,Other,Other,0.13401,0.000642
goat,h0,A04,2.108774,0.411943,0.527712,Other,Other,0.155047,0.000747
goat,h0,A05,1.920944,0.440713,0.566708,Other,Other,0.171935,0.000858
goat,h0,A06,2.011835,0.41838,0.534789,Other,Other,0.155889,0.00078
goat,h4,bonafide,2.035922,0.385269,0.510563,Other,Other,0.13483,0.000681
goat,h4,A01,2.132123,0.417921,0.557245,Other,Other,0.149585,0.000811
goat,h4,A02,2.081879,0.402429,0.525349,Other,Other,0.154011,0.000737
goat,h4,A03,2.121772,0.364969,0.490773,Other,Other,0.129635,0.000631
goat,h4,A04,2.105991,0.406017,0.523806,Other,Other,0.150534,0.000734
goat,h4,A05,1.918485,0.432744,0.55871,Other,Other,0.166088,0.000832
goat,h4,A06,2.012653,0.411533,0.534505,Other,Other,0.15157,0.000766
robust_goat,h0,bonafide,1.406053,0.550233,0.66659,Other,Other,0.241152,0.001434
robust_goat,h0,A01,1.364138,0.637812,0.749472,Other,Other,0.301976,0.002074
robust_goat,h0,A02,1.377822,0.600023,0.713556,Other,Other,0.29895,0.001871
robust_goat,h0,A03,1.39017,0.566416,0.685621,Other,Other,0.263046,0.001629
robust_goat,h0,A04,1.448552,0.58082,0.693362,Other,Other,0.274706,0.001647
robust_goat,h0,A05,1.371251,0.593726,0.705055,Other,Other,0.295165,0.001748
robust_goat,h0,A06,1.398249,0.573339,0.682623,Other,Other,0.264753,0.001604
robust_goat,h4,bonafide,1.592131,0.343055,0.505005,Vowels,Other,0.127313,0.000615
robust_goat,h4,A01,1.533968,0.348422,0.511035,Vowels,Other,0.141525,0.000677
robust_goat,h4,A02,1.493376,0.339299,0.483763,Vowels,Other,0.148436,0.000631
robust_goat,h4,A03,1.591448,0.314714,0.461844,Vowels,Other,0.129526,0.000544
robust_goat,h4,A04,1.64277,0.33682,0.489454,Vowels,Other,0.136929,0.000615
robust_goat,h4,A05,1.458691,0.399461,0.552281,Vowels,Other,0.173309,0.000799
robust_goat,h4,A06,1.56229,0.3378,0.498518,Vowels,Other,0.131797,0.000633
