,h0_bonafide,h0_A01,h0_A02,h0_A03,h0_A04,h0_A05,h0_A06,h4_bonafide,h4_A01,h4_A02,h4_A03,h4_A04,h4_A05,h4_A06
h0_bonafide,1.000000,0.986561,0.987625,0.992773,0.994828,0.990744,0.995683,0.842767,0.729920,0.731650,0.742779,0.802550,0.768906,0.805177
h0_A01,0.986561,1.000000,0.996594,0.995715,0.993776,0.991453,0.992275,0.757311,0.630154,0.629785,0.643224,0.710808,0.664888,0.716113
h0_A02,0.987625,0.996594,1.000000,0.995432,0.995610,0.995088,0.996377,0.768842,0.642288,0.646971,0.657805,0.724133,0.680384,0.732294
h0_A03,0.992773,0.995715,0.995432,1.000000,0.996700,0.991424,0.996813,0.788535,0.665346,0.666257,0.683019,0.745070,0.700416,0.751404
h0_A04,0.994828,0.993776,0.995610,0.996700,1.000000,0.997198,0.998356,0.802485,0.683629,0.686450,0.698311,0.763103,0.724483,0.766144
h0_A05,0.990744,0.991453,0.995088,0.991424,0.997198,1.000000,0.996335,0.798966,0.680814,0.686003,0.693416,0.759720,0.723994,0.763925
h0_A06,0.995683,0.992275,0.996377,0.996813,0.998356,0.996335,1.000000,0.809333,0.689549,0.694710,0.705470,0.768571,0.730192,0.775580
h4_bonafide,0.842767,0.757311,0.768842,0.788535,0.802485,0.798966,0.809333,1.000000,0.977042,0.976079,0.982023,0.991644,0.976255,0.989331
h4_A01,0.729920,0.630154,0.642288,0.665346,0.683629,0.680814,0.689549,0.977042,1.000000,0.994224,0.990713,0.988456,0.978251,0.984077
h4_A02,0.731650,0.629785,0.646971,0.666257,0.686450,0.686003,0.694710,0.976079,0.994224,1.000000,0.989680,0.990752,0.983154,0.988402
h4_A03,0.742779,0.643224,0.657805,0.683019,0.698311,0.693416,0.705470,0.982023,0.990713,0.989680,1.000000,0.989480,0.971939,0.985633
h4_A04,0.802550,0.710808,0.724133,0.745070,0.763103,0.759720,0.768571,0.991644,0.988456,0.990752,0.989480,1.000000,0.985266,0.994591
h4_A05,0.768906,0.664888,0.680384,0.700416,0.724483,0.723994,0.730192,0.976255,0.978251,0.983154,0.971939,0.985266,1.000000,0.976092
h4_A06,0.805177,0.716113,0.732294,0.751404,0.766144,0.763925,0.775580,0.989331,0.984077,0.988402,0.985633,0.994591,0.976092,1.000000
