head,system,n_examples,mean_entropy,std_entropy,q25_entropy,median_entropy,q75_entropy,top3_sparsity,top5_sparsity,peak_pos_src,peak_pos_tgt,peak_magnitude,mean_position_variance,max_position_variance
h0,bonafide,100,1.406053,0.133957,1.307262,1.406564,1.487834,0.548732,0.664019,Other,Other,0.238414,0.00022385,0.00390054
h0,A01,30,1.364138,0.08518,1.315727,1.36241,1.401502,0.638804,0.749607,Other,Other,0.303198,0.00012646,0.00330565
h0,A02,30,1.377822,0.119596,1.323426,1.398821,1.456877,0.592527,0.702821,Other,Other,0.293886,0.00016768,0.00310248
h0,A03,30,1.39017,0.120134,1.331932,1.397222,1.455325,0.561519,0.682252,Other,Other,0.260742,0.00016555,0.00384139
h0,A04,30,1.448552,0.140077,1.34354,1.504959,1.530794,0.584207,0.696709,Other,Other,0.278718,0.00013567,0.00217073
h0,A05,30,1.371251,0.205207,1.264636,1.390688,1.513242,0.602117,0.710032,Other,Other,0.29665,0.00030309,0.00571671
h0,A06,30,1.398249,0.124492,1.314266,1.400398,1.487896,0.567081,0.676157,Other,Other,0.265187,0.00019559,0.00357536
h4,bonafide,100,1.592131,0.145001,1.496182,1.596259,1.708714,0.35063,0.511663,Vowels,Other,0.127557,0.00029182,0.00394972
h4,A01,30,1.533968,0.083761,1.474813,1.53555,1.579858,0.350272,0.514208,Vowels,Other,0.141569,0.00024137,0.00354133
h4,A02,30,1.493376,0.111007,1.405549,1.509576,1.572691,0.338965,0.486546,Vowels,Other,0.145168,0.00025619,0.00361102
h4,A03,30,1.591448,0.108875,1.539414,1.588367,1.663441,0.312808,0.460095,Vowels,Other,0.127301,0.00020619,0.00261458
h4,A04,30,1.64277,0.10087,1.560347,1.649207,1.71751,0.342848,0.496808,Vowels,Other,0.139927,0.00024345,0.00377509
h4,A05,30,1.458691,0.234779,1.402132,1.494744,1.616621,0.414249,0.564949,Vowels,Other,0.181396,0.00048016,0.00835927
h4,A06,30,1.56229,0.134441,1.446835,1.568003,1.65375,0.333005,0.488033,Vowels,Other,0.129558,0.00024669,0.00270091
