attack,tts_vc,condition,eer,ci_low,ci_high
A01,TTS,baseline,0.04,0.0,0.080523
A01,TTS,ablate_h0,0.04,0.0,0.10004
A01,TTS,ablate_h4,0.06,0.0,0.099351
A01,TTS,ablate_h0_h4,0.06,0.020008,0.130261
A01,TTS,random_single,0.04,0.0,0.073062
A01,TTS,random_pair,0.02,0.0,0.060606
A02,TTS,baseline,0.1,0.020833,0.151571
A02,TTS,ablate_h0,0.12,0.050502,0.181647
A02,TTS,ablate_h4,0.1,0.040145,0.169548
A02,TTS,ablate_h0_h4,0.14,0.079796,0.222123
A02,TTS,random_single,0.1,0.040255,0.17029
A02,TTS,random_pair,0.08,0.029221,0.15
A03,TTS,baseline,0.06,0.020032,0.130303
A03,TTS,ablate_h0,0.12,0.069697,0.220107
A03,TTS,ablate_h4,0.08,0.029171,0.150505
A03,TTS,ablate_h0_h4,0.16,0.090714,0.25
A03,TTS,random_single,0.06,0.020129,0.149035
A03,TTS,random_pair,0.08,0.020129,0.140056
A04,TTS,baseline,0.06,0.020071,0.140001
A04,TTS,ablate_h0,0.1,0.041339,0.17029
A04,TTS,ablate_h4,0.06,0.020072,0.140001
A04,TTS,ablate_h0_h4,0.1,0.040145,0.180072
A04,TTS,random_single,0.06,0.020008,0.13
A04,TTS,random_pair,0.06,0.020008,0.131171
A05,VC,baseline,0.1,0.040404,0.170883
A05,VC,ablate_h0,0.08,0.040016,0.160259
A05,VC,ablate_h4,0.12,0.046934,0.170732
A05,VC,ablate_h0_h4,0.08,0.04,0.159604
A05,VC,random_single,0.1,0.049384,0.179495
A05,VC,random_pair,0.08,0.04,0.159421
A06,VC,baseline,0.26,0.181867,0.370257
A06,VC,ablate_h0,0.3,0.209121,0.390097
A06,VC,ablate_h4,0.26,0.169872,0.340592
A06,VC,ablate_h0_h4,0.28,0.199988,0.390097
A06,VC,random_single,0.3,0.18888,0.379808
A06,VC,random_pair,0.26,0.180743,0.379808
pooled,n/a,baseline,0.1,nan,nan
pooled,n/a,ablate_h0,0.135,nan,nan
pooled,n/a,ablate_h4,0.12,nan,nan
pooled,n/a,ablate_h0_h4,0.143333,nan,nan
pooled,n/a,random_single,0.12,nan,nan
pooled,n/a,random_pair,0.116667,nan,nan
