idx,sample_id,label,system_id,logit,sigmoid_prob,pred,kl_combined,kl_h0,kl_h1,kl_h2,kl_h3,kl_h4,kl_h5
0,0,1,A05,8.86460,0.99986,1,0.454046,0.410371,0.640638,0.334291,0.367318,0.606173,0.365482
1,1,0,-,1.78781,0.85666,1,0.348829,0.260277,0.393375,0.280628,0.439128,0.467916,0.251650
2,2,1,A06,5.36448,0.99534,1,0.400258,0.311853,0.470923,0.323593,0.402788,0.611028,0.281364
3,3,1,A03,8.02236,0.99967,1,0.230617,0.180701,0.371597,0.221110,0.244198,0.244177,0.121920
4,4,1,A06,0.64414,0.65569,1,0.722794,0.684760,0.737332,0.639428,0.904864,0.840211,0.530168
5,5,1,A03,7.37941,0.99938,1,0.302145,0.265370,0.359758,0.294886,0.285473,0.385410,0.221972
6,6,1,A06,8.67222,0.99983,1,0.295974,0.244432,0.388951,0.242483,0.336608,0.345179,0.218192
7,7,1,A03,6.51818,0.99853,1,0.214970,0.159160,0.205977,0.186538,0.237203,0.342209,0.158732
8,8,1,A06,7.53214,0.99946,1,0.299694,0.203553,0.372132,0.239900,0.349744,0.438538,0.194298
9,9,0,-,0.12186,0.53043,1,0.300069,0.204447,0.301740,0.263378,0.258201,0.411110,0.361541
10,10,1,A05,3.91325,0.98042,1,0.622728,0.407367,0.728902,0.526468,0.731823,0.783530,0.558274
11,11,1,A01,10.74133,0.99998,1,0.389031,0.384372,0.368841,0.429776,0.447834,0.403001,0.300362
12,12,1,A01,9.60223,0.99993,1,0.221450,0.169173,0.264836,0.173339,0.250883,0.333508,0.136964
13,13,1,A02,6.10375,0.99777,1,0.219576,0.197468,0.245371,0.217657,0.171012,0.341404,0.144542
14,14,0,-,-0.67943,0.33639,0,0.173221,0.152239,0.158079,0.193775,0.191732,0.188707,0.154793
15,15,1,A03,11.07177,0.99998,1,0.231731,0.253682,0.260791,0.188046,0.273281,0.252609,0.161976
16,16,1,A04,5.90836,0.99729,1,0.313009,0.222646,0.332623,0.261718,0.433091,0.389772,0.238205
17,17,1,A05,5.10547,0.99397,1,0.689585,0.678889,0.864107,0.672524,0.675610,0.635394,0.610986
18,18,1,A02,10.06642,0.99996,1,0.182163,0.113591,0.254247,0.198852,0.138657,0.267077,0.120556
19,19,1,A02,10.70277,0.99998,1,0.191561,0.201187,0.207834,0.187460,0.136776,0.282537,0.133571
20,20,1,A03,6.45337,0.99843,1,0.286615,0.209138,0.330193,0.205273,0.338507,0.448421,0.188154
21,21,1,A05,4.97765,0.99316,1,0.705999,0.502225,0.785584,0.583327,0.796266,0.891186,0.677406
22,22,1,A01,10.35867,0.99997,1,0.346748,0.223452,0.728716,0.297616,0.281585,0.376982,0.172136
23,23,1,A03,8.16155,0.99971,1,0.226019,0.157155,0.359133,0.197780,0.286182,0.244455,0.111408
24,24,1,A03,9.58780,0.99993,1,0.220589,0.168914,0.260665,0.202777,0.198582,0.367314,0.125284
25,25,1,A05,7.69963,0.99955,1,0.240550,0.186251,0.258229,0.226471,0.187476,0.355568,0.229303
26,26,1,A06,7.05761,0.99914,1,0.212158,0.183235,0.249418,0.140478,0.260861,0.290254,0.148702
27,27,1,A04,5.12181,0.99407,1,0.298446,0.187831,0.411749,0.228120,0.347421,0.409638,0.205918
28,28,1,A04,9.25258,0.99990,1,0.197316,0.132306,0.257826,0.169799,0.275378,0.238032,0.110552
29,29,0,-,2.53545,0.92659,1,0.234713,0.226350,0.422409,0.178765,0.188020,0.272558,0.120174
30,30,1,A01,10.77883,0.99998,1,0.223122,0.158290,0.297195,0.184742,0.270073,0.261398,0.167036
31,31,1,A01,10.58885,0.99997,1,0.176372,0.153798,0.213948,0.158333,0.154805,0.260570,0.116779
32,32,1,A06,6.65022,0.99871,1,0.200850,0.166136,0.289862,0.143572,0.251741,0.229529,0.124262
33,33,0,-,-0.53203,0.37004,0,0.260520,0.206476,0.347773,0.241203,0.292130,0.281120,0.194417
34,34,1,A03,6.42289,0.99838,1,0.221805,0.256564,0.281898,0.164769,0.229607,0.272373,0.125622
35,35,1,A06,5.91307,0.99730,1,0.285043,0.172913,0.361461,0.246919,0.189058,0.574183,0.165723
36,36,1,A01,7.74646,0.99957,1,0.160805,0.138568,0.237927,0.112817,0.124240,0.251666,0.099612
37,37,1,A02,9.79878,0.99994,1,0.240469,0.186883,0.308398,0.210868,0.312798,0.253810,0.170060
38,38,1,A02,5.82560,0.99706,1,0.505523,0.388832,0.618558,0.446517,0.535070,0.694877,0.349283
39,39,1,A04,8.25959,0.99974,1,0.485717,0.288939,0.570819,0.467127,0.492403,0.696341,0.398670
40,40,1,A04,4.46850,0.98867,1,0.170537,0.124089,0.172465,0.180360,0.151788,0.230121,0.164398
41,41,1,A06,2.71313,0.93780,1,0.193517,0.159590,0.244474,0.162594,0.258055,0.226355,0.110035
42,42,1,A02,8.37719,0.99977,1,0.683062,0.602273,1.324424,0.640691,0.535981,0.667539,0.327460
43,43,1,A04,9.72523,0.99994,1,0.154462,0.113746,0.181486,0.103787,0.189685,0.232122,0.105946
44,44,0,-,-0.24700,0.43856,0,0.215099,0.119349,0.359070,0.165902,0.191967,0.247319,0.206989
45,45,1,A05,8.03046,0.99967,1,0.261555,0.167040,0.339866,0.175292,0.249022,0.486828,0.151283
46,46,1,A04,8.42124,0.99978,1,0.222418,0.134049,0.273350,0.240164,0.267562,0.233336,0.186046
47,47,1,A04,9.98266,0.99995,1,0.244787,0.193826,0.269366,0.180527,0.203298,0.437958,0.183744
48,48,1,A03,8.16478,0.99972,1,0.177752,0.212068,0.225911,0.112677,0.168527,0.241483,0.105846
49,49,1,A01,10.39348,0.99997,1,0.310151,0.218305,0.205710,0.215503,0.235113,0.670748,0.315529
50,50,1,A06,5.74239,0.99680,1,0.286483,0.230352,0.320129,0.335800,0.310983,0.298659,0.222975
51,51,1,A02,9.94871,0.99995,1,0.354197,0.270950,0.399590,0.336517,0.354772,0.479967,0.283382
52,52,1,A04,7.54040,0.99947,1,0.129710,0.122620,0.142855,0.110656,0.153083,0.147047,0.102001
53,53,1,A04,5.15291,0.99425,1,0.273561,0.154183,0.453074,0.148913,0.191954,0.547410,0.145833
54,54,1,A05,10.95636,0.99998,1,0.226402,0.207140,0.302532,0.141873,0.204298,0.355892,0.146676
55,55,1,A02,3.07066,0.95567,1,0.486881,0.471956,0.575535,0.477961,0.510528,0.503142,0.382168
56,56,1,A02,10.40892,0.99997,1,0.268463,0.208562,0.317450,0.217185,0.287254,0.363422,0.216901
57,57,1,A05,3.75905,0.97722,1,0.748544,0.533144,0.661863,0.487334,0.879332,1.253254,0.676337
58,58,0,-,-1.78820,0.14329,0,0.252184,0.192690,0.331285,0.236291,0.344747,0.223600,0.184488
59,59,1,A01,5.32157,0.99514,1,0.258975,0.158913,0.277544,0.218799,0.242065,0.393793,0.262735
60,60,1,A01,8.09972,0.99970,1,0.294828,0.312564,0.252991,0.250104,0.271643,0.462180,0.219489
61,61,1,A05,10.91593,0.99998,1,0.430920,0.360047,0.494479,0.371434,0.545451,0.434627,0.379485
62,62,1,A03,7.14171,0.99921,1,0.404115,0.437433,0.405241,0.349183,0.417608,0.461472,0.353752
63,63,1,A06,6.93662,0.99903,1,0.311787,0.390618,0.339722,0.253197,0.289032,0.304153,0.294003
64,64,1,A01,6.70440,0.99878,1,0.180213,0.154519,0.290905,0.116325,0.159889,0.277166,0.082472
65,65,1,A06,0.89100,0.70910,1,0.277258,0.175325,0.278250,0.275051,0.343821,0.358383,0.232720
66,66,1,A01,10.93992,0.99998,1,0.294159,0.262688,0.293819,0.210539,0.247330,0.592741,0.157839
67,67,0,-,0.66016,0.65930,1,0.248970,0.198916,0.347330,0.206596,0.292303,0.268531,0.180143
68,68,1,A02,10.41285,0.99997,1,0.278592,0.216364,0.289703,0.203592,0.243312,0.568318,0.150264
69,69,1,A06,7.39421,0.99939,1,0.409298,0.311361,0.478755,0.349431,0.530435,0.415669,0.370135
70,70,1,A05,7.72290,0.99956,1,0.334221,0.189296,0.421549,0.245277,0.539172,0.314583,0.295450
71,71,1,A02,7.62862,0.99951,1,0.248335,0.183109,0.308412,0.268280,0.213865,0.380588,0.135757
72,72,1,A05,8.27245,0.99974,1,0.449326,0.360263,0.467519,0.412255,0.453894,0.603263,0.398760
73,73,1,A01,9.86446,0.99995,1,0.394975,0.326176,0.452775,0.316788,0.397906,0.618819,0.257388
74,74,1,A04,11.07147,0.99998,1,0.391406,0.296531,0.487587,0.325128,0.428583,0.543273,0.267334
75,75,1,A06,0.51345,0.62561,1,0.392688,0.317097,0.358215,0.337245,0.526138,0.431760,0.385673
76,76,1,A03,6.41108,0.99836,1,0.445287,0.353801,0.629574,0.410252,0.552046,0.378795,0.347253
77,77,1,A02,3.39296,0.96748,1,0.260153,0.204573,0.266702,0.295877,0.296172,0.299586,0.198009
78,78,0,-,1.51177,0.81932,1,0.177013,0.144140,0.202412,0.157826,0.241387,0.185810,0.130502
79,79,0,-,2.30349,0.90917,1,0.207395,0.194603,0.220349,0.183750,0.173697,0.283830,0.188142
80,80,1,A01,10.81646,0.99998,1,0.248048,0.227724,0.302976,0.263052,0.259864,0.253818,0.180857
81,81,1,A03,10.01930,0.99996,1,0.240189,0.163759,0.294659,0.214830,0.262599,0.350654,0.154634
82,82,1,A04,9.49850,0.99993,1,0.290283,0.185813,0.317015,0.208564,0.264707,0.592672,0.172926
83,83,1,A05,10.59141,0.99997,1,0.327202,0.311600,0.361883,0.257786,0.303100,0.430343,0.298497
84,84,1,A05,8.02309,0.99967,1,0.417577,0.355890,0.437510,0.330772,0.411398,0.692017,0.277877
85,85,0,-,-1.25598,0.22167,0,0.112449,0.064831,0.149817,0.097832,0.115632,0.162891,0.083691
86,86,1,A03,6.53816,0.99855,1,0.309088,0.225130,0.376481,0.279744,0.325436,0.285434,0.362301
87,87,1,A04,9.05464,0.99988,1,0.508858,0.391796,0.737640,0.471601,0.474168,0.607668,0.370274
88,88,0,-,1.94691,0.87511,1,0.153226,0.169859,0.200562,0.121813,0.148829,0.192349,0.085943
89,89,1,A05,7.92263,0.99964,1,0.301756,0.238338,0.345231,0.308472,0.341952,0.376422,0.200122
90,90,1,A02,7.72991,0.99956,1,0.566676,0.410054,0.651993,0.459183,0.459562,1.038869,0.380395
91,91,0,-,0.24832,0.56176,1,0.199179,0.178406,0.216695,0.128696,0.203865,0.359663,0.107751
92,92,1,A04,5.52403,0.99603,1,0.263249,0.206026,0.261595,0.257914,0.305327,0.311736,0.236897
93,93,0,-,-4.25780,0.01396,0,0.349836,0.366679,0.336213,0.262867,0.413948,0.498690,0.220616
94,94,1,A02,4.90338,0.99263,1,0.293072,0.237480,0.350649,0.245798,0.360324,0.366559,0.197625
95,95,1,A04,8.76487,0.99984,1,0.361339,0.288953,0.388440,0.339305,0.410460,0.462982,0.277892
96,96,0,-,-1.94529,0.12507,0,0.594099,0.489716,0.711771,0.529731,0.696193,0.681488,0.455693
97,97,1,A02,10.70505,0.99998,1,0.215822,0.218815,0.242749,0.159319,0.190855,0.347637,0.135554
98,98,1,A04,6.46793,0.99845,1,0.265495,0.175865,0.277974,0.213735,0.282078,0.459946,0.183375
99,99,1,A04,8.16457,0.99972,1,0.271426,0.231039,0.297207,0.228667,0.254954,0.348949,0.267738
100,100,1,A02,4.70148,0.99100,1,0.549678,0.334583,0.659978,0.541435,0.612130,0.722882,0.427061
101,101,1,A05,9.19139,0.99990,1,0.363546,0.231745,0.581849,0.295969,0.397355,0.440726,0.233633
102,102,1,A02,10.29087,0.99997,1,0.371309,0.251020,0.700821,0.307360,0.249142,0.451653,0.267858
103,103,1,A06,3.30336,0.96454,1,0.268959,0.208953,0.385903,0.242300,0.294541,0.312366,0.169691
104,104,1,A06,7.61665,0.99951,1,0.455872,0.543990,0.446190,0.450505,0.456412,0.458749,0.379385
105,105,1,A03,5.89888,0.99726,1,0.235896,0.202904,0.261411,0.183445,0.252354,0.348897,0.166365
106,106,1,A05,8.20591,0.99973,1,0.553532,0.942694,0.419443,0.425096,0.572750,0.589002,0.372209
107,107,1,A05,7.84158,0.99961,1,0.331997,0.261206,0.401779,0.270117,0.494498,0.322603,0.241781
108,108,1,A06,4.40011,0.98787,1,0.320118,0.267945,0.391088,0.248839,0.229254,0.547693,0.235890
109,109,1,A06,6.06006,0.99767,1,0.605532,0.491631,0.556679,0.506592,0.550858,0.929356,0.598074
110,110,0,-,-1.09428,0.25081,0,0.478050,0.575810,0.630756,0.335128,0.579098,0.403725,0.343785
111,111,1,A02,5.88179,0.99722,1,0.343292,0.360556,0.304774,0.503036,0.328915,0.316067,0.246401
112,112,1,A06,-0.79205,0.31173,0,0.212411,0.116114,0.408421,0.141895,0.186535,0.296825,0.124676
113,113,1,A01,10.62136,0.99998,1,0.173040,0.141832,0.180620,0.155180,0.164905,0.209303,0.186398
114,114,1,A05,7.01067,0.99910,1,1.377809,0.957839,1.608608,1.506821,1.848657,1.366469,0.978459
115,115,1,A06,0.35251,0.58723,1,0.345307,0.259903,0.481993,0.303225,0.372064,0.343818,0.310838
116,116,1,A02,7.97972,0.99966,1,0.345501,0.283048,0.315635,0.321711,0.392031,0.523778,0.236805
117,117,1,A01,6.93336,0.99903,1,0.125686,0.065211,0.149173,0.092343,0.083378,0.313080,0.050929
118,118,1,A02,7.60834,0.99950,1,0.203991,0.180358,0.212136,0.220683,0.228428,0.239718,0.142622
119,119,0,-,1.67611,0.84239,1,0.324874,0.264277,0.415860,0.294716,0.325912,0.366745,0.281736
120,120,1,A01,10.72261,0.99998,1,0.208523,0.200860,0.276251,0.162439,0.205721,0.277239,0.128627
121,121,1,A02,10.45731,0.99997,1,0.221688,0.180470,0.308049,0.217417,0.219909,0.283576,0.120705
122,122,1,A06,6.38377,0.99831,1,0.381056,0.258309,0.511460,0.315478,0.452066,0.478095,0.270928
123,123,1,A03,3.07442,0.95583,1,0.240426,0.146877,0.322099,0.239236,0.244324,0.340682,0.149335
124,124,0,-,0.41698,0.60276,1,0.464976,0.335967,0.597371,0.396141,0.516640,0.599900,0.343839
125,125,1,A01,9.67163,0.99994,1,0.209078,0.163322,0.227868,0.212918,0.200157,0.280014,0.170189
126,126,1,A06,9.19389,0.99990,1,0.333606,0.198631,0.449625,0.262456,0.340065,0.522498,0.228358
127,127,0,-,0.42452,0.60456,1,0.524075,0.384910,0.608333,0.411656,0.698404,0.703535,0.337610
128,128,1,A05,10.28025,0.99997,1,0.265789,0.274152,0.315436,0.225877,0.321098,0.238678,0.219494
129,129,0,-,0.02574,0.50643,1,0.345982,0.474734,0.408265,0.314281,0.349933,0.291739,0.236940
130,130,0,-,-0.15851,0.46045,0,0.256315,0.218327,0.364562,0.229569,0.263822,0.270234,0.191377
131,131,0,-,-2.61128,0.06842,0,0.165611,0.116089,0.217394,0.102817,0.147138,0.301318,0.108909
132,132,1,A03,7.01176,0.99910,1,0.158865,0.106964,0.181402,0.124435,0.174210,0.270178,0.096002
133,133,1,A03,6.98106,0.99907,1,0.221835,0.141631,0.255615,0.147110,0.200663,0.452770,0.133221
134,134,1,A06,6.21945,0.99801,1,0.200273,0.175707,0.225203,0.163930,0.219933,0.222016,0.194849
135,135,1,A01,8.33429,0.99976,1,0.343433,0.310053,0.491500,0.260926,0.376506,0.371373,0.250239
136,136,1,A05,9.83998,0.99995,1,0.324228,0.232097,0.374684,0.235046,0.410251,0.490366,0.202926
137,137,1,A02,4.63357,0.99037,1,0.457983,0.322303,0.638062,0.366979,0.520060,0.453672,0.446824
138,138,1,A06,1.84427,0.86345,1,0.256701,0.191700,0.321853,0.198043,0.249729,0.371980,0.206898
139,139,1,A04,9.92794,0.99995,1,0.241185,0.176284,0.321704,0.228620,0.314332,0.253531,0.152642
140,140,0,-,-1.21542,0.22874,0,0.429832,0.327905,0.491956,0.393628,0.572792,0.396658,0.396052
141,141,1,A03,8.00887,0.99967,1,0.465938,0.356396,0.538491,0.447046,0.482298,0.594186,0.377210
142,142,1,A04,3.59731,0.97333,1,0.286839,0.176848,0.278750,0.236524,0.315598,0.451011,0.262304
143,143,0,-,1.39622,0.80158,1,0.414506,0.293437,0.439960,0.380740,0.522842,0.561054,0.289004
144,144,1,A06,2.65793,0.93450,1,0.251977,0.194074,0.240652,0.208592,0.220095,0.496061,0.152391
145,145,1,A03,5.92108,0.99732,1,0.436134,0.210705,0.545091,0.335966,0.335216,0.915388,0.274441
146,146,1,A02,9.81842,0.99995,1,0.371225,0.290320,0.366761,0.356323,0.368676,0.549979,0.295288
147,147,1,A01,8.84451,0.99986,1,0.267054,0.189554,0.331131,0.188550,0.212938,0.478340,0.201811
148,148,1,A01,10.21166,0.99996,1,0.414853,0.427683,0.487515,0.330948,0.429413,0.531341,0.282220
149,149,1,A04,7.76001,0.99957,1,0.166341,0.165141,0.154132,0.106012,0.202144,0.241223,0.129396
150,150,1,A01,6.17202,0.99792,1,0.255971,0.172811,0.377431,0.184028,0.260621,0.361555,0.179380
151,151,0,-,-1.12942,0.24427,0,0.388911,0.358317,0.505740,0.331626,0.358843,0.463634,0.315305
152,152,1,A05,7.62818,0.99951,1,0.785042,0.571676,0.799497,1.081218,1.055281,0.691523,0.511058
153,153,1,A02,9.40393,0.99992,1,0.229117,0.155588,0.330625,0.204677,0.229722,0.304630,0.149461
154,154,1,A01,9.74454,0.99994,1,0.210424,0.138783,0.208983,0.249065,0.202042,0.332296,0.131378
155,155,1,A01,10.76056,0.99998,1,0.134351,0.099586,0.180082,0.141592,0.133839,0.149002,0.102004
156,156,1,A06,0.60989,0.64791,1,0.380707,0.339953,0.395042,0.356537,0.448583,0.475514,0.268612
157,157,1,A05,5.75586,0.99685,1,0.530701,0.458050,0.602159,0.447601,0.597627,0.713344,0.365428
158,158,1,A06,2.61805,0.93201,1,0.897948,0.574741,0.995874,0.696226,0.914817,1.524267,0.681765
159,159,0,-,-1.48161,0.18518,0,0.460207,0.366608,0.798457,0.419351,0.418693,0.487630,0.270502
160,160,0,-,-1.55467,0.17441,0,0.261644,0.144065,0.288342,0.224708,0.250474,0.499173,0.163102
161,161,1,A06,6.29210,0.99815,1,0.247636,0.160648,0.299186,0.257424,0.259012,0.245294,0.264250
162,162,0,-,-0.28606,0.42897,0,0.292262,0.263022,0.338465,0.207737,0.369297,0.358655,0.216396
163,163,1,A05,8.87495,0.99986,1,0.215729,0.168955,0.288067,0.176624,0.253888,0.256989,0.149854
164,164,1,A02,9.95639,0.99995,1,0.143999,0.091280,0.201442,0.122159,0.124567,0.253725,0.070820
165,165,0,-,1.74142,0.85087,1,0.586519,0.421419,0.671997,0.506293,0.770227,0.703411,0.445767
166,166,0,-,-0.11181,0.47208,0,0.254082,0.162827,0.304257,0.269148,0.188779,0.341322,0.258157
167,167,1,A05,7.57493,0.99949,1,0.293516,0.181778,0.373789,0.312088,0.314925,0.381321,0.197194
168,168,1,A04,9.02637,0.99988,1,0.335034,0.215797,0.415089,0.281336,0.353109,0.431479,0.313395
169,169,1,A05,1.19444,0.76753,1,1.288120,0.971414,1.417232,1.039616,1.825111,1.566280,0.909065
170,170,1,A05,7.37357,0.99937,1,0.700718,0.748400,0.880626,0.613190,0.765054,0.668559,0.528475
171,171,1,A02,5.76367,0.99687,1,0.379667,0.433761,0.346666,0.388142,0.461183,0.357806,0.290445
