system,condition,eer,mean_logit_spoof,mean_logit_bonafide,delta_logit_spoof_mean,delta_logit_spoof_std,delta_logit_bonafide_mean,delta_logit_bonafide_std,n_spoof,n_bonafide
A01,clean,0.04000,9.56464,0.55222,0.00000,0.00000,0.00000,0.00000,50,50
A01,suspect,0.04000,6.43224,-1.35953,-3.13240,1.01455,-1.91175,1.24680,50,50
A01,control,0.06000,8.56686,-0.11962,-0.99777,0.35901,-0.67184,0.45773,50,50
A01,all_heads,0.04000,5.20045,-1.76545,-4.36418,1.21782,-2.31767,1.33012,50,50
A02,clean,0.10000,7.85699,0.55222,0.00000,0.00000,0.00000,0.00000,50,50
A02,suspect,0.12000,3.97833,-1.35953,-3.87865,1.42452,-1.91175,1.24680,50,50
A02,control,0.10000,6.57301,-0.11962,-1.28397,0.56223,-0.67184,0.45773,50,50
A02,all_heads,0.14000,2.78983,-1.76545,-5.06716,1.53180,-2.31767,1.33012,50,50
A03,clean,0.06000,7.48895,0.55222,0.00000,0.00000,0.00000,0.00000,50,50
A03,suspect,0.10000,3.41455,-1.35953,-4.07440,1.04522,-1.91175,1.24680,50,50
A03,control,0.06000,6.34334,-0.11962,-1.14561,0.42198,-0.67184,0.45773,50,50
A03,all_heads,0.10000,2.41884,-1.76545,-5.07011,1.14309,-2.31767,1.33012,50,50
A04,clean,0.06000,8.00683,0.55222,0.00000,0.00000,0.00000,0.00000,50,50
A04,suspect,0.08000,4.92734,-1.35953,-3.07949,1.02786,-1.91175,1.24680,50,50
A04,control,0.08000,7.05912,-0.11962,-0.94771,0.51311,-0.67184,0.45773,50,50
A04,all_heads,0.08000,3.92765,-1.76545,-4.07918,1.19059,-2.31767,1.33012,50,50
A05,clean,0.10000,7.17541,0.55222,0.00000,0.00000,0.00000,0.00000,50,50
A05,suspect,0.06000,4.53899,-1.35953,-2.63642,1.41948,-1.91175,1.24680,50,50
A05,control,0.10000,6.09544,-0.11962,-1.07997,0.64776,-0.67184,0.45773,50,50
A05,all_heads,0.06000,3.24816,-1.76545,-3.92725,1.98809,-2.31767,1.33012,50,50
A06,clean,0.26000,3.84291,0.55222,0.00000,0.00000,0.00000,0.00000,50,50
A06,suspect,0.26000,0.97342,-1.35953,-2.86949,1.34896,-1.91175,1.24680,50,50
A06,control,0.30000,2.61789,-0.11962,-1.22502,0.62696,-0.67184,0.45773,50,50
A06,all_heads,0.32000,0.11641,-1.76545,-3.72650,1.63320,-2.31767,1.33012,50,50
