sample_id,cos_sim,label,system_id
0,0.007659,1,A03
1,0.007740,1,A04
2,0.002118,1,A02
3,-0.013543,1,A02
4,0.040876,0,-
5,-0.006194,0,-
6,-0.008144,1,A01
7,-0.018721,1,A03
8,0.010339,0,-
9,0.015252,0,-
10,0.022955,1,A01
11,0.042780,1,A05
12,0.007711,1,A02
13,0.013715,1,A04
14,0.043559,1,A03
15,0.076512,0,-
16,-0.030570,0,-
17,0.028879,1,A03
18,0.060371,0,-
19,0.054392,1,A02
20,0.056037,1,A05
21,-0.016140,1,A03
22,0.033341,1,A06
23,0.052266,1,A03
24,0.016099,1,A01
25,0.011695,0,-
26,0.033885,1,A04
27,0.040374,1,A06
28,0.037136,1,A05
29,-0.015980,1,A05
30,-0.013232,0,-
31,0.022260,1,A02
32,0.004379,1,A06
33,0.000837,1,A06
34,0.063200,1,A02
35,0.039530,1,A06
36,0.052584,1,A02
37,-0.063058,1,A01
38,0.009044,1,A05
39,0.013454,1,A06
40,-0.023506,1,A03
41,0.061571,1,A02
42,0.046952,1,A04
43,0.065058,1,A06
44,-0.030646,1,A04
45,0.020731,1,A05
46,0.068655,1,A01
47,0.027583,1,A06
48,0.066332,1,A03
49,-0.052373,1,A05
50,-0.012650,0,-
51,0.014530,1,A01
52,0.032530,1,A03
53,0.086396,1,A06
54,0.001984,1,A02
55,-0.020633,1,A06
56,0.068476,1,A04
57,0.005351,1,A02
58,0.024038,1,A02
59,0.003222,1,A05
60,0.043445,0,-
61,0.005401,1,A06
62,-0.011867,1,A04
63,-0.002727,0,-
64,-0.034936,0,-
65,-0.032099,1,A04
66,0.036388,1,A04
67,0.041701,1,A01
68,0.035512,1,A02
69,-0.001993,1,A04
70,-0.004633,1,A04
71,0.035330,1,A06
72,0.054073,1,A06
73,0.037886,1,A02
74,0.045598,1,A04
75,0.013645,1,A04
76,0.049229,1,A03
77,-0.036233,0,-
78,0.026187,1,A03
79,-0.013589,1,A04
80,-0.022351,1,A04
81,0.003429,1,A01
82,0.014130,1,A01
83,0.051299,1,A04
84,0.015539,1,A05
85,0.000796,1,A01
86,-0.000544,1,A06
87,0.029815,1,A05
88,0.040288,1,A06
89,0.002447,1,A01
90,0.049788,1,A05
91,-0.004677,1,A05
92,-0.003223,1,A01
93,0.003705,1,A03
94,-0.021358,1,A04
95,0.004214,1,A03
96,-0.007810,1,A01
97,0.018030,1,A04
98,-0.012150,1,A06
99,-0.005095,1,A02
100,0.043555,1,A05
101,0.038629,1,A06
102,-0.005420,1,A06
103,-0.004766,1,A05
104,-0.003791,1,A06
105,0.066248,0,-
106,0.037359,1,A06
107,0.013898,1,A01
108,0.025013,1,A01
109,0.045952,0,-
110,0.064074,1,A02
111,0.084205,1,A05
112,0.048779,1,A06
113,-0.030459,1,A05
114,0.034602,1,A02
115,0.041301,1,A04
116,-0.022871,0,-
117,0.029816,1,A01
118,-0.025015,1,A06
119,-0.018811,1,A05
120,-0.000254,1,A05
121,0.022132,1,A03
122,0.010161,1,A06
123,0.051678,1,A02
124,0.002103,1,A04
125,-0.033332,1,A05
126,0.026683,1,A06
127,0.056048,1,A01
128,0.011460,1,A02
129,0.060798,1,A01
130,0.101141,1,A03
131,0.016324,1,A05
132,0.044256,1,A03
133,0.008250,0,-
134,-0.019681,0,-
135,0.012715,1,A03
136,0.028099,1,A05
137,0.004016,1,A01
138,-0.057955,1,A05
139,-0.037404,1,A06
140,0.018150,1,A05
141,0.012965,0,-
142,-0.017090,1,A01
143,0.080781,1,A04
144,0.003002,1,A01
145,0.006638,1,A02
146,0.057000,1,A06
147,0.033070,1,A02
148,0.056158,1,A03
149,0.005072,0,-
150,-0.019656,1,A05
151,0.054244,1,A02
152,0.023688,1,A02
153,0.008009,0,-
154,0.012655,1,A03
155,0.058331,1,A02
156,-0.003573,1,A03
157,0.009790,1,A01
158,0.027224,1,A05
159,0.055599,0,-
160,0.039514,1,A05
161,-0.000656,1,A03
162,0.006466,1,A05
163,0.033133,1,A03
164,-0.005402,1,A04
165,0.029952,1,A02
166,-0.023939,1,A03
167,0.002542,1,A04
168,0.065972,1,A03
169,0.059238,1,A04
170,0.075793,1,A02
171,-0.021883,1,A02
172,0.026880,1,A03
173,0.011094,1,A03
174,0.017240,1,A04
175,0.037013,1,A03
176,-0.028717,1,A01
177,-0.000347,0,-
178,-0.021530,0,-
179,0.021713,0,-
180,0.049139,1,A04
181,0.004531,1,A06
182,-0.003164,1,A03
183,0.025320,1,A06
184,-0.000781,1,A04
185,0.030653,1,A02
186,0.053544,1,A02
187,-0.012325,1,A03
188,0.004999,1,A04
189,0.041832,1,A02
190,-0.061011,0,-
191,0.018831,1,A03
192,-0.018190,0,-
193,0.046365,1,A05
194,0.011507,1,A01
195,-0.011309,1,A01
196,0.034769,0,-
197,0.028904,1,A01
198,0.034396,1,A01
199,0.028825,1,A01
200,0.020958,1,A01
201,0.008930,1,A02
202,0.000312,1,A05
203,0.053736,1,A04
204,0.016830,1,A06
205,-0.034420,1,A06
206,0.040392,1,A05
207,0.011323,1,A04
208,0.002030,0,-
209,-0.026951,1,A01
