class,N,analysis_type,f1_mean,f1_std,tau_mean,tau_std,prec_mean,rec_mean,dens_input,dens_agg,dm_f1_mean,dm_f1_std
bonafide,50,trained,0.20880109823801643,0.061263228711482924,0.044929884725497936,0.03031054068321668,0.26694524988866797,0.18312663696284287,0.2636406927975293,0.1967899613097788,0.2054628636924654,0.06328829937072887
A01,50,trained,0.16499110518182103,0.018545249599455402,0.03161947382799369,0.0015664709362724627,0.16144181348842548,0.16893605186497024,0.18186759895402457,0.19032339194611833,0.15231945182737325,0.024460226532077748
A02,50,trained,0.18277640058023736,0.04544936725524285,0.0352404530489124,0.0068066265091806894,0.20045203886040508,0.17271763763153608,0.22730091951980896,0.19960095446255124,0.17631933564145555,0.050218795205791936
A03,50,trained,0.17086748261389065,0.019059333225110834,0.03100382169123633,0.0015957729866189763,0.16902711564664152,0.17336904634181763,0.18828091615935996,0.19254834076283087,0.15955073759521407,0.026629650424735016
A04,50,trained,0.18159080836221708,0.025793307541886704,0.032839911923294614,0.002862124741932693,0.18611533612434328,0.17849633831013578,0.21064940677504812,0.20228375677272312,0.1763631592980468,0.03007733483782996
A05,50,trained,0.248692209083486,0.10211154462887319,0.06621245104448815,0.09062938154449024,0.35422052256220765,0.20220052388737425,0.3097202911512909,0.19932675697116223,0.24739620366628098,0.10303683505520032
A06,50,trained,0.22046757049843502,0.0695042002473103,0.04159559033563173,0.019681871836502447,0.28169365349518327,0.18984232341339957,0.2801835337322603,0.20209078920281623,0.21911493922225372,0.07049427041450304
bonafide,50,random_baseline,0.2297110271759741,0.027334955060407447,0.04222560811617477,0.02718704048304979,0.2651553016002461,0.2073780217383294,0.2636406927975293,0.20564932558809343,0.228140503458539,0.028053237899593533
A01,50,random_baseline,0.18799678096248876,0.02270629299012605,0.03348481528864868,0.002919188318232011,0.18577725382333882,0.19068969953909304,0.18186759895402457,0.18675157882056356,0.1826469540629108,0.024395227362541766
A02,50,random_baseline,0.20904171930490748,0.032441144167253716,0.038071242411109776,0.009556932633904799,0.2272091074631598,0.1983706409045859,0.22730091951980896,0.1974208970639987,0.20562133264669732,0.034765044437639045
A03,50,random_baseline,0.19435635128085202,0.02552418867835257,0.0326685818298493,0.0027057616950147897,0.19358658266592305,0.1958850503356387,0.18828091615935996,0.1901123529279999,0.18901279825658512,0.029262196837343955
A04,50,random_baseline,0.21347237373512926,0.0369160970446242,0.034706203993520514,0.0035086159632226814,0.2201917508488277,0.2085496030025028,0.21064940677504812,0.20065055287143319,0.2109736683162379,0.038083892444887434
A05,50,random_baseline,0.2440226685734714,0.039197367083554945,0.07784485923319781,0.12427599701486289,0.32399454459360144,0.2063199012714705,0.3097202911512909,0.19992868681979784,0.24195238927422338,0.03984851555121189
A06,50,random_baseline,0.24794325644539694,0.034900551037799606,0.04035284916896638,0.009902907637296997,0.2936593551521213,0.21931243941220188,0.2801835337322603,0.20929889318555392,0.24688898156996394,0.03582184291565624
bonafide,50,uniform_attn,0.15056966038113198,0.06582410219711925,0.0406698425925926,0.004662696644180875,0.18103890622064064,0.1339602134547581,0.2636406927975293,0.20926395668076694,0.14127493792841986,0.07116828868447364
A01,50,uniform_attn,0.1162658860559122,0.00806812824758057,0.03604621693121693,0.00032351851851851856,0.11198632708758538,0.12103774282038109,0.18186759895402457,0.19609853421054152,0.07878580110388428,0.019194845900128522
A02,50,uniform_attn,0.13909356631760617,0.04647760891707752,0.03831051111111111,0.003995721815037878,0.15331659396760217,0.13174836501263015,0.22730091951980896,0.20268077144045477,0.11527924410884319,0.05978836380243524
A03,50,uniform_attn,0.11623426049004283,0.011264741661726281,0.03641835873015873,0.0019306477143659969,0.11365904632516935,0.11949125734626037,0.18828091615935996,0.1969525746579255,0.08356233231402871,0.02519431698618291
A04,50,uniform_attn,0.12187081480573728,0.01197656094160172,0.03711620132275133,0.002881463478296021,0.12341675139983932,0.12146766085730569,0.21064940677504812,0.20658336626093468,0.10173820949917659,0.023296988610645455
A05,50,uniform_attn,0.20508564664366094,0.11852423460574277,0.05995230396825397,0.08592325395511653,0.2976055937452627,0.16520159463695788,0.3097202911512909,0.2040407935682763,0.2007056184188194,0.12189397713431208
A06,50,uniform_attn,0.16609167884543974,0.07997404184149182,0.040976867724867735,0.004214974129308365,0.20749265385335725,0.14295479989249685,0.2801835337322603,0.20961077220653,0.16052714297187204,0.08306631843992078
