A,B,dAUC,ci_lo,ci_hi,p,seed_signs
iso_0.5,baseline,-0.008212499999999992,-0.011482225659988096,-0.005275934155476065,0.0,"[-1, 1, -1]"
iso_0.7,baseline,-0.002336458333333402,-0.004495808020467438,-0.00039328582547144895,0.024,"[-1, 1, -1]"
iso_0.875,baseline,-0.00048802083333328766,-0.0025128036911300972,0.0015727795489499012,0.643,"[-1, 1, 1]"
iso_1.25,baseline,0.001909374999999991,-0.0003625229001788743,0.004098500760218083,0.107,"[1, 1, 1]"
shift_0.5,baseline,-0.002889062500000058,-0.0055108203493473605,-0.00023737032444573068,0.031,"[-1, 1, -1]"
shift_0.7,baseline,0.001213541666666614,-0.001069856244098257,0.0034752942258787817,0.31,"[-1, 1, 1]"
shift_0.875,baseline,0.0007223958333332595,-0.0013406618565873821,0.002714957519675411,0.51,"[1, 1, 1]"
shift_1.25,baseline,0.0013796874999999116,-0.0007637142305492163,0.003497793584488022,0.225,"[-1, 1, 1]"
iso_0.7_ungated,baseline,-0.012423437499999931,-0.016159945657534553,-0.008962936919868079,0.0,"[-1, -1, -1]"
spec_0.6,baseline,-0.00589687499999995,-0.00856211619551393,-0.0034714383420946715,0.0,"[-1, -1, -1]"
spec_0.8,baseline,-0.001075000000000011,-0.003115509345972455,0.0010236070500709712,0.282,"[-1, 1, -1]"
spec_1.25,baseline,0.003201041666666682,0.0008215252361611183,0.005275752740767039,0.008,"[1, 1, 1]"
spec_1.6,baseline,0.005128125000000076,0.002456894246460172,0.007804408878821234,0.0,"[1, 1, 1]"
smooth_3,baseline,0.0034901041666666557,0.001350448458754272,0.005768728147699967,0.0,"[1, 1, 1]"
smooth_5,baseline,0.0019770833333333146,-0.00038608903765965924,0.0044212846567225125,0.112,"[1, 1, 1]"
smooth_9,baseline,-0.001117708333333356,-0.003948245076810885,0.0016798132265526903,0.463,"[-1, 1, -1]"
jitter_0.5,baseline,0.0012124999999999497,-0.0009505151639563298,0.0033172370682918732,0.29,"[1, 1, 1]"
jitter_1.0,baseline,-0.002222916666666667,-0.004480132567998039,-4.919366937410623e-05,0.046,"[-1, 1, -1]"
shuffle,baseline,-0.01704218750000001,-0.0230849455930646,-0.011454357704722903,0.0,"[-1, -1, -1]"
sub_top_0.7,baseline,-0.031978645833333395,-0.037865854331312475,-0.026039121377478106,0.0,"[-1, -1, -1]"
sub_res_0.7,baseline,0.003871875000000006,0.0014665386927117524,0.006364561488185028,0.0,"[1, 1, 1]"
iso_0.7,shift_0.7,-0.0035500000000000163,-0.006128849386858464,-0.0010323572257445411,0.006,"[-1, -1, -1]"
iso_0.7,iso_0.7_ungated,0.010086979166666529,0.006999871726634493,0.013416012418905545,0.0,"[1, 1, 1]"
iso_0.7,smooth_3,-0.005826562500000058,-0.00860305631571221,-0.003162428706487718,0.0,"[-1, -1, -1]"
sub_top_0.7,sub_res_0.7,-0.0358505208333334,-0.04256941917058905,-0.029389116813790424,0.0,"[-1, -1, -1]"
