f1,f2,loo_r2
vel_entropy_L12,mu_norm_L12,0.1548976205849122
vel_entropy_L12,rog_L0,0.15479567345816325
vel_entropy_L9,vel_entropy_L12,0.14341957684825957
vel_entropy_L9,rog_L0,0.1323038071428424
vel_entropy_L9,mu_norm_L12,0.1307584237443572
vel_entropy_L12,rog_L12,0.11675985845750148
vel_entropy_L12,rog_L9,0.1015396731744973
vel_entropy_L9,rog_L9,0.09751535074520301
vel_entropy_L9,vel_mean_L9,0.0970980999959683
vel_entropy_L9,eff_rank_L9,0.08626722003338305
vel_entropy_L12,part_ratio_L9,0.08280635809985148
vel_entropy_L9,part_ratio_L9,0.08247859206728825
vel_entropy_L12,vel_mean_L9,0.08086637529366958
vel_entropy_L12,eff_rank_L9,0.07994418774558976
rog_L0,rog_L9,0.07666467557989187
vel_entropy_L12,vel_mean_L0,0.076413941092344
vel_entropy_L9,vel_mean_L0,0.07175969425938478
vel_entropy_L9,rog_L12,0.07009267467346503
rog_L0,mu_norm_L12,0.06651021805366042
rog_L0,rog_L12,0.046532296992484734
rog_L0,vel_mean_L9,0.03480935978195565
mu_norm_L12,rog_L9,0.03413889853934782
mu_norm_L12,vel_mean_L9,0.027887434176613657
rog_L9,part_ratio_L9,0.01540581355611359
rog_L9,eff_rank_L9,0.013970390360030449
mu_norm_L12,vel_mean_L0,0.01327045818633732
rog_L0,vel_mean_L0,0.013142285604537673
rog_L0,eff_rank_L9,0.012758564586420773
rog_L9,vel_mean_L0,0.012729178342382963
rog_L0,part_ratio_L9,0.011981529647480782
mu_norm_L12,rog_L12,0.005371071108869474
mu_norm_L12,eff_rank_L9,0.00411326637481868
rog_L9,vel_mean_L9,0.0022284585000801327
mu_norm_L12,part_ratio_L9,0.0010884425201234116
rog_L9,rog_L12,-0.00526401745003513
vel_mean_L9,rog_L12,-0.014690221276787208
vel_mean_L9,vel_mean_L0,-0.021436634203354732
vel_mean_L9,eff_rank_L9,-0.025524039759796224
vel_mean_L9,part_ratio_L9,-0.02622546421082106
rog_L12,vel_mean_L0,-0.027225207349085068
eff_rank_L9,rog_L12,-0.03593856115842442
eff_rank_L9,part_ratio_L9,-0.043763924160915346
rog_L12,part_ratio_L9,-0.04565134095666301
eff_rank_L9,vel_mean_L0,-0.04671235890218273
vel_mean_L0,part_ratio_L9,-0.05174838190872144
