feature,spearman,p_spearman,pearson,loo_r2,q_fdr
vel_entropy_L9,0.3518244315177154,0.00542771957154538,0.3881656647609852,0.08326744622031768,0.07808126477317691
vel_entropy_L12,0.309941829719725,0.015064194350888127,0.38500680262555326,0.0827007888163861,0.07912042331238427
rog_L0,-0.3813855103120042,0.002424456970197765,-0.3382207673187445,0.05261551571258105,0.07273370910593295
mu_norm_L12,0.2894764674775251,0.023648270983431363,0.31778799094896915,0.03538429599553128,0.10134973278613442
rog_L9,-0.2056054997355896,0.11191494766226603,-0.2725071533865957,0.015843228439408552,0.2595726014578081
vel_mean_L9,-0.17609730301427814,0.17460767719079143,-0.22984996079132008,-0.0004258643962564701,0.3366050285519403
eff_rank_L9,-0.26557377049180325,0.038584299607852125,-0.2481280341900161,-0.014797226987512957,0.14469112352944546
rog_L12,-0.30777366472765727,0.015824084662476853,-0.24156778811630042,-0.015198717594742561,0.07912042331238427
vel_mean_L0,-0.15700687466948704,0.22689125226452256,-0.20788668581942543,-0.017111577750468676,0.3582493456808251
part_ratio_L9,-0.3257535695399259,0.010410835303090255,-0.24831019182153966,-0.02020561354598227,0.07808126477317691
vel_mean_L12,-0.18270756213643574,0.15872725756999312,-0.1910754530219284,-0.020403804742023635,0.3366050285519403
tortuosity_L9,-0.14706504494976202,0.25804875169278324,-0.15429445183813376,-0.030057367176551386,0.3870731275391749
tortuosity_L12,-0.1341618191433104,0.30262095144775447,-0.14331623839340948,-0.03295435846000139,0.42832573960100806
recurrence_L9,0.027778545004009662,0.8317092102874744,0.22303471820884313,-0.03367708964587002,0.9241213447638604
eff_rank_L12,-0.20962453728186142,0.10492749578348574,-0.15911680479652507,-0.036032376392226784,0.2595726014578081
part_ratio_L12,-0.20856689582231622,0.10673270528438082,-0.17326801230986127,-0.03711516009352622,0.2595726014578081
vel_cv_L12,0.17414066631411948,0.17952268189436815,0.18426584710374794,-0.037203532579990206,0.3366050285519403
curvature_L12,0.10470650449497619,0.42193038390557946,0.18700351624145656,-0.039878338378683376,0.5063164606866954
top1_frac_L9,0.33209941829719725,0.008928300910203411,0.2199666271196805,-0.04516466940658881,0.07808126477317691
dist_bona_centroid_L9,0.16150185087255417,0.2136996259716122,0.11703835825113014,-0.046695055628680704,0.3561660432860203
accel_mean_L12,-0.10988894764674774,0.3991937956428686,-0.08947411052934354,-0.04706774551989179,0.5063164606866954
accel_mean_L9,-0.10544685351665785,0.4186377606925993,-0.10986369996153497,-0.048229596797674246,0.5063164606866954
top1_frac_L12,0.23728186144896876,0.06557993803914888,0.17603163220140802,-0.0499026811007397,0.21859979346382963
mu_norm_L9,0.045637228979375985,0.7269044291557398,-0.0005257881913821039,-0.05200986386563233,0.8387358797950845
dist_bona_centroid_L12,0.20528820729772607,0.11248146063171684,0.09578904955041044,-0.056070372021149506,0.2595726014578081
vel_cv_L9,-0.016710735060814382,0.8982884013118855,0.07746538026659738,-0.058145039586934955,0.9624518585484487
curvature_L9,0.0041776837652035955,0.9745088467650014,0.07551814302530566,-0.05849667190793295,0.9745088467650014
twonn_id_L12,-0.010946589106292964,0.9332716228004563,-0.10718984743519006,-0.060464954748817856,0.9654534028970237
twonn_id_L9,0.131041776837652,0.31410554237407257,-0.03522370450774424,-0.07780738961618971,0.42832573960100806
recurrence_L12,0.16804828083455223,0.1954668850053827,0.05487189909373433,-0.10167746939308331,0.34494156177420476
