i,label,system,language,vel_mean_L0,rog_L0,rog_L9,eff_rank_L9,part_ratio_L9,top1_frac_L9,vel_mean_L9,vel_cv_L9,vel_entropy_L9,accel_mean_L9,curvature_L9,tortuosity_L9,recurrence_L9,twonn_id_L9,mu_norm_L9,rog_L12,eff_rank_L12,part_ratio_L12,top1_frac_L12,vel_mean_L12,vel_cv_L12,vel_entropy_L12,accel_mean_L12,curvature_L12,tortuosity_L12,recurrence_L12,twonn_id_L12,mu_norm_L12,dist_bona_centroid_L9,dist_bona_centroid_L12
0,1,Cartesia.ai (Sonic-3)|en,en,4.765525817871094,5.438748836517334,6.2250566482543945,44.25669479370117,32.05542993907648,0.06663263589143753,3.8550217151641846,0.4174512325427869,2.646721928768864,4.736666202545166,0.6579767465591431,45.82634706228485,0.0010426441455531226,3.2580155043576875,1.5242544412612915,10.742870330810547,42.995521545410156,29.84892323913085,0.07843460142612457,6.811818599700928,0.35316944501237657,2.7377760284846753,8.202678680419922,0.6494969725608826,46.92177876477094,0.0,2.7430587680089835,4.0694499015808105,1.2191514,2.0987349
1,1,Cartesia.ai (Sonic-3)|en,en,4.5641045570373535,5.432097434997559,6.3179931640625,39.13032531738281,24.513619242130577,0.12186338752508163,4.119796276092529,0.4756335158559092,2.776171825559899,5.6851806640625,0.8201578855514526,48.25344397858845,0.0025023459493274947,3.4546254032026025,1.7258821725845337,10.898724555969238,35.385162353515625,19.677123460992064,0.16542482376098633,6.577602863311768,0.4965676960798733,2.803389069302567,8.785019874572754,0.7857193946838379,44.660511626517085,0.0016682306328849963,2.7528575180292316,4.0781073570251465,1.3896136,2.4789774
2,1,Cartesia.ai (Sonic-3)|en,en,5.063505172729492,5.4157257080078125,6.134664058685303,48.667762756347656,35.1659581881103,0.06286387890577316,4.087035179138184,0.363520276313407,2.833240765646192,5.1403279304504395,0.7075817584991455,49.3002729896442,0.00020852882911062454,3.2576045651001473,1.7498323917388916,10.442434310913086,48.079185485839844,33.92435160990399,0.07346092164516449,7.2745680809021,0.3101007972338099,2.779823574745717,8.949530601501465,0.6942602396011353,51.551011782435864,0.0006255864873318737,3.2561128298212028,3.919198989868164,1.1844647,2.0477538
3,1,Cartesia.ai (Sonic-3)|en,en,4.89463472366333,5.494629383087158,6.320746898651123,45.894744873046875,32.75206774917331,0.07252340763807297,3.983572006225586,0.40042013220715056,2.879286996085914,4.913402557373047,0.6631192564964294,46.63757891306732,0.00010426441455531227,3.030865472663199,1.6952606439590454,10.724427223205566,42.0262451171875,28.914562719858807,0.08676420897245407,6.835408687591553,0.38163830474882576,2.8409269593986446,8.27449893951416,0.6480523943901062,47.165246305212825,0.00010426441455531227,3.4466513369090594,4.0594635009765625,1.2178838,2.0161507
4,1,Cartesia.ai (Sonic-3)|en,en,4.225550174713135,5.19834041595459,6.086246967315674,36.17817687988281,22.17993116817654,0.13393613696098328,4.14450216293335,0.37574256605554135,2.8108972131176313,5.794508457183838,0.9194429516792297,50.39118161266013,0.003753518923991242,3.251247900872394,1.7976629734039307,10.44327163696289,28.754640579223633,15.481492486114877,0.19884388148784637,5.899084091186523,0.3784895349517064,2.7038461441797015,7.394188404083252,0.8231044411659241,41.8003324760239,0.0032321968512146805,3.757438858251382,4.134735107421875,1.3808728,2.8013964
5,1,Cartesia.ai (Sonic-3)|en,en,5.284543037414551,5.548660755157471,6.40646505355835,47.328983306884766,33.45233755542945,0.06602400541305542,4.321796417236328,0.43375013681293273,2.7901012011891226,5.602757453918457,0.745851993560791,49.92034211884677,0.0029194036075487436,2.9559203719331673,1.6645838022232056,11.236534118652344,42.533206939697266,28.669659565238256,0.08378034830093384,7.688324928283691,0.40986611167014214,2.7761523921169533,9.802750587463379,0.7185365557670593,50.632697693838374,0.002189552705661558,3.6879581623235818,3.675711154937744,1.2718707,2.1905036
6,1,Cartesia.ai (Sonic-3)|en,en,4.8078413009643555,5.531351566314697,6.203818321228027,47.0490837097168,33.08378211452861,0.06891050934791565,4.316922664642334,0.35237519306609366,2.8546964274282223,5.744746208190918,0.8031452298164368,51.49284746374586,0.0012511729746637473,3.643047731989327,1.4687814712524414,10.920064926147461,43.36699295043945,28.48872381775235,0.10545999556779861,7.526667594909668,0.33282926499210064,2.869412902509231,9.855170249938965,0.785707414150238,51.0045858187353,0.00020852882911062454,2.9927041534162733,3.8905715942382812,1.1222318,1.9012678
7,1,Cartesia.ai (Sonic-3)|en,en,4.52871561050415,5.356709003448486,6.450623989105225,41.942893981933594,28.648431139112425,0.0963035374879837,4.01527214050293,0.4238725554695763,2.7458042784660934,5.181565761566162,0.7230660319328308,46.06223017415674,0.00020852882911062454,3.026815904993254,1.634949803352356,10.518922805786133,37.40055465698242,24.753375521016043,0.11452605575323105,5.814670562744141,0.34684988365000224,2.870513811313171,6.806131362915039,0.6413564682006836,40.905862887116605,0.0,2.8119691904529236,3.6855974197387695,1.2846093,2.3371968
8,1,Cartesia.ai (Sonic-3)|en,en,4.734828472137451,5.4711408615112305,6.283806324005127,41.370086669921875,29.6670343970614,0.07523997873067856,3.71690034866333,0.46768680952481384,2.7479890237011255,4.633543491363525,0.6501737833023071,43.771340884799535,0.0,2.820094001699016,1.821865439414978,10.776185989379883,41.376407623291016,29.022571907029466,0.09076064079999924,6.5004706382751465,0.3881035541968121,2.6731018690397637,7.848307132720947,0.6332573294639587,44.63868951692987,0.0,2.692925041694296,4.170731067657471,1.3472679,2.1620245
9,1,Cartesia.ai (Sonic-3)|en,en,5.365547180175781,5.529514312744141,6.338698387145996,52.975563049316406,37.297875203674934,0.06386647373437881,4.697248458862305,0.3624563539935502,2.759577339834584,6.320132732391357,0.8207939267158508,54.8371847470403,0.0009383797309978105,3.493736275403969,1.8401249647140503,10.741512298583984,46.38831329345703,30.63013474700703,0.0818861871957779,8.29169750213623,0.30896506114511524,2.7726952340238795,10.928757667541504,0.8086504340171814,57.12283478045052,0.0013554373892190595,4.241924409005416,4.432148456573486,1.4255868,2.3569975
10,1,Cartesia.ai (Sonic-3)|en,en,3.6818723678588867,5.2133989334106445,6.18187952041626,36.230812072753906,23.104896144453477,0.12294591218233109,3.7683727741241455,0.4830487746160688,2.7358407455577893,4.901739597320557,0.7155039310455322,45.10919174371861,0.0010426441455531226,3.067507778647598,1.8040801286697388,10.647665023803711,30.123781204223633,17.169939738874273,0.1768592894077301,5.849272727966309,0.4757911059871783,2.8326355812965427,7.129444122314453,0.6372168064117432,40.65174763091882,0.0008341153164424981,3.745338757440129,4.289100170135498,1.5294231,2.919591
11,1,Chatterbox|en,en,4.873824119567871,5.514834880828857,6.044487476348877,35.892276763916016,24.18363803727124,0.09721048921346664,3.9915359020233154,0.4317210333587801,2.7577098561584745,5.212555885314941,0.7275316119194031,48.86661745636639,0.006255864873318737,3.0217353215112364,1.8457049131393433,10.66016960144043,35.6290168762207,23.072523849171912,0.12181707471609116,7.422416687011719,0.3718160604026138,2.7508606163228553,9.809379577636719,0.7777402997016907,51.52440070216268,0.006255864873318737,1.7545914198303822,4.266881942749023,1.4214287,2.37082
12,1,Chatterbox|en,en,4.797184944152832,5.377925395965576,6.305347919464111,26.766294479370117,17.457758714349563,0.12630139291286469,4.0691094398498535,0.36728050524386413,2.7383472026331375,5.065493583679199,0.702386200428009,47.75535134152867,0.015848191012407465,1.9716846368104235,2.185465097427368,10.496283531188965,26.076778411865234,17.970368740560435,0.13720400631427765,7.0241780281066895,0.38257615742933704,2.821889418891543,8.861863136291504,0.7117683291435242,49.521259884584,0.023563757689500572,0.927001922649175,4.4108147621154785,1.8272412,2.6538358
13,1,Chatterbox|en,en,5.261205673217773,5.413839340209961,6.341800689697266,41.403812408447266,27.53691125623724,0.08345005661249161,4.330818176269531,0.3291760731542852,2.7858782932563795,5.489609241485596,0.7256391048431396,50.534626593638585,0.004796163069544364,4.9768964073699875,1.93064284324646,10.722687721252441,39.645896911621094,26.48115365957326,0.0952618196606636,7.847874164581299,0.35336198979409084,2.863073273992467,10.21038818359375,0.7537705302238464,54.16017801490077,0.006464393702429361,3.7099611517205755,4.554243564605713,1.4558483,2.340907
14,1,Chatterbox|en,en,4.537442207336426,5.301587104797363,6.222769260406494,45.38576889038086,32.634198589613185,0.06652506440877914,3.9216415882110596,0.44009027661199424,2.825432771053062,5.031488418579102,0.7033902406692505,46.635423057900894,0.0,2.662217631159407,1.5541681051254272,10.768199920654297,42.84602737426758,29.367503372289374,0.08481070399284363,6.717229843139648,0.3645635012917703,2.830356065952198,8.232250213623047,0.6710783243179321,46.16138406323394,0.0,3.412224064312426,4.014054298400879,1.0969887,1.8568046
15,1,Chatterbox|en,en,5.222075462341309,5.313485145568848,6.327632904052734,45.81404113769531,32.724988530238086,0.06753890961408615,4.105952262878418,0.43357201404828893,2.8394164656189367,5.245956897735596,0.6942538022994995,48.01803284519117,0.0,3.2688600750801333,1.684735894203186,10.858318328857422,45.63870620727539,31.90781333772917,0.07340558618307114,7.556745529174805,0.3863329463987953,2.8415243964911796,9.705878257751465,0.7139665484428406,51.49960986395767,0.0,3.234051565273399,4.299036026000977,1.3137785,2.1201284
16,1,Chatterbox|en,en,5.180333137512207,5.299209117889404,6.2138285636901855,44.61878204345703,31.374137309590402,0.067092165350914,4.025058269500732,0.4535756582714588,2.7932684973606943,5.239940643310547,0.722295880317688,47.934104719670856,0.00010426441455531227,3.209447733409567,1.6393187046051025,10.788493156433105,43.934539794921875,30.09882367624945,0.08373988419771194,6.964914798736572,0.3901282204444931,2.7809057870844316,8.702421188354492,0.6919276714324951,47.77346373122385,0.00020852882911062454,3.4494148262440048,3.745553970336914,1.3434192,2.1160328
