system,label,rms,s_along,s_orth,logit,vel_entropy_L12,vel_entropy_L9,mu_norm_L12,rog_L12,vel_mean_L12,vel_mean_L0,rog_L0,sd_along,hard_main,hard_s42,hard_s1024,hard_shared
Cartesia.ai (Sonic-3)|en,1.0,0.050419185,7.206027030944824,24.78179931640625,6.7449164390563965,2.779823574745717,2.776171825559899,4.0694499015808105,10.741512298583984,6.811818599700928,4.765525817871094,5.438748836517334,2.477801554527073,0.047256708049659535,0.06898277933520225,0.06818181818181812,0.061473768522226635
Chatterbox|en,1.0,0.048618026,6.832940101623535,23.791837692260742,4.807985067367554,2.8034296499465197,2.7895958676424275,4.168933391571045,10.73007583618164,7.0718183517456055,4.835504531860352,5.389824151992798,3.70531616972978,0.26864380113278785,0.24685336689741977,0.26297986154814357,0.25949234319278375
DeepGram|en,1.0,0.06907033,7.171701908111572,25.2611141204834,6.990963935852051,2.7936055622527416,2.7771058203629404,4.139225959777832,10.827760696411133,6.9227399826049805,4.909480094909668,5.411980628967285,2.613113028752205,0.03206069505628972,0.04270680372001956,0.05347528144884983,0.042747593408386374
Edge-TTS|en,1.0,0.07417894,5.014733791351318,31.521265029907227,6.248486042022705,2.7512740032333016,2.7754456598056256,4.324098587036133,10.406357765197754,6.70457124710083,4.462692737579346,5.338987350463867,4.496221167625422,0.09728340675477243,0.20509055310817426,0.13705335291238374,0.14647577092511013
FireRedTTS-2.0|en,1.0,0.034772657,2.785212755203247,26.567824363708496,2.9116599559783936,2.8466397662354592,2.8152271178611894,4.239312171936035,10.857375621795654,6.865265130996704,4.663709402084351,5.273106336593628,6.234040835503214,0.5086729074889869,0.5117703744493391,0.5481828193832599,0.5228753671071953
FishTTS|en,1.0,0.03956239,7.147126197814941,25.08771324157715,5.275031089782715,2.801672619769398,2.7605033083857413,4.023335933685303,10.865914344787598,6.463715553283691,4.725685119628906,5.2731032371521,3.657755152461108,0.2161527165932453,0.2743759177679883,0.2875917767988252,0.2593734703866863
Higgs-Audio-V2|en,1.0,0.03509808,6.148266792297363,25.67302131652832,2.5650269985198975,2.8015422639971126,2.806094214685134,4.414313316345215,10.672139167785645,6.636761665344238,4.599164009094238,5.326188564300537,5.2816544784216655,0.5131679754836238,0.5020589925301666,0.41122390346676885,0.4754836238268531
Index-TTS-1.5|en,1.0,0.0465435,9.05176830291748,26.090059280395508,2.8452672958374023,2.7884015848123718,2.800460399688917,4.332667827606201,10.78337574005127,6.785032749176025,4.7028913497924805,5.238400936126709,5.1037135866799686,0.5030102790014684,0.5476505139500735,0.4825991189427312,0.511086637298091
Index-TTS-2.0|en,1.0,0.04657947,8.27705192565918,24.79433822631836,4.200688362121582,2.786495991952504,2.7896216328312846,3.991861343383789,10.826089859008787,7.313523769378662,5.217529296875,5.450282096862793,2.726074174836312,0.28491837263539777,0.3303964757709251,0.3486654573723763,0.3213267685928997
Indri-TTS-0.1|en,1.0,0.07008648,6.573573350906372,24.097180366516113,7.941269874572754,2.8257999596948826,2.755924094440572,3.95950186252594,10.829505920410156,6.711256980895996,4.602831840515137,5.176379442214966,2.740330457935058,0.021161107614852126,0.040748898678414136,0.04743549402139702,0.03644850010488776
