speaker,n,hard,s_along,s_orth,ve12,ve9,rog12,vmean12,vmean0,rms
Adam Driver,12,0.25749999999999995,3.9440627098083496,25.79126739501953,2.809251699542956,2.753157168735198,10.96025562286377,7.34160304069519,5.271087646484375,0.10464607924222946
Alan Watts,34,0.4853333333333334,1.186625361442566,33.039772033691406,2.71044175268621,2.6634822636712716,10.482378959655762,5.880945444107056,4.030847549438477,0.027040738612413406
Alec Guinness,249,0.2369504685408299,4.813356399536133,28.637531280517578,2.740734993950042,2.6950862241892737,10.818647384643555,6.213812828063965,4.875988006591797,0.03130364045500755
Alexandria Ocasio-Cortez,10,0.18593333333333328,9.410850524902344,25.161182403564453,2.7586115655315746,2.705446511901416,10.865120887756348,7.144148349761963,5.031533241271973,0.03576884791254997
Arnold Schwarzenegger,10,0.4259333333333334,4.939188003540039,27.605382919311523,2.7502063172501665,2.670668236271606,10.860662937164307,7.082649230957031,4.765033721923828,0.04789697378873825
Ayn Rand,134,0.31177114427860697,7.624666213989258,27.806110382080078,2.7322815707591706,2.714602172371505,10.868218898773193,6.773213148117065,4.614993572235107,0.03496035933494568
Barack Obama,42,0.3604603174603175,5.059665203094482,32.673744201660156,2.7744660496449702,2.7721880210133536,10.780152320861816,6.342364549636841,4.437649965286255,0.03480549901723862
Bernie Sanders,160,0.2169291666666665,2.350363254547119,24.968629837036133,2.7358572728086,2.7400485345762795,10.929241180419922,7.2817463874816895,4.979290246963501,0.043518275022506714
Bill Clinton,88,0.38037121212121205,4.1315388679504395,29.391345977783203,2.7397744267903126,2.7349222049747945,10.75083065032959,6.669143438339233,4.574194431304932,0.024858850985765457
Boris Johnson,13,0.14030769230769236,6.384224891662598,31.194482803344727,2.7661122316760203,2.7123757045921093,10.654729843139648,6.9074015617370605,4.456587791442871,0.0266717579215765
Christopher Hitchens,77,0.29628571428571426,2.7976231575012207,27.06943130493164,2.70440306712977,2.7343552629656487,10.849176406860352,7.118990421295166,4.800898551940918,0.0441335029900074
Donald Trump,24,0.5160555555555555,-1.527054786682129,41.03221893310547,2.683809779735218,2.6348593523495785,10.278661251068115,4.714893341064453,3.2879629135131836,0.03978672996163368
FDR,17,0.2595294117647059,6.231723308563232,33.926265716552734,2.732223612984717,2.708975715736964,10.703350067138672,5.724471569061279,4.033372402191162,0.038724470883607864
George W. Bush,26,0.5204871794871795,0.6028215289115906,33.151206970214844,2.761226497786007,2.7311738544130755,10.706714630126953,5.859872817993164,3.9889672994613647,0.01627272181212902
Gilbert Gottfried,19,0.08350877192982464,6.651523590087891,28.392803192138672,2.715973651829623,2.70600978398895,10.89885425567627,5.826992034912109,4.298351287841797,0.06002886965870857
JFK,33,0.5355959595959596,5.411160469055176,34.191566467285156,2.7619349753714824,2.784319167325586,10.674488067626953,6.064915657043457,4.248373985290527,0.02552804723381996
Louis Farrakhan,11,0.23963636363636365,8.253947257995605,33.035152435302734,2.767698545470791,2.739187993120608,10.886979103088379,5.372757911682129,3.705376625061035,0.05995733290910721
Mark Zuckerberg,31,0.3215268817204302,4.902646064758301,28.367467880249023,2.743471237451322,2.73603669357655,10.854452133178711,7.0310750007629395,4.59455680847168,0.0454099103808403
Martin Luther King,43,0.35,7.046939849853516,32.289119720458984,2.740037514824341,2.71435033632508,10.745097160339355,5.69351053237915,4.155824184417725,0.07365575432777405
Milton Friedman,32,0.28589583333333335,5.080636501312256,32.0614128112793,2.704637776766046,2.7038450396191314,10.849705219268799,6.220315456390381,3.9353456497192383,0.022356808185577393
Mr. Rogers,14,0.4412857142857143,6.852143287658691,33.31270217895508,2.693106372826585,2.676763336873254,10.832714557647705,4.9716105461120605,3.6678688526153564,0.03605150431394577
Nelson Mandela,37,0.42900900900900907,4.163611888885498,41.350624084472656,2.7634462422430257,2.7522380476814043,10.502793312072754,4.6923418045043945,3.7645437717437744,0.06918347626924515
Norm MacDonald,12,0.25455555555555565,2.789708137512207,27.200439453125,2.8139216476096376,2.7014461209826104,10.697626113891602,6.125802755355835,4.576667547225952,0.061260223388671875
Orson Welles,23,0.2527536231884058,2.8603367805480957,28.321617126464844,2.735891660352738,2.6899054908483815,10.875389099121094,6.732105255126953,4.692552089691162,0.010354839265346527
Queen Elizabeth II,43,0.42223255813953486,7.105757713317871,30.238292694091797,2.74098749227905,2.7143875859601523,10.625762939453125,6.116559982299805,4.279172420501709,0.025079520419239998
Richard Nixon,20,0.4505000000000001,1.474358320236206,34.71930694580078,2.7164374403436162,2.6819520592852975,10.592567443847656,5.470162630081177,3.709850549697876,0.04034881293773651
Ronald Reagan,115,0.385240579710145,2.152395486831665,25.042600631713867,2.7795378664220336,2.76378481370209,10.748547554016113,7.08991813659668,4.890484809875488,0.04535714164376259
The Notorious B.I.G.,35,0.2893714285714285,-4.970932483673096,56.63197708129883,2.2805794119792204,2.2923237520964346,9.535956382751465,3.894049644470215,2.650270462036133,0.029518650844693184
Winston Churchill,37,0.4202162162162162,5.38092565536499,32.63850402832031,2.7117264781514425,2.656723462439976,10.702521324157715,5.8849287033081055,4.159282207489014,0.018199646845459938
