speaker,label,logit,rms,s_along,s_orth,ve12,ve9,rog12,vmean12,vmean0
Ayn Rand,1,4.309013843536377,0.026053106,-0.95275086,34.21124,2.750613959072406,2.809885848283132,10.646578788757324,5.464846134185791,3.892051935195923
Christopher Hitchens,0,3.8051564693450928,0.13103476,6.5336614,29.043102,2.8452478589351466,2.794686945156087,10.743752479553223,6.067497253417969,4.932794570922852
Bernie Sanders,0,5.51375675201416,0.06482052,4.677476,26.52749,2.90369059421108,2.8515936094029555,11.020853042602539,7.110463619232178,5.188920021057129
Queen Elizabeth II,1,7.69287633895874,0.025800245,0.1071198,44.87281,2.6718358058351552,2.544435213167974,10.07343864440918,4.090322017669678,3.097886323928833
Alec Guinness,1,5.839016914367676,0.030656865,6.378359,27.806734,2.7940529900287827,2.7228265743702673,10.844606399536133,6.006867408752441,5.032860279083252
Ayn Rand,1,7.662984848022461,0.030464273,7.0929775,28.793934,2.796173407916943,2.7388390136778966,10.953045845031738,7.050479412078857,4.793313503265381
Orson Welles,1,10.027953147888184,0.012512857,3.5309994,27.060415,2.594354991707541,2.5584055193843414,11.010128021240234,7.014102458953857,5.2320556640625
George Carlin,0,6.005832672119141,0.07036787,5.7982073,23.695934,2.8399092033254827,2.835928646310688,11.386741638183594,7.666921138763428,5.331923961639404
FDR,0,4.7220048904418945,0.25270456,11.413517,59.775978,2.35717046843442,2.424742765728614,9.944443702697754,3.329615354537964,5.218818664550781
Calvin Coolidge,0,4.224032402038574,0.03289901,6.7884965,35.482628,2.8222247382008327,2.793061116606675,10.622454643249512,5.746720790863037,4.64138650894165
Ronald Reagan,0,6.588971138000488,0.12853706,6.352043,24.548975,2.855726695452777,2.784930742897897,10.75267219543457,6.578108310699463,4.85471248626709
Bill Clinton,0,7.743775844573975,0.030582849,-11.724365,66.52094,2.008973123389451,1.9909839051652043,9.177616119384766,2.7811763286590576,2.2211995124816895
Donald Trump,0,4.323029041290283,0.053143058,3.3971834,37.731907,2.792742501130041,2.8343655036005346,10.500946044921875,5.060222625732422,4.3120646476745605
Alec Guinness,1,8.931069374084473,0.022407908,4.0462317,28.648699,2.5893121827191594,2.740081872542331,10.722556114196777,6.656573295593262,5.034481525421143
Christopher Hitchens,0,4.555148124694824,0.074557655,2.5652213,27.866594,2.8227481513325623,2.8926464276240367,10.943404197692871,6.7583184242248535,5.083436965942383
Bernie Sanders,1,9.658065795898438,0.03557379,1.875532,23.431913,2.8079940556674874,2.9006204694601267,11.106939315795898,7.735747337341309,5.1579084396362305
Alec Guinness,0,5.035558700561523,0.044837978,5.4608297,25.355087,2.852333330715126,2.7533341273027565,10.82104206085205,6.412522792816162,5.407827377319336
Milton Friedman,1,7.604199409484863,0.03222918,7.613452,25.435024,2.8098248751433297,2.821562260576364,11.078917503356934,7.534510612487793,4.623029708862305
FDR,0,6.766683101654053,0.026825923,5.64108,31.54772,2.8329890430172937,2.712347272831583,10.55926513671875,6.694125652313232,4.895847797393799
Mark Zuckerberg,0,6.2872314453125,0.083559625,6.6106253,34.67447,2.840589743113615,2.8153812192718304,10.484085083007812,5.548604488372803,5.536024570465088
Norm MacDonald,0,5.430577278137207,0.06623537,3.9823527,28.436937,2.6678197678569244,2.6768326416392507,10.905522346496582,6.824169158935547,4.8941168785095215
Alec Guinness,1,6.611307144165039,0.030070975,5.124222,29.481907,2.66786718547342,2.6328601608971685,10.733043670654297,6.213362216949463,5.145835876464844
Bill Clinton,1,4.409582138061523,0.026292214,6.6878576,25.96423,2.7431843455373497,2.7024539108066126,11.05895709991455,7.425348281860352,4.862751007080078
Donald Trump,1,2.036940097808838,0.016792964,-9.242863,52.350735,2.432504290920854,2.3602779897712125,9.626302719116211,3.443627119064331,2.6724965572357178
Ronald Reagan,1,3.4496190547943115,0.031851754,-3.5727367,57.67606,2.183579109472266,2.08562911952449,9.545479774475098,3.0605437755584717,2.1541991233825684
The Notorious B.I.G.,1,5.852564334869385,0.018675502,-9.822065,71.668724,1.7048311819705035,1.6934376210618192,8.417168617248535,2.4670047760009766,1.8107571601867676
Donald Trump,0,3.172546148300171,0.023488643,-12.195922,67.09214,2.1200055620437346,2.1608895280948057,8.805521965026855,2.7327044010162354,2.5751893520355225
Alexandria Ocasio-Cortez,0,3.6931326389312744,0.046088263,6.7983847,27.443789,2.8849089653009976,2.8136418856455205,10.921112060546875,6.740191459655762,5.166208744049072
Winston Churchill,0,4.880878448486328,0.058762133,2.5687466,39.07043,2.772513511791042,2.5873773622397236,10.37165355682373,4.504886150360107,4.076944828033447
Louis Farrakhan,0,5.060763359069824,0.05963613,-0.40626994,40.243446,2.6849345513544045,2.6908018328156964,10.283138275146484,4.276169300079346,3.5237512588500977
Alec Guinness,0,1.770093321800232,0.029769639,-2.0428176,39.49145,2.7194972551120435,2.605778046518214,10.497835159301758,4.406271457672119,4.055824279785156
Donald Trump,0,5.729503631591797,0.030398525,8.730606,28.9409,2.8638532485878003,2.7781234030080606,10.869976043701172,6.352503776550293,4.493480205535889
Winston Churchill,1,9.736676216125488,0.037997823,8.277785,27.56554,2.8274697312185175,2.734169439771128,11.104792594909668,6.841358184814453,4.235943794250488
Donald Trump,1,4.432189464569092,0.04719133,-3.1163578,42.17557,2.7151486965034346,2.5656746735548595,10.285735130310059,4.398793697357178,3.032604932785034
Boris Johnson,0,10.072447776794434,0.061915003,7.071042,27.642597,2.7940547891444862,2.771064433933033,10.862515449523926,6.694305419921875,5.001802921295166
JFK,0,3.3429126739501953,0.0318178,-3.652503,46.29673,2.696008187091771,2.6261035457014184,10.01305103302002,4.296631336212158,3.5799171924591064
Martin Luther King,1,6.289002418518066,0.06847879,9.020681,34.982616,2.764924373199237,2.8039385055687776,10.79580307006836,5.453742980957031,4.297598838806152
Donald Trump,0,5.912050247192383,0.010381977,-7.8592343,55.301178,2.4182762473089046,2.3956225402496494,9.718367576599121,3.295966148376465,2.833904266357422
JFK,0,0.991848349571228,0.01991331,-0.39677477,36.47226,2.8388219288000385,2.7692104629248875,10.425193786621094,5.062735080718994,3.9375061988830566
Alec Guinness,1,6.607076644897461,0.012668614,-12.56425,68.92865,2.1457638838122053,2.108136021729181,8.758715629577637,2.667677402496338,2.3898186683654785
Christopher Hitchens,1,6.186558723449707,0.024948454,2.1433532,25.05815,2.574621316892139,2.6508397835080038,10.641104698181152,7.49415397644043,5.165685176849365
