dataset,cond,dAUC,dAUC_lo,dAUC_hi,p_AUC,dEER,dEER_lo,dEER_hi,p_EER
mlaad,spec_1.25,0.0023294477893729035,-0.00421793992077924,0.00870882411037602,0.482,-0.0010778392493166662,-0.012096198233934723,0.007946406478954502,0.7
itw,spec_1.25,-0.0114764444444444,-0.02225722586316677,-0.0009209062672393399,0.031,0.020000000000000018,0.005336715934923898,0.034000054403481854,0.007
mlaad,spec_1.6,0.002168202411479414,-0.0049156783196366355,0.008862000905775557,0.556,-0.006141022389625143,-0.016980963870861055,0.0041512083596660565,0.238
itw,spec_1.6,-0.002576888888888851,-0.013821082306551536,0.008749183826546818,0.669,0.005333333333333412,-0.009332163098960561,0.020332350517608285,0.471
mlaad,spec_2.0,-0.004064009718556361,-0.01182388960958486,0.0035684550198067074,0.297,0.0014508170287643174,-0.009201338720350763,0.01246129058054056,0.761
itw,spec_2.0,-0.0019266666666666321,-0.014424064500101011,0.010136148364952951,0.745,0.0020000000000000018,-0.013667096989197724,0.01633436423227929,0.881
mlaad,smooth_3,-0.00307109825322723,-0.009791943861924435,0.0037838756781809132,0.377,0.0005565313770981758,-0.008893782857938489,0.011201288477302843,0.841
itw,smooth_3,-0.0026775555555554886,-0.013802324245644277,0.008943552869597362,0.645,0.005666666666666709,-0.009000919139844885,0.021333343525931713,0.396
mlaad,smooth_5,-0.002843710960615494,-0.01025322668923767,0.00410249095796441,0.461,-0.0019838660692760115,-0.011921719275707015,0.00830996339823121,0.811
itw,smooth_5,0.0005746666666666123,-0.011816585684065906,0.012996613046366448,0.91,-0.0020000000000000018,-0.018331912265013094,0.013333515709624317,0.759
mlaad,sub_res_0.7,0.005055355694779736,-0.00243682870623117,0.012195589326070034,0.188,-0.0030558347344460577,-0.014458378151739528,0.008102183293379977,0.552
itw,sub_res_0.7,-0.0015413333333331725,-0.013078156158589533,0.010543987765186542,0.8,0.005666666666666709,-0.010659954907345271,0.019344276301168292,0.564
mlaad,sub_res_0.5,0.006833359946648095,-0.0005200142028862577,0.014211387724591764,0.072,-0.005234995569665816,-0.014993496316580405,0.0061429977146717305,0.397
itw,sub_res_0.5,0.007793777777777899,-0.00353325925841505,0.019622024019353642,0.196,-0.005666666666666598,-0.02200015645386272,0.006999856892586663,0.324
mlaad,combo,-0.006785221156646,-0.013682340591691001,-4.367890033238992e-05,0.05,0.005240866153812455,-0.005210123779763268,0.015530221982884866,0.34
itw,combo,-0.0029440000000000577,-0.015055155441132123,0.008911330732081132,0.639,0.008000000000000007,-0.00700023706683377,0.02366152581909061,0.336
