dataset,seed,cond,EER,AUC,sec
mlaad,main,baseline,0.26597151122925333,0.805723584719574,27.025975704193115
mlaad,main,spec_1.25,0.2622049444407916,0.8064350995181426,37.073540925979614
mlaad,main,spec_1.6,0.2524339441871824,0.8098940476973221,37.64693903923035
mlaad,main,spec_2.0,0.2578524933544987,0.8059220104637292,38.31280279159546
mlaad,main,smooth_3,0.2600375247738651,0.8106443083512582,28.130330324172974
mlaad,main,smooth_5,0.2546013638541089,0.8049956322853948,27.90397310256958
mlaad,main,sub_res_0.7,0.2605705738143768,0.816086339855161,39.770182609558105
mlaad,main,sub_res_0.5,0.2578524933544987,0.8150355052929186,40.27441596984863
mlaad,main,combo,0.2621873326883518,0.804922837041977,40.704200744628906
itw,main,baseline,0.3633333333333333,0.683344,
itw,main,spec_1.25,0.3833333333333333,0.6718675555555556,
itw,main,spec_1.6,0.3686666666666667,0.6807671111111111,
itw,main,spec_2.0,0.3653333333333333,0.6814173333333333,
itw,main,smooth_3,0.369,0.6806664444444445,
itw,main,smooth_5,0.3613333333333333,0.6839186666666666,
itw,main,sub_res_0.7,0.369,0.6818026666666668,
itw,main,sub_res_0.5,0.3576666666666667,0.6911377777777779,
itw,main,combo,0.3713333333333333,0.6803999999999999,
mlaad,s42,baseline,0.28167649793825084,0.7874872021265604,28.617015600204468
mlaad,s42,spec_1.25,0.27083939960361814,0.7972194565248021,43.00313425064087
mlaad,s42,spec_1.6,0.2703063505631065,0.7933953580117036,41.09815192222595
mlaad,s42,spec_2.0,0.2843945783981289,0.7832486403727117,37.7957398891449
mlaad,s42,smooth_3,0.2724913819824728,0.7910858702084294,27.462985277175903
mlaad,s42,smooth_5,0.2686895916891314,0.794855959347379,27.63233494758606
mlaad,s42,sub_res_0.7,0.2795266900237642,0.7894127537266469,38.31490874290466
mlaad,s42,sub_res_0.5,0.2643547523552784,0.7985332932568122,38.381725549697876
mlaad,s42,combo,0.270857011356058,0.7919441496106628,40.27735137939453
mlaad,s1024,baseline,0.2638217033147666,0.8023867446906437,27.441603183746338
mlaad,s1024,spec_1.25,0.27519185068991103,0.7989313188619521,37.98821425437927
mlaad,s1024,spec_1.6,0.2703063505631065,0.7988127330621907,38.13349270820618
mlaad,s1024,spec_2.0,0.2735750918159361,0.7942348515446681,47.49352741241455
mlaad,s1024,smooth_3,0.2806103998572274,0.7846540582174089,27.628904104232788
mlaad,s1024,smooth_5,0.2822271587312024,0.7872148070221578,27.677698612213135
mlaad,s1024,sub_res_0.7,0.2622049444407916,0.8052645050393095,38.270373582839966
mlaad,s1024,sub_res_0.5,0.27355748006349623,0.8025288128269916,38.071017265319824
mlaad,s1024,combo,0.29414796689929834,0.7783748814142003,39.9887809753418
