system,hard_mlaaddet,hard_goat
Cartesia.ai (Sonic-3)|en,0.061473768522226635,0.48845281003871316
Chatterbox|en,0.25949234319278375,0.4478183343822111
DeepGram|en,0.042747593408386374,0.6169848262359275
Edge-TTS|en,0.14647577092511013,0.31505955294501553
FireRedTTS-2.0|en,0.5228753671071953,0.7120273494860498
FishTTS|en,0.2593734703866863,0.4408467939304943
Higgs-Audio-V2|en,0.4754836238268531,0.5178605631105152
Index-TTS-1.5|en,0.511086637298091,0.7076113558492413
Index-TTS-2.0|en,0.3213267685928997,0.6027684201433877
Indri-TTS-0.1|en,0.03644850010488776,0.3180197189007762
Kani-TTS-370M|en,0.2535709518088373,0.5892737952209318
Kitten-TTS-Nano-0.1|en,0.012350534927627388,0.19343926998112024
Kitten-TTS-Nano-0.2|en,0.028496696035242224,0.4381653817914832
Kyutai-TTS|en,0.06776025968003711,0.48645567663652517
Llasa-1B-Multilingual|en,0.10827367841409685,0.7081038913362702
Llasa-8B|en,0.2577908304780552,0.6081130690161527
Mars5|en,0.2829478707782673,0.34684746696035235
MatchaTTS|en,0.10359765051395005,0.4497063142437591
Maya1 TTS|en,0.13017189254556452,0.46987561544441564
MegaTTS3|en,0.14862597021187327,0.44097440738409904
MeloTTS|en,0.08468880605444484,0.5081610753416922
Metavoice-1B|en,0.216671911055171,0.3049349695825467
Microsoft VibeVoice 1.5B|en,0.26315938100079067,0.695696374110471
Microsoft VibeVoice Large|en,0.16534939967176296,0.6930551956465406
MiniCPM-o-2.6|en,0.2363252569750367,0.5641519823788547
Nari Dia-1.6B|en,0.09708316646642638,0.4699305833667067
Nari Dia2|en,0.26888933386730746,0.2739287144573488
NeuTTS-Air|en,0.179538362701909,0.6529689794419969
OpenVoiceV2|en,0.14517865883504646,0.3743024963289281
Openaudio-S1-Mini|en,0.2656975036710719,0.39359765051395
OuteTTS|en,0.3021292217327459,0.4520758243225203
Qwen2.5-Omni|en,0.1782567652611706,0.6072215229704218
RVC|en,0.15675477239353888,0.26216698132997696
"Resemble.ai (April 12th, 2025)|en",0.12750856583455702,0.48945586555718723
Ringg Squirrel TTS v1.0|en,0.04215614292706804,0.4238048621308534
SoulX-Podcast|en,0.2512236906510035,0.499296377875673
Spark-TTS-0.5B|en,0.6005185389133626,0.8025881057268722
Step-Audio-EditX|en,0.15992524362568417,0.35329061540515294
Supertonic|en,0.029666850220264312,0.37991005873715117
Veena|en,0.02799192364170337,0.3890647944199706
VoxCPM-0.5B|en,0.36849581817021004,0.4798091042584434
VoxCPM-1.5|en,0.44338682609607716,0.5280312565554856
Voxtream|en,0.23109397944199708,0.36317099037363354
WhisperSpeech|en,0.2627351234179428,0.32455772323613735
ZipVoice|en,0.4390907978463045,0.6522883015173764
e2-tts|en,0.28209893538913366,0.23866556534508077
f5-tts|en,0.2749416947395698,0.22391379459272695
facebook_mms-tts-eng|en,0.063203622124327,0.17223445912873225
griffin_lim|en,0.338913362701909,0.3453010279001468
kokoro|en,0.06859108122729733,0.5286343612334803
microsoft_speecht5_tts|en,0.31659936368086145,0.6713778756730298
minimax_speech-02-turbo|en,0.08476838873314647,0.5435856360966493
minimax_speech-2.6-hd|en,0.10187224669603519,0.5357011747430249
optispeech|en,0.10937172225718479,0.3706996014264737
orpheus-tts-0.1-finetune|en,0.029568815912428215,0.36183420104124947
parler_tts_large_v1|en,0.060389133627019066,0.23374239563666874
parler_tts_mini_v0.1|en,0.06759091301718927,0.25976073248682735
sesame_csm|en,0.18795888399412627,0.2956342482774201
suno_bark-small|en,0.1670337738619677,0.421753723515838
suno_bark|en,0.1247640025173065,0.4843192783721418
vixTTS|en,0.11807085168869313,0.22294878854625552
