corpus,system,hard_actual,n,pos_mean,sd_mean,pos_lda,sd_lda,pred_hard_lda,pred_hard_mean
vcc2020,T01,0.08964757709251099,40,0.14500643,3.45148,2.1416864,3.2384517,0.27932876348495483,0.2694884240627289
vcc2020,T02,0.08973935389133625,40,4.7755036,2.8630064,8.046172,2.5962315,0.12393314391374588,0.20447956025600433
vcc2020,T03,0.08252569750367111,40,6.0614514,2.6420386,6.0829344,3.4729915,0.2348429262638092,0.18237513303756714
vcc2020,T04,0.14572320117474302,40,4.6766014,4.402535,4.423703,3.5654,0.2706449031829834,0.3133591115474701
vcc2020,T06,0.2104717327459618,40,4.780044,3.5145216,4.776757,2.9089072,0.20614349842071533,0.250320166349411
vcc2020,T07,0.19556718061674008,40,5.4479694,3.5211644,6.17253,2.6093807,0.15621529519557953,0.24738605320453644
vcc2020,T08,0.09500734214390605,40,5.701009,3.4269211,6.524096,2.555607,0.1455751210451126,0.23946303129196167
vcc2020,T09,0.058654552129221736,40,3.7764492,3.7935019,5.9038963,3.3717072,0.2287684679031372,0.2750703692436218
vcc2020,T10,0.2408406754772393,40,4.2287908,2.6816976,3.942132,2.4338965,0.17757131159305573,0.1945006400346756
vcc2020,T11,0.15743392070484583,40,4.4693203,4.52734,5.8437023,2.9296143,0.19027888774871826,0.3232004940509796
vcc2020,T12,0.21611600587371516,40,4.3602734,3.9384542,5.1713157,1.8771224,0.10743088275194168,0.2823009490966797
vcc2020,T13,0.13330580029368577,40,5.8606553,3.2225745,7.266444,3.8977082,0.2531302571296692,0.22426487505435944
vcc2020,T14,0.12444016152716597,40,-2.7723312,4.9505763,-0.7872977,3.285919,0.3321978747844696,0.38987594842910767
vcc2020,T16,0.11516152716593246,40,5.5871735,4.1727753,6.800065,2.047912,0.09564454108476639,0.2925475239753723
vcc2020,T17,0.10369860499265782,40,5.3787093,3.3404663,6.5596046,2.9855824,0.18339215219020844,0.23501846194267273
vcc2020,T18,0.08717878120411164,40,4.785024,2.3872087,5.9026318,2.9767883,0.19351421296596527,0.17093706130981445
vcc2020,T19,0.15344162995594715,40,5.9744196,4.2480626,7.0781803,2.9698558,0.1733776330947876,0.2958751916885376
vcc2020,T20,0.1313968428781204,40,4.2943635,3.7601664,5.5543637,3.48309,0.24452067911624908,0.27008599042892456
vcc2020,T21,0.0878212187958884,40,5.659465,3.670829,5.854154,3.1415997,0.20904047787189484,0.2568446397781372
vcc2020,T22,0.14957782672540385,40,1.0358313,3.4515707,3.0957623,3.3754299,0.27572375535964966,0.26495787501335144
vcc2020,T23,0.10761747430249628,40,-0.20582378,3.9606252,1.730237,3.2986393,0.2915360927581787,0.30711671710014343
vcc2020,T24,0.14556718061674015,40,5.3503113,4.189199,4.9275856,2.3503087,0.15374377369880676,0.2949100136756897
vcc2020,T25,0.11817180616740086,40,5.971613,3.2831285,5.321081,2.4457395,0.1557348072528839,0.22796249389648438
vcc2020,T26,0.11297723935389137,40,-1.4838209,5.0777154,1.2775502,3.8744006,0.35048049688339233,0.39226359128952026
vcc2020,T27,0.12232929515418504,40,4.4059668,1.9498636,5.1443434,2.6559005,0.1774412989616394,0.14208047091960907
vcc2020,T28,0.1476780469897211,40,5.518674,3.855467,5.2710276,3.5758235,0.2575080692768097,0.2705593407154083
vcc2020,T29,0.13772026431718057,40,4.541271,3.5583007,5.193875,3.085222,0.21496713161468506,0.2546180784702301
vcc2020,T30,0.16536343612334803,40,7.092429,3.5997653,4.9732265,2.5948896,0.17483265697956085,0.24454401433467865
vcc2020,T31,0.11196769456681348,40,3.6042898,2.7063434,6.3265705,3.8120263,0.26108142733573914,0.1994161605834961
vcc2020,T32,0.14924743024963283,40,4.546305,2.967825,3.1511564,2.531686,0.19943852722644806,0.21302561461925507
vcc2020,T33,0.24351138032305433,40,4.7094164,2.7945864,4.139655,2.5401754,0.18378502130508423,0.19999969005584717
wavefake,common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech,0.22131057268722465,40,6.7362247,5.4635572,5.2790227,3.5482454,0.25491195917129517,0.37756067514419556
wavefake,jsut_multi_band_melgan,0.15447870778267256,40,9.947038,1.2463084,7.6848793,2.953383,0.16183336079120636,0.06433285772800446
wavefake,jsut_parallel_wavegan,0.11873164464023493,40,9.691909,1.486973,8.038054,2.8691497,0.148445725440979,0.08257392793893814
wavefake,ljspeech_full_band_melgan,0.21987885462555065,40,8.0783415,1.7112434,4.2965965,3.31307,0.25021642446517944,0.10657940804958344
wavefake,ljspeech_hifiGAN,0.25626835535976505,40,7.6482596,1.3932484,4.3373656,2.7411208,0.1984514743089676,0.08638438582420349
wavefake,ljspeech_melgan,0.23773861967694565,40,7.2708364,1.9348193,3.3239365,2.8229601,0.22258730232715607,0.12643073499202728
wavefake,ljspeech_melgan_large,0.27866189427312776,40,7.516716,2.2468114,3.6585388,2.864763,0.22076593339443207,0.14714130759239197
wavefake,ljspeech_multi_band_melgan,0.2570117474302496,40,7.71639,4.2183356,3.7504606,3.1951098,0.24874725937843323,0.28491073846817017
wavefake,ljspeech_parallel_wavegan,0.2817547723935389,40,7.6607656,2.7212927,5.32672,2.1398852,0.12832143902778625,0.17980900406837463
wavefake,ljspeech_waveglow,0.18919787077826725,40,8.023918,2.1600266,5.3403883,2.7123468,0.17922835052013397,0.13844886422157288
