dataset,head,n_cal,EER,AUC,EER_det,dEER
asvspoof,centroid,5,0.08002252395038638,0.976264185515502,0.07812500000000001,0.001897523950386365
asvspoof,centroid,10,0.07967106804882827,0.9765501358278977,0.07812500000000001,0.0015460680488282585
asvspoof,centroid,25,0.08507128118412673,0.9714328967816872,0.07812500000000001,0.0069462811841267125
asvspoof,centroid,50,0.08961523607617412,0.9688145358287921,0.07812500000000001,0.01149023607617411
asvspoof,centroid,100,0.09351215102677252,0.9648892101831238,0.07812500000000001,0.015387151026772503
asvspoof,centroid,250,0.09874981654502381,0.9627341261630145,0.07812500000000001,0.020624816545023794
asvspoof,lda,25,0.08036113687232391,0.9766174440861474,0.07812500000000001,0.0022361368723238934
asvspoof,lda,50,0.08145684186033769,0.9762420718252219,0.07812500000000001,0.003331841860337678
asvspoof,lda,100,0.08054299487301199,0.9757382255875701,0.07812500000000001,0.002417994873011975
asvspoof,lda,250,0.08206045885940365,0.9757648186976627,0.07812500000000001,0.003935458859403634
asvspoof,pseudo_unsup,0,0.07604166666666667,0.9777078124999999,0.07812500000000001,-0.00208333333333334
itw,centroid,5,0.3490292400391195,0.7023899545443314,0.3633333333333333,-0.014304093294213782
itw,centroid,10,0.3443341271857409,0.7086678032013208,0.3633333333333333,-0.018999206147592373
itw,centroid,25,0.3119189444616008,0.7461163962214113,0.3633333333333333,-0.0514143888717325
itw,centroid,50,0.33853007887328884,0.7148566155608846,0.3633333333333333,-0.024803254460044444
itw,centroid,100,0.3096847546762369,0.7494644234746053,0.3633333333333333,-0.05364857865709638
itw,centroid,250,0.2871901018258981,0.7783000566226409,0.3633333333333333,-0.07614323150743518
itw,lda,25,0.2866370722022612,0.7839873762917018,0.3633333333333333,-0.07669626113107209
itw,lda,50,0.2680233265433307,0.8052851645824639,0.3633333333333333,-0.09531000679000257
itw,lda,100,0.25460114888048785,0.821404701217799,0.3633333333333333,-0.10873218445284544
itw,lda,250,0.19223899690792257,0.8886730652569594,0.3633333333333333,-0.17109433642541072
itw,pseudo_unsup,0,0.365,0.6821359999999999,0.3633333333333333,0.0016666666666667052
mlaad,centroid,5,0.2825560319338381,0.7844809501142302,0.2721125336188785,0.01044349831495961
mlaad,centroid,10,0.29048858982579856,0.7777244373175171,0.2721125336188785,0.018376056206920066
mlaad,centroid,25,0.32708460896399943,0.7335590617858464,0.2721125336188785,0.05497207534512094
mlaad,centroid,50,0.29938513672704387,0.7660101531166958,0.2721125336188785,0.027272603108165372
mlaad,centroid,100,0.1941808764865611,0.8809760405592252,0.2721125336188785,-0.0779316571323174
mlaad,centroid,250,0.16589235638591054,0.9125179709193434,0.2721125336188785,-0.10622017723296795
mlaad,lda,25,0.323124373667864,0.7437882259334215,0.2721125336188785,0.05101184004898551
mlaad,lda,50,0.23985776277686752,0.8368288487265373,0.2721125336188785,-0.03225477084201098
mlaad,lda,100,0.17772759883071157,0.8973614630625638,0.2721125336188785,-0.09438493478816692
mlaad,lda,250,0.13605715209033134,0.9329850154106349,0.2721125336188785,-0.13605538152854715
mlaad,pseudo_unsup,0,0.2443149263124278,0.8183222496704646,0.2721125336188785,-0.0277976073064507
