rank,name,auc,ap,accuracy,f1,precision,recall,n_features,n_train,n_test,coef_l1,coef_max
1,head_l2_h2,0.9873833333333334,0.997916253479682,0.95,0.9701619778346121,0.9930191972076788,0.9483333333333334,128,2800,700,61.30531636682181,2.515252592703451
2,gat_l1,0.9840166666666667,0.9973469379199016,0.9457142857142857,0.9679595278246206,0.9795221843003413,0.9566666666666667,768,2800,700,198.31678722714668,1.110868983173903
3,head_l2_h4,0.9839333333333333,0.9973238280530484,0.9314285714285714,0.9587628865979382,0.9893617021276596,0.93,128,2800,700,64.17473188153897,2.045602897845537
4,head_l2_h1,0.9829666666666668,0.997226482612688,0.9371428571428572,0.9623287671232876,0.9894366197183099,0.9366666666666666,128,2800,700,57.79853609115838,1.7809480144437029
5,bilstm,0.9815,0.9968776309953868,0.9428571428571428,0.9661016949152542,0.9827586206896551,0.95,768,2800,700,225.36826350748964,1.293561939161733
6,head_l2_h0,0.9813333333333333,0.9969308617673434,0.9328571428571428,0.9597946963216424,0.9859402460456942,0.935,128,2800,700,60.52461734916094,1.5631636739073673
7,gat_l2,0.981,0.9968426314391423,0.9485714285714286,0.9696969696969697,0.9795918367346939,0.96,768,2800,700,229.39996457577354,1.1246450065158493
8,head_l2_h5,0.9807499999999999,0.9968215674103889,0.93,0.9579399141630901,0.9876106194690265,0.93,128,2800,700,70.83756384412155,1.886959737949444
9,head_l2_h3,0.9805333333333334,0.9967605120558887,0.9242857142857143,0.9545064377682403,0.984070796460177,0.9266666666666666,128,2800,700,61.313767756943484,1.4701600033325644
10,head_l1_h0,0.9802000000000001,0.9966494329592619,0.9214285714285714,0.9525452976704055,0.9874776386404294,0.92,128,2800,700,49.14225089875127,1.448966730182955
11,head_l1_h4,0.9793833333333334,0.9966479327645568,0.9285714285714286,0.9570446735395189,0.9875886524822695,0.9283333333333333,128,2800,700,44.59631762625524,1.5881925949044264
12,head_l1_h2,0.9790833333333332,0.9965224821181227,0.93,0.9580119965724079,0.9858906525573192,0.9316666666666666,128,2800,700,39.54585543999954,1.1384575768833787
13,head_l1_h1,0.9782000000000001,0.9962821363277587,0.9285714285714286,0.9568965517241379,0.9910714285714286,0.925,128,2800,700,41.716465912878405,1.294698307104345
14,head_l1_h3,0.9775999999999999,0.9961997569650716,0.9257142857142857,0.9550949913644214,0.9910394265232975,0.9216666666666666,128,2800,700,50.58034505275971,1.4120257070977607
15,gat_l0,0.9775833333333332,0.9958653650924338,0.9385714285714286,0.9636517328825022,0.9777015437392796,0.95,768,2800,700,179.91055041438676,0.8816065429262812
16,head_l1_h5,0.9769833333333334,0.9961467791810379,0.9242857142857143,0.9544282029234737,0.9857904085257548,0.925,128,2800,700,43.82025405277503,2.4975451928237757
17,head_l0_h1,0.9617333333333333,0.9934054828431628,0.8914285714285715,0.9335664335664335,0.9816176470588235,0.89,128,2800,700,38.437048371926736,1.0639209292639382
18,head_l0_h4,0.9593333333333334,0.9927280656283448,0.8957142857142857,0.9362445414847161,0.9834862385321101,0.8933333333333333,128,2800,700,39.927862282564064,1.4076600673001114
19,head_l0_h3,0.9572333333333334,0.9923631843735281,0.9,0.9395509499136442,0.974910394265233,0.9066666666666666,128,2800,700,40.827031192720085,1.045976525177596
20,head_l0_h0,0.9552,0.9920228229691479,0.9042857142857142,0.9420916162489196,0.9784560143626571,0.9083333333333333,128,2800,700,39.722980755078204,1.0019235413705176
21,head_l0_h2,0.9541666666666666,0.9919953590293498,0.8985714285714286,0.9384215091066782,0.9783001808318263,0.9016666666666666,128,2800,700,36.91409890158323,0.9361174901214016
22,head_l0_h5,0.94985,0.991260487178372,0.88,0.9270833333333334,0.967391304347826,0.89,128,2800,700,43.24800004824133,1.1582224033393596
