system_id,head,top3_sparsity,top5_sparsity,peak_src,peak_tgt,peak_magnitude,attn_variance,mean_entropy
-,2,0.61,0.7162,Other,Other,0.2989,0.001874,1.4129
-,4,0.5844,0.6944,Other,Other,0.2822,0.001726,1.4881
Cartesia.ai (Sonic-3),2,0.6504,0.7537,Other,Other,0.3215,0.002144,1.3101
Cartesia.ai (Sonic-3),4,0.6057,0.7038,Other,Other,0.2919,0.001847,1.3505
Chatterbox,2,0.656,0.7794,Other,Other,0.319,0.002085,1.2863
Chatterbox,4,0.6285,0.7493,Other,Other,0.3037,0.001914,1.371
DeepGram,2,0.636,0.7551,Other,Other,0.3179,0.002072,1.2618
DeepGram,4,0.603,0.7284,Other,Other,0.3005,0.001877,1.4236
Edge-TTS,2,0.5762,0.7022,Other,Other,0.2714,0.001638,1.351
Edge-TTS,4,0.5716,0.7,Other,Other,0.2682,0.001623,1.3554
FireRedTTS-2.0,2,0.5922,0.6906,Other,Other,0.2758,0.001819,1.4018
FireRedTTS-2.0,4,0.5696,0.6739,Other,Other,0.2624,0.001671,1.4263
FishTTS,2,0.6325,0.7441,Other,Other,0.3081,0.001961,1.3132
FishTTS,4,0.6079,0.7156,Other,Other,0.2938,0.00181,1.395
Higgs-Audio-V2,2,0.6213,0.7237,Other,Other,0.3111,0.002006,1.3342
Higgs-Audio-V2,4,0.6023,0.7065,Other,Other,0.2979,0.001881,1.3614
Index-TTS-1.5,2,0.6223,0.7428,Other,Other,0.3165,0.002005,1.2654
Index-TTS-1.5,4,0.5814,0.7031,Other,Other,0.2934,0.001757,1.3748
Index-TTS-2.0,2,0.6554,0.7695,Other,Other,0.316,0.002159,1.2837
Index-TTS-2.0,4,0.625,0.7499,Other,Other,0.2985,0.001978,1.3827
Indri-TTS-0.1,2,0.627,0.7267,Other,Other,0.3051,0.001968,1.3646
Indri-TTS-0.1,4,0.63,0.7314,Other,Other,0.3052,0.001983,1.4055
Kani-TTS-370M,2,0.6233,0.743,Other,Other,0.3085,0.001998,1.2964
Kani-TTS-370M,4,0.6011,0.7169,Other,Other,0.2953,0.001869,1.3878
Kitten-TTS-Nano-0.1,2,0.6782,0.7742,Other,Other,0.3275,0.002326,1.2568
Kitten-TTS-Nano-0.1,4,0.6533,0.7538,Other,Other,0.3127,0.00216,1.329
Kitten-TTS-Nano-0.2,2,0.6715,0.7818,Other,Other,0.3474,0.002337,1.1069
Kitten-TTS-Nano-0.2,4,0.63,0.7353,Other,Other,0.323,0.002056,1.2575
Kyutai-TTS,2,0.6382,0.7443,Other,Other,0.3115,0.002064,1.3305
Kyutai-TTS,4,0.6159,0.7217,Other,Other,0.2968,0.001925,1.3638
Llasa-1B-Multilingual,2,0.6309,0.7435,Other,Other,0.3068,0.001998,1.2055
Llasa-1B-Multilingual,4,0.6114,0.7215,Other,Other,0.2958,0.001877,1.3199
Llasa-8B,2,0.6205,0.7425,Other,Other,0.3134,0.001956,1.2985
Llasa-8B,4,0.5644,0.6784,Other,Other,0.2797,0.00162,1.373
Mars5,2,0.6417,0.7492,Other,Other,0.3103,0.002127,1.4253
Mars5,4,0.6172,0.7252,Other,Other,0.2945,0.001958,1.4907
Marvis-TTS,2,0.6257,0.7418,Other,Other,0.3153,0.001966,1.2657
Marvis-TTS,4,0.6102,0.7248,Other,Other,0.306,0.001869,1.4036
MatchaTTS,2,0.6507,0.7483,Other,Other,0.3003,0.002042,1.3442
MatchaTTS,4,0.6268,0.7217,Other,Other,0.2874,0.001901,1.3745
Maya1 TTS,2,0.651,0.7601,Other,Other,0.3484,0.00221,1.2745
Maya1 TTS,4,0.6216,0.7321,Other,Other,0.3286,0.00201,1.3684
MegaTTS3,2,0.6187,0.7182,Other,Other,0.3022,0.001907,1.4779
MegaTTS3,4,0.6027,0.7073,Other,Other,0.2934,0.001815,1.4592
MeloTTS,2,0.6623,0.7632,Other,Other,0.319,0.002279,1.2481
MeloTTS,4,0.6336,0.7365,Other,Other,0.302,0.002096,1.3294
Metavoice-1B,2,0.5767,0.6813,Other,Other,0.2844,0.00174,1.5135
Metavoice-1B,4,0.5807,0.6894,Other,Other,0.2832,0.001741,1.5305
Microsoft VibeVoice 1.5B,2,0.6302,0.7524,Other,Other,0.3082,0.001999,1.3086
Microsoft VibeVoice 1.5B,4,0.6107,0.7273,Other,Other,0.2952,0.001861,1.4106
Microsoft VibeVoice Large,2,0.6218,0.7328,Other,Other,0.3006,0.001978,1.2684
Microsoft VibeVoice Large,4,0.5983,0.7068,Other,Other,0.2874,0.001836,1.3657
MiniCPM-o-2.6,2,0.6506,0.7496,Other,Other,0.3244,0.002152,1.343
MiniCPM-o-2.6,4,0.6202,0.7274,Other,Other,0.3026,0.00195,1.3972
Nari Dia-1.6B,2,0.6317,0.7506,Other,Other,0.3135,0.002047,1.3535
Nari Dia-1.6B,4,0.6195,0.74,Other,Other,0.3029,0.001976,1.3969
Nari Dia2,2,0.6219,0.7436,Other,Other,0.2927,0.001931,1.4069
Nari Dia2,4,0.6156,0.7351,Other,Other,0.2874,0.001892,1.3899
NeuTTS-Air,2,0.642,0.7436,Other,Other,0.309,0.002141,1.275
NeuTTS-Air,4,0.6204,0.7278,Other,Other,0.2956,0.002002,1.3767
OpenVoiceV2,2,0.6351,0.7315,Other,Other,0.3093,0.002016,1.3583
