system,C,T,baseline_eer,model_eer,d_eer,baseline_auc,model_auc,d_auc,d_bal_acc,d_acc,eer_improved,auc_corroborated
Marvis-TTS,-11.07228,2.7861,0.2000000000003107,0.0833333333330851,-0.11666666666722561,0.9240088105726872,0.9734948604992658,0.04948604992657857,0.08476505139500734,-0.029207740051113595,True,True
"Resemble.ai (April 12th, 2025)",-10.97008,2.89231,0.2777777777775597,0.16593245227659945,-0.11184532550096024,0.8188325991189427,0.8894395496818405,0.07060695056289779,0.10319791156795566,-0.04679625629949602,True,True
Microsoft VibeVoice Large,-11.20791,2.80826,0.2352941176470588,0.12768852034178427,-0.10760559730527453,0.8701736201088366,0.9204241167832773,0.0502504966744407,0.06626284875183552,0.13009009009008998,True,True
MegaTTS3,-10.87811,2.81748,0.3571428571428213,0.2619047619047618,-0.09523809523805948,0.7709251101321586,0.8096811411789385,0.03875603104677994,0.03870358716173694,0.21475054229934937,True,True
Index-TTS-2.0,-11.02141,2.74238,0.428414096917327,0.3393798047856662,-0.08903429213166081,0.6142135268204197,0.7054288675822752,0.09121534076185545,0.04790748898678421,0.09405405405405398,True,True
Index-TTS-1.5,-11.09735,2.74406,0.5999999999999996,0.5205580029372372,-0.07944199706276245,0.3758443465491923,0.4697993147332354,0.09395496818404309,0.05277777777777781,0.4048392921632358,True,True
Microsoft VibeVoice 1.5B,-11.06696,2.72165,0.3846153846153616,0.3076923076923202,-0.0769230769230414,0.646645205015249,0.7524003162769682,0.10575511126171921,0.08579012764034799,0.0694896851248642,True,True
e2-tts,-10.92617,2.76124,0.3711453744483705,0.30469897210038427,-0.06644640234798621,0.7031938325991189,0.7406387665198237,0.037444933920704804,0.036160058737151224,0.07106782106782106,True,True
VoxCPM-0.5B,-10.66426,2.74095,0.4140969162984599,0.3527261699549995,-0.0613707463434604,0.6096533231181767,0.6694279512226267,0.05977462810445,0.05549703122007288,0.011815252416756183,True,True
Openaudio-S1-Mini,-10.82325,2.85961,0.3999999999999531,0.34491923641693517,-0.055080763583017944,0.6790748898678415,0.7206167400881057,0.04154185022026424,0.050682819383260025,-0.10325116112897459,True,True
OpenVoiceV2,-11.36205,2.6472,0.2621145374449449,0.20930004894744533,-0.05281448849749956,0.7904552129221734,0.8702887909936369,0.07983357807146352,0.07034997552618705,-0.03358613217768147,True,True
minimax_speech-02-turbo,-11.02915,2.74086,0.1818181818181817,0.13292617808047322,-0.048892003737708495,0.932819383259912,0.9494393271926311,0.01661994393271915,0.03874649579495393,0.017410228509249115,True,True
DeepGram,-11.17381,2.62221,0.157488986784906,0.1111111111109734,-0.0463778756739326,0.9358786098874204,0.9541523902757382,0.01827378038831773,0.004425681187795738,0.04507451835696108,True,True
MeloTTS,-11.02763,2.75371,0.2307692307692276,0.19024624421103184,-0.04052298655819575,0.912741443578448,0.896419292895064,-0.01632215068338405,-0.022097029255619627,0.05609844372059358,True,False
FireRedTTS-2.0,-9.67617,2.74047,0.6249999999999997,0.5898494860498827,-0.035150513950116924,0.3053414096916299,0.41698788546255505,0.11164647577092518,0.04790748898678421,0.6572871572871573,True,True
Supertonic,-11.13805,2.78536,0.125,0.09407121879559784,-0.030928781204402164,0.969920154185022,0.9696677679882525,-0.00025238619676948293,0.017116372980910288,-0.026695526695526772,True,False
Spark-TTS-0.5B,-10.85044,2.8038,0.625,0.5945301027899749,-0.030469897210025132,0.3876651982378855,0.38062132892804695,-0.007043869309838524,0.01541850220264318,-0.05014430014430005,True,False
MiniCPM-o-2.6,-10.42072,2.73015,0.3303964757709247,0.3007342143909987,-0.029662261379926003,0.7543502202643172,0.7911160058737151,0.036765785609397916,-0.00528634361233471,-0.05818965517241381,True,True
Llasa-1B-Multilingual,-11.06328,2.67872,0.1574889867839805,0.127936857562151,-0.029552129221829482,0.92903359030837,0.9305708516886931,0.0015372613803231738,0.012527533039647598,0.044733044733044736,True,True
