system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
Spark-TTS-0.5B,-10.85044,2.8038,0.5945301027899749,0.625,0.38062132892804695,0.3876651982378855,0.5426762114537445,0.5272577092511013,0.8654401154401156,0.9155844155844156
FireRedTTS-2.0,-9.67617,2.74047,0.5898494860498827,0.6249999999999997,0.41698788546255505,0.3053414096916299,0.5528634361233481,0.5049559471365639,0.6843434343434343,0.027056277056277
Index-TTS-1.5,-11.09735,2.74406,0.5205580029372372,0.5999999999999996,0.4697993147332354,0.3758443465491923,0.5753548702887911,0.5225770925110133,0.46551101480678936,0.0606717226435536
VoxCPM-1.5,-11.05028,2.80275,0.5051395007336484,0.4779735682815185,0.5299192364170338,0.5553807426054123,0.6004824837423955,0.6141441157960982,0.767172812725958,0.8633405639913232
griffin_lim,-10.82422,2.8566,0.45354870288817356,0.4,0.5840186000978953,0.6585168869309839,0.6151982378854626,0.6355726872246696,0.500902853015529,0.8634886240520043
Higgs-Audio-V2,-11.109,2.80124,0.4579742067292421,0.4347826086956909,0.5643076039072974,0.6046734342080062,0.6201318393666603,0.6251436506416395,0.878983172216255,0.7647690655209453
Mars5,-11.32011,2.84054,0.41024229074804247,0.4374999999999708,0.6435618575624081,0.5824614537444934,0.6617566079295154,0.6172907488986784,0.4357864357864358,0.2478354978354978
ZipVoice,-10.86822,2.80332,0.42633382280963644,0.3469162995605787,0.6227055800293685,0.6422540381791483,0.6667278511992168,0.6598751835535976,0.5315217391304348,0.6532608695652173
OuteTTS,-10.98285,2.79802,0.4063876651981913,0.3931718061669267,0.6623448137765319,0.6662995594713657,0.6570718195167534,0.6472266720064077,0.6623655913978496,0.5709677419354838
WhisperSpeech,-11.26201,2.76802,0.3684182924275387,0.3809523809525412,0.7094433955667436,0.6815082861338368,0.6715177260331444,0.6428309209146214,0.5852170792967349,0.8019375672766416
Openaudio-S1-Mini,-10.82325,2.85961,0.34491923641693517,0.3999999999999531,0.7206167400881057,0.6790748898678415,0.7025550660792952,0.6518722466960352,0.5977134690961058,0.7009646302250804
Nari Dia2,-11.16706,2.70401,0.3152783340011226,0.2819383259912535,0.749799759711654,0.7294753704445334,0.7168936056601255,0.722667200640769,0.6771853463910048,0.7181719260065288
Chatterbox,-11.13056,2.82544,0.2913782252992942,0.285714285714382,0.7411107614852108,0.7168030207677785,0.7289175582127124,0.7244336060415355,0.8123644251626899,0.7342733188720173
