system,eer,auc,acc,bal_acc,n_spoof
FireRedTTS-2.0,0.5624999999997616,0.5085352422907489,0.31277056277056275,0.6196310572687225,16
griffin_lim,0.4666666666666672,0.5342878120411161,0.5882990249187432,0.5612701908957416,15
VoxCPM-1.5,0.4603524229075687,0.6038388923851479,0.482646420824295,0.631843926998112,14
Spark-TTS-0.5B,0.43750000000009065,0.5415060572687225,0.7846320346320347,0.6141244493392071,16
Higgs-Audio-V2,0.41740088105687295,0.6434112239034667,0.8431793770139635,0.644153418885271,23
f5-tts,0.4117647058823385,0.7045218968644726,0.8205405405405405,0.6777014770665976,17
Index-TTS-1.5,0.4000000000000001,0.615712187958884,0.41495124593716143,0.6370778267254038,15
OuteTTS,0.38325991189500586,0.7083500200240288,0.4612903225806452,0.6797657188626351,22
Mars5,0.37499999999999994,0.6908039647577092,0.47835497835497837,0.7038821585903083,16
ZipVoice,0.36233480176224275,0.7258627019089574,0.6,0.7562408223201175,12
Metavoice-1B,0.35714285714297794,0.7158590308370044,0.5759219088937093,0.7495280050346129,14
VoxCPM-0.5B,0.3478260869565219,0.7033135414671519,0.8646616541353384,0.697543574027964,23
WhisperSpeech,0.33333333333352144,0.7477973568281938,0.6189451022604952,0.6887717642122928,21
FishTTS,0.3333333333333328,0.7961086637298092,0.5655471289274107,0.7464023494860499,15
SoulX-Podcast,0.33333333333332327,0.7890969162995595,0.7695652173913043,0.7187958883994126,12
Voxtream,0.33333333333332327,0.7152471855115027,0.755939524838013,0.7121879588839941,18
Index-TTS-2.0,0.32268722467069516,0.7544700699663125,0.5091891891891892,0.7211388960870692,17
Openaudio-S1-Mini,0.3199999999999984,0.7851982378854625,0.6045016077170418,0.7579074889867842,25
MiniCPM-o-2.6,0.30000000000012267,0.7813325991189427,0.7844827586206896,0.7431718061674009,20
RVC,0.2995594713659425,0.8152139710509754,0.6529284164859002,0.7534612964128382,14
Chatterbox,0.285714285714301,0.7507866582756451,0.7396963123644251,0.7271869100062933,14
Qwen2.5-Omni,0.28524229074856683,0.8509282567652612,0.9045553145336226,0.7757237256135935,14
Llasa-8B,0.2777777777774286,0.8004160548213411,0.8509719222462203,0.7878732256485561,18
Nari Dia2,0.2727272727272724,0.8008610332398879,0.5865070729053319,0.7458450140168202,11
