system,eer_baseline,delta_baseline,ci_baseline_lo,ci_baseline_hi,eer_ablate_top1,delta_ablate_top1,ci_ablate_top1_lo,ci_ablate_top1_hi,eer_ablate_top2,delta_ablate_top2,ci_ablate_top2_lo,ci_ablate_top2_hi,eer_ablate_h2_h4,delta_ablate_h2_h4,ci_ablate_h2_h4_lo,ci_ablate_h2_h4_hi,eer_random_single_ctrl,delta_random_single_ctrl,ci_random_single_ctrl_lo,ci_random_single_ctrl_hi,eer_random_pair_ctrl,delta_random_pair_ctrl,ci_random_pair_ctrl_lo,ci_random_pair_ctrl_hi
CaroTTS,0.622507,0.0,0.566944,0.818018,0.692134,0.069627,0.587374,0.821371,0.706587,0.08408,0.58906,0.812017,0.769439,0.146932,0.655538,0.882913,0.61528,-0.007227,0.400381,0.727517,0.692134,0.069627,0.508491,0.820407
Cartesia.ai (Sonic-3),0.630477,0.0,0.519953,0.764812,0.63138,0.000903,0.590067,0.792518,0.63951,0.009033,0.559678,0.786217,0.741305,0.110829,0.604148,0.808323,0.512873,-0.117604,0.431433,0.62063,0.67618,0.045703,0.554882,0.737364
Chatterbox Multilingual,0.703207,0.0,0.555495,0.82196,0.797471,0.094264,0.553928,0.88066,0.787986,0.084779,0.52998,0.864745,0.800181,0.096974,0.599766,0.930773,0.589973,-0.113234,0.450637,0.700539,0.700045,-0.003162,0.500225,0.846441
Edge-TTS,0.53391,0.0,0.384645,0.622792,0.461573,-0.072337,0.376495,0.666376,0.541588,0.007678,0.42899,0.647155,0.538427,0.004517,0.431547,0.666828,0.38472,-0.14919,0.230455,0.571953,0.53933,0.00542,0.428122,0.633809
FishTTS,0.626222,0.0,0.485547,0.708635,0.545537,-0.080685,0.395,0.693766,0.622608,-0.003613,0.380473,0.6952,0.545537,-0.080685,0.412871,0.731725,0.458528,-0.167693,0.316496,0.586219,0.546892,-0.07933,0.45305,0.727514
Higgs-Audio-V2,0.714415,0.0,0.642149,0.754573,0.67841,-0.036005,0.625397,0.763732,0.718028,0.003613,0.64236,0.767942,0.711253,-0.003162,0.647321,0.806343,0.535617,-0.178797,0.494244,0.617379,0.666667,-0.047748,0.624452,0.756033
Kani-TTS-370M,0.545537,0.0,0.363523,0.756816,0.545537,0.0,0.265679,0.736463,0.545537,0.0,0.333349,0.749774,0.545537,0.0,0.241533,0.758946,0.454463,-0.091073,0.249294,0.605294,0.545537,0.0,0.333484,0.732448
Kartoffelbox,0.6339,0.0,0.428822,0.712567,0.618091,-0.015808,0.537119,0.750649,0.631642,-0.002258,0.444483,0.703476,0.636158,0.002258,0.549027,0.794062,0.454463,-0.179437,0.37381,0.62519,0.636158,0.002258,0.466491,0.708681
Llasa-1B-Multilingual,0.538427,0.0,0.407628,0.74556,0.61528,0.076854,0.4,0.727038,0.61528,0.076854,0.385992,0.768084,0.686262,0.147835,0.4463,0.785986,0.475575,-0.062852,0.292471,0.62503,0.614829,0.076402,0.427826,0.706352
NVidia Magpie-TTS Multilingual,0.552394,0.0,0.399827,0.674877,0.566396,0.014002,0.399791,0.698174,0.611337,0.058943,0.400439,0.71799,0.597787,0.045393,0.4225,0.733651,0.444444,-0.107949,0.28325,0.533369,0.444444,-0.107949,0.332121,0.63201
OuteTTS,0.625056,0.0,0.541143,0.728851,0.63409,0.009033,0.554818,0.744591,0.665763,0.040707,0.537079,0.753938,0.708277,0.08322,0.533066,0.752913,0.544998,-0.080059,0.449482,0.60792,0.70376,0.078704,0.579042,0.770282
RVC,0.571622,0.0,0.492211,0.743869,0.577042,0.00542,0.466606,0.750588,0.573881,0.002258,0.500119,0.775472,0.639857,0.068235,0.461346,0.750158,0.500226,-0.071396,0.375707,0.61571,0.697251,0.125629,0.554495,0.749516
"Resemble.ai (April 12th, 2025)",0.538427,0.0,0.411199,0.685178,0.543847,0.00542,0.470972,0.699472,0.555139,0.016712,0.454944,0.719261,0.619345,0.080919,0.514013,0.75041,0.454346,-0.08408,0.288803,0.532759,0.538427,0.0,0.399989,0.678026
facebook_mms-tts-deu,0.690633,0.0,0.600079,0.793856,0.696505,0.005872,0.641586,0.826191,0.749887,0.059254,0.618169,0.807912,0.746274,0.05564,0.676354,0.833408,0.562641,-0.127992,0.50813,0.673392,0.691988,0.001355,0.545597,0.795179
griffin_lim,0.635897,0.0,0.582779,0.749898,0.687472,0.051575,0.555322,0.80848,0.690182,0.054285,0.583203,0.791982,0.687472,0.051575,0.580646,0.818901,0.566706,-0.06919,0.426994,0.662316,0.738144,0.102247,0.600068,0.806921
pooled,0.627548,0.0,nan,nan,0.637062,0.009514,nan,nan,0.644769,0.017221,nan,nan,0.668328,0.04078,nan,nan,0.513819,-0.113729,nan,nan,0.631627,0.004079,nan,nan
