system,eer_baseline,delta_baseline,ci_baseline_lo,ci_baseline_hi,eer_ablate_top1,delta_ablate_top1,ci_ablate_top1_lo,ci_ablate_top1_hi,eer_ablate_top2,delta_ablate_top2,ci_ablate_top2_lo,ci_ablate_top2_hi,eer_ablate_h2_h4,delta_ablate_h2_h4,ci_ablate_h2_h4_lo,ci_ablate_h2_h4_hi,eer_random_single_ctrl,delta_random_single_ctrl,ci_random_single_ctrl_lo,ci_random_single_ctrl_hi,eer_random_pair_ctrl,delta_random_pair_ctrl,ci_random_pair_ctrl_lo,ci_random_pair_ctrl_hi
Cartesia.ai (Sonic-3),0.370695,0.0,0.199562,0.57135,0.457449,0.086754,0.315959,0.69058,0.454696,0.084001,0.28213,0.707998,0.454696,0.084001,0.32131,0.679568,0.363536,-0.007159,0.176864,0.594886,0.363536,-0.007159,0.172717,0.533286
Chatterbox,0.437854,0.0,0.297469,0.524259,0.5,0.062146,0.363438,0.653468,0.504956,0.067102,0.304721,0.609493,0.584172,0.146318,0.496798,0.700149,0.367999,-0.069855,0.280056,0.467664,0.365796,-0.072058,0.242433,0.430776
DeepGram,0.444689,0.0,0.250917,0.646905,0.444689,0.0,0.275278,0.666498,0.444689,0.0,0.215858,0.599903,0.447993,0.003304,0.33272,0.60053,0.42046,-0.024229,0.270422,0.673416,0.354442,-0.090247,0.222359,0.576915
Edge-TTS,0.333517,0.0,0.031169,0.604066,0.421011,0.087494,0.137516,0.600046,0.333517,0.0,0.100071,0.558987,0.444689,0.111172,0.298151,0.580134,0.333517,0.0,0.028497,0.634896,0.333517,0.0,0.112663,0.668699
FireRedTTS-2.0,0.497247,0.0,0.340282,0.59978,0.554378,0.057131,0.375255,0.660231,0.5,0.002753,0.369984,0.63245,0.562638,0.065391,0.295566,0.692531,0.438464,-0.058783,0.346161,0.624201,0.424146,-0.0731,0.333333,0.570355
FishTTS,0.39989,0.0,0.200034,0.545338,0.333517,-0.066373,0.221327,0.500276,0.333517,-0.066373,0.222418,0.553261,0.333517,-0.066373,0.164123,0.500371,0.333517,-0.066373,0.213843,0.500274,0.39989,0.0,0.236832,0.538475
Higgs-Audio-V2,0.482523,0.0,0.411475,0.637119,0.608863,0.126341,0.465422,0.684292,0.530143,0.04762,0.385689,0.660924,0.557388,0.074866,0.429638,0.652126,0.520781,0.038259,0.399218,0.666315,0.445365,-0.037158,0.362012,0.553567
Index-TTS-1.5,0.48058,0.0,0.332999,0.666876,0.650514,0.169934,0.541909,0.694747,0.533186,0.052606,0.357233,0.666497,0.667584,0.187004,0.599292,0.775697,0.472871,-0.007709,0.344468,0.701564,0.51942,0.03884,0.299896,0.620413
Index-TTS-2.0,0.294085,0.0,0.213481,0.420319,0.411829,0.117744,0.31565,0.611046,0.294085,0.0,0.228921,0.474802,0.529574,0.235488,0.426079,0.679607,0.305098,0.011013,0.23981,0.38503,0.352682,0.058597,0.210714,0.439542
Indri-TTS-0.1,0.285478,0.0,0.179998,0.429131,0.283826,-0.001652,0.214497,0.375222,0.285478,0.0,0.152585,0.416859,0.28658,0.001101,0.199768,0.38921,0.285478,0.0,0.199707,0.439414,0.292637,0.007159,0.195399,0.457807
