system,eer_baseline,delta_baseline,ci_baseline_lo,ci_baseline_hi,eer_ablate_top1,delta_ablate_top1,ci_ablate_top1_lo,ci_ablate_top1_hi,eer_ablate_top2,delta_ablate_top2,ci_ablate_top2_lo,ci_ablate_top2_hi,eer_ablate_h2_h4,delta_ablate_h2_h4,ci_ablate_h2_h4_lo,ci_ablate_h2_h4_hi,eer_random_single_ctrl,delta_random_single_ctrl,ci_random_single_ctrl_lo,ci_random_single_ctrl_hi,eer_random_pair_ctrl,delta_random_pair_ctrl,ci_random_pair_ctrl_lo,ci_random_pair_ctrl_hi
CaroTTS,0.693037,0.0,0.539398,0.845923,0.692134,-0.000903,0.499977,0.857385,0.692134,-0.000903,0.525662,0.856901,0.61528,-0.077757,0.411261,0.666931,0.685811,-0.007227,0.52035,0.834815,0.633347,-0.05969,0.537726,0.832586
Cartesia.ai (Sonic-3),0.73995,0.0,0.552235,0.823675,0.740854,0.000903,0.545484,0.79364,0.749887,0.009937,0.579402,0.82986,0.553156,-0.186794,0.474823,0.618244,0.672567,-0.067384,0.555157,0.80559,0.686568,-0.053382,0.571109,0.767926
Chatterbox Multilingual,0.792051,0.0,0.565671,0.86746,0.787986,-0.004065,0.553488,0.844818,0.800181,0.00813,0.51661,0.899409,0.594941,-0.197109,0.500225,0.719951,0.710434,-0.081617,0.555214,0.837936,0.712692,-0.079359,0.500215,0.806561
Edge-TTS,0.461573,0.0,0.384268,0.61332,0.323675,-0.137899,0.25572,0.555467,0.477382,0.015808,0.362755,0.634803,0.38472,-0.076854,0.272139,0.541024,0.461573,0.0,0.370024,0.600273,0.467445,0.005872,0.384015,0.573742
FishTTS,0.706455,0.0,0.559402,0.778008,0.545537,-0.160918,0.399767,0.689926,0.638417,-0.068038,0.571282,0.733388,0.454463,-0.251991,0.290747,0.548946,0.636158,-0.070296,0.500438,0.765931,0.628028,-0.078427,0.493801,0.721882
Higgs-Audio-V2,0.714415,0.0,0.646714,0.809699,0.71306,-0.001355,0.640362,0.765936,0.759453,0.045038,0.666201,0.821343,0.571622,-0.142793,0.445769,0.63247,0.666667,-0.047748,0.600146,0.751478,0.658988,-0.055427,0.586039,0.738915
Kani-TTS-370M,0.545537,0.0,0.399179,0.713463,0.454463,-0.091073,0.199338,0.666517,0.545537,0.0,0.285924,0.731982,0.376037,-0.1695,0.218412,0.640022,0.538762,-0.006775,0.391687,0.666516,0.543278,-0.002258,0.382794,0.678621
Kartoffelbox,0.658742,0.0,0.525642,0.824459,0.626222,-0.03252,0.516352,0.797675,0.727232,0.06849,0.581198,0.812382,0.528373,-0.130369,0.420153,0.612583,0.632997,-0.025745,0.526112,0.78459,0.632545,-0.026197,0.506624,0.754747
Llasa-1B-Multilingual,0.692134,0.0,0.454886,0.784921,0.676777,-0.015357,0.454504,0.76039,0.692134,0.0,0.399982,0.851198,0.538427,-0.153707,0.397962,0.630265,0.61528,-0.076854,0.428122,0.787001,0.617539,-0.074595,0.428278,0.766373
NVidia Magpie-TTS Multilingual,0.555556,0.0,0.372788,0.732149,0.495709,-0.059846,0.266247,0.654108,0.500226,-0.05533,0.385013,0.700366,0.444444,-0.111111,0.343586,0.511774,0.555556,0.0,0.404398,0.647338,0.506098,-0.049458,0.351556,0.667171
OuteTTS,0.666667,0.0,0.590641,0.760352,0.625056,-0.04161,0.526085,0.745285,0.66757,0.000903,0.582141,0.762157,0.535513,-0.131154,0.44169,0.591155,0.661247,-0.00542,0.549322,0.71435,0.626863,-0.039804,0.573063,0.714467
RVC,0.722997,0.0,0.618102,0.809595,0.716221,-0.006775,0.577736,0.798569,0.714415,-0.008582,0.624388,0.799027,0.571622,-0.151374,0.440122,0.648112,0.714415,-0.008582,0.595584,0.793171,0.714415,-0.008582,0.574518,0.799651
"Resemble.ai (April 12th, 2025)",0.61528,0.0,0.357909,0.709069,0.537072,-0.078209,0.333635,0.657364,0.61528,0.0,0.428278,0.751926,0.461573,-0.153707,0.333625,0.583194,0.555139,-0.060142,0.333172,0.680649,0.55288,-0.0624,0.39894,0.669248
facebook_mms-tts-deu,0.687472,0.0,0.562291,0.805102,0.687472,0.0,0.473183,0.814589,0.749887,0.062415,0.57831,0.833701,0.619636,-0.067835,0.466357,0.685001,0.686568,-0.000903,0.534126,0.764248,0.625056,-0.062415,0.504986,0.759424
griffin_lim,0.812302,0.0,0.666817,0.884568,0.749435,-0.062867,0.584185,0.833601,0.75079,-0.061512,0.666787,0.842108,0.562641,-0.249661,0.444218,0.666817,0.797849,-0.014453,0.624276,0.847396,0.754404,-0.057899,0.624972,0.849697
pooled,0.67739,0.0,nan,nan,0.618034,-0.059356,nan,nan,0.678293,0.000903,nan,nan,0.51835,-0.15904,nan,nan,0.637062,-0.040328,nan,nan,0.622565,-0.054825,nan,nan
