system,eer_baseline,delta_baseline,ci_baseline_lo,ci_baseline_hi,eer_ablate_top1,delta_ablate_top1,ci_ablate_top1_lo,ci_ablate_top1_hi,eer_ablate_top2,delta_ablate_top2,ci_ablate_top2_lo,ci_ablate_top2_hi,eer_ablate_h2_h4,delta_ablate_h2_h4,ci_ablate_h2_h4_lo,ci_ablate_h2_h4_hi,eer_random_single_ctrl,delta_random_single_ctrl,ci_random_single_ctrl_lo,ci_random_single_ctrl_hi,eer_random_pair_ctrl,delta_random_pair_ctrl,ci_random_pair_ctrl_lo,ci_random_pair_ctrl_hi
Cartesia.ai (Sonic-3),0.202693,0.0,0.135398,0.428098,0.272928,0.070234,0.149203,0.443665,0.272928,0.070234,0.113799,0.47999,0.343712,0.141019,0.20011,0.462208,0.19994,-0.002753,0.142671,0.500289,0.272928,0.070234,0.100001,0.455821
Chatterbox,0.356435,0.0,0.268907,0.439637,0.424087,0.067653,0.325897,0.500014,0.435651,0.079216,0.34768,0.561631,0.571507,0.215072,0.422981,0.720751,0.356986,0.000551,0.289788,0.429707,0.300346,-0.056089,0.252421,0.397475
DeepGram,0.333517,0.0,0.165115,0.585923,0.432575,0.099058,0.23664,0.667335,0.356645,0.023128,0.206742,0.601065,0.538791,0.205274,0.271271,0.616159,0.333517,0.0,0.189784,0.638053,0.333517,0.0,0.184128,0.51665
Edge-TTS,0.444689,0.0,0.110938,0.639709,0.333517,-0.111172,0.176916,0.619453,0.418808,-0.025881,0.214781,0.598583,0.554209,0.10952,0.198403,0.695144,0.456804,0.012115,0.198356,0.643695,0.417707,-0.026982,0.221794,0.607211
FireRedTTS-2.0,0.5,0.0,0.351933,0.683153,0.498899,-0.001101,0.354974,0.706806,0.5,0.0,0.402473,0.650816,0.547219,0.047219,0.426493,0.687477,0.437362,-0.062638,0.34714,0.637641,0.437362,-0.062638,0.34575,0.642936
FishTTS,0.393833,0.0,0.210891,0.528174,0.333517,-0.060316,0.229825,0.529304,0.333517,-0.060316,0.238738,0.50105,0.316997,-0.076836,0.233473,0.428952,0.341226,-0.052606,0.224041,0.500829,0.387775,-0.006057,0.257756,0.484407
Higgs-Audio-V2,0.515826,0.0,0.400144,0.593057,0.48032,-0.035506,0.390887,0.562731,0.521883,0.006057,0.40267,0.642691,0.530143,0.014317,0.431301,0.608907,0.518028,0.002203,0.39219,0.583855,0.425541,-0.090284,0.339313,0.571928
Index-TTS-1.5,0.533186,0.0,0.397551,0.687741,0.60011,0.066924,0.4565,0.720869,0.588546,0.05536,0.468706,0.696153,0.661527,0.128341,0.505734,0.720588,0.533186,0.0,0.310911,0.700447,0.466814,-0.066373,0.281847,0.643211
Index-TTS-2.0,0.411829,0.0,0.329974,0.464454,0.457761,0.045932,0.318489,0.538601,0.411829,0.0,0.313363,0.496142,0.529574,0.117744,0.3811,0.590726,0.405772,-0.006057,0.278029,0.477719,0.358739,-0.05309,0.278909,0.495339
Indri-TTS-0.1,0.285478,0.0,0.196987,0.451809,0.344871,0.059393,0.193042,0.48553,0.298143,0.012665,0.159917,0.405327,0.356986,0.071507,0.230882,0.53366,0.285478,0.0,0.180594,0.490742,0.279972,-0.005507,0.143014,0.387998
Kani-TTS-370M,0.28339,0.0,0.124183,0.443142,0.363536,0.080146,0.142585,0.473493,0.342611,0.059221,0.199871,0.480905,0.363536,0.080146,0.221423,0.500346,0.272928,-0.010463,0.107319,0.500412,0.280637,-0.002753,0.155874,0.521449
Kitten-TTS-Nano-0.1,0.213971,0.0,0.088329,0.274501,0.277769,0.063798,0.134907,0.400233,0.285478,0.071507,0.090957,0.428715,0.356986,0.143014,0.180054,0.55637,0.198553,-0.015419,0.076952,0.266884,0.143014,-0.070957,0.063693,0.235687
Kitten-TTS-Nano-0.2,0.195072,0.0,0.133189,0.363642,0.312638,0.117566,0.142843,0.445029,0.312638,0.117566,0.133025,0.399685,0.437362,0.242291,0.247095,0.557158,0.187362,-0.007709,0.097002,0.333347,0.187362,-0.007709,0.097802,0.300615
Kyutai-TTS,0.368682,0.0,0.282745,0.449123,0.368682,0.0,0.230759,0.524721,0.368682,0.0,0.285183,0.54629,0.469221,0.100539,0.302279,0.567097,0.328049,-0.040633,0.238996,0.466993,0.315934,-0.052748,0.204889,0.414624
Llasa-1B-Multilingual,0.312638,0.0,0.211087,0.461286,0.311536,-0.001101,0.21255,0.454039,0.324202,0.011564,0.190398,0.444682,0.323651,0.011013,0.276828,0.438148,0.312638,0.0,0.200014,0.44221,0.312638,0.0,0.177064,0.430874
Llasa-8B,0.384422,0.0,0.25081,0.538854,0.346733,-0.03769,0.249958,0.513993,0.333517,-0.050906,0.285075,0.413996,0.341777,-0.042646,0.266693,0.444831,0.340125,-0.044298,0.231429,0.499464,0.388828,0.004405,0.187656,0.507812
