attack_system,group,mean_eer,n_utterances,cosine_centroid,l2_centroid,per_utt_cosine_mean,per_utt_cosine_std
Cartesia.ai (Sonic-3),mid,0.1397,11,0.030249,3.635864,0.090239,0.028648
Chatterbox,mid,0.3403,14,0.032495,3.764106,0.087832,0.023154
DeepGram,easy,0.1154,9,0.027779,3.517489,0.08932,0.02708
Edge-TTS,mid,0.2264,9,0.041375,4.226829,0.11201,0.040947
FireRedTTS-2.0,hard,0.5399,16,0.033449,3.780864,0.099536,0.040127
FishTTS,mid,0.3472,15,0.024248,3.237558,0.093363,0.020931
Higgs-Audio-V2,hard,0.442,23,0.015416,2.584929,0.093133,0.023156
Index-TTS-1.5,hard,0.5367,15,0.04696,4.524795,0.101969,0.025632
Index-TTS-2.0,mid,0.3831,17,0.037016,3.997175,0.090593,0.023174
Indri-TTS-0.1,easy,0.1349,14,0.037297,4.150515,0.097564,0.019571
Kani-TTS-370M,mid,0.3007,11,0.023726,3.214362,0.094356,0.020951
Kitten-TTS-Nano-0.1,easy,0.0724,14,0.072086,5.680153,0.106361,0.022181
Kitten-TTS-Nano-0.2,easy,0.1133,16,0.081998,6.045208,0.113889,0.030606
Kyutai-TTS,mid,0.1716,19,0.023159,3.208345,0.096049,0.023692
Llasa-1B-Multilingual,mid,0.2177,16,0.025028,3.291117,0.102924,0.032486
Llasa-8B,mid,0.3202,18,0.010478,2.129993,0.09201,0.054716
Mars5,mid,0.3413,16,0.017988,2.788565,0.104055,0.03103
Marvis-TTS,mid,0.2054,5,0.10959,7.365931,0.124129,0.014756
MatchaTTS,mid,0.1932,10,0.041542,4.290362,0.094629,0.020782
Maya1 TTS,mid,0.1618,17,0.028505,3.553872,0.093212,0.033908
MegaTTS3,mid,0.2243,14,0.041604,4.208935,0.116385,0.0361
MeloTTS,mid,0.2217,13,0.064444,5.265287,0.12474,0.028327
Metavoice-1B,mid,0.2844,14,0.048673,4.630421,0.103437,0.052625
Microsoft VibeVoice 1.5B,mid,0.3586,13,0.036904,4.016277,0.091406,0.024653
Microsoft VibeVoice Large,mid,0.2038,17,0.034367,3.937487,0.092588,0.022061
MiniCPM-o-2.6,mid,0.3138,20,0.038348,4.092251,0.108639,0.037999
Nari Dia-1.6B,mid,0.207,11,0.038841,4.095829,0.109239,0.065014
Nari Dia2,mid,0.3119,11,0.039554,4.142846,0.121112,0.028228
NeuTTS-Air,mid,0.2834,16,0.028719,3.52261,0.084718,0.020344
OpenVoiceV2,mid,0.2407,15,0.017543,2.758315,0.072027,0.021976
Openaudio-S1-Mini,mid,0.3471,25,0.032991,3.819306,0.104999,0.027995
OuteTTS,hard,0.4045,22,0.01464,2.506638,0.090219,0.029523
Qwen2.5-Omni,mid,0.2451,14,0.036795,4.020209,0.077604,0.022202
RVC,mid,0.2855,14,0.033529,3.774189,0.110036,0.036642
"Resemble.ai (April 12th, 2025)",mid,0.2011,18,0.051061,4.761231,0.107369,0.027982
Ringg Squirrel TTS v1.0,easy,0.1152,18,0.033871,3.8413,0.097088,0.01883
SoulX-Podcast,mid,0.319,12,0.021567,3.101512,0.087163,0.023202
Spark-TTS-0.5B,hard,0.5112,16,0.039997,4.143081,0.103192,0.011463
Step-Audio-EditX,mid,0.2391,11,0.049762,4.693002,0.096243,0.019194
Supertonic,easy,0.1038,16,0.028553,3.593893,0.070442,0.020862
Veena,easy,0.0975,16,0.086392,6.263086,0.111172,0.010726
VoxCPM-0.5B,mid,0.3865,23,0.026544,3.379134,0.107172,0.035061
VoxCPM-1.5,hard,0.4712,14,0.016173,2.635424,0.093814,0.02777
Voxtream,mid,0.3366,18,0.028045,3.509453,0.096274,0.024271
WhisperSpeech,mid,0.3495,21,0.019308,2.882677,0.090213,0.023235
ZipVoice,hard,0.4181,12,0.051291,4.73868,0.096757,0.029473
e2-tts,mid,0.3698,16,0.054483,4.812751,0.117788,0.021902
f5-tts,mid,0.382,17,0.045873,4.467997,0.105359,0.022841
facebook_mms-tts-eng,easy,0.13,18,0.063206,5.423392,0.089487,0.022522
griffin_lim,hard,0.4007,15,0.06182,5.149096,0.11019,0.021573
kokoro,easy,0.1132,19,0.02856,3.518709,0.08435,0.021518
microsoft_speecht5_tts,mid,0.2994,12,0.037508,4.079241,0.109963,0.045228
minimax_speech-02-turbo,mid,0.1423,11,0.030829,3.640141,0.091218,0.026445
minimax_speech-2.6-hd,mid,0.1922,12,0.038927,4.139745,0.096831,0.035226
optispeech,mid,0.1534,14,0.071916,5.704309,0.108107,0.035523
orpheus-tts-0.1-finetune,easy,0.0678,11,0.044536,4.449259,0.094497,0.012841
parler_tts_large_v1,mid,0.143,14,0.037242,4.051494,0.096339,0.018002
parler_tts_mini_v0.1,mid,0.1544,17,0.031585,3.743495,0.093016,0.026051
parler_tts_mini_v1,mid,0.1566,6,0.020794,3.011796,0.078916,0.013218
sesame_csm,mid,0.2577,13,0.038238,4.0778,0.136008,0.064807
suno_bark,mid,0.2465,14,0.027694,3.430587,0.139357,0.085162
suno_bark-small,mid,0.2358,14,0.032311,3.704807,0.14399,0.076705
vixTTS,mid,0.2615,16,0.050719,4.666958,0.096019,0.024278
