system_id,mean_entropy_mean,median_entropy_mean,max_entropy_mean,var_entropy_mean
Cartesia.ai (Sonic-3),1.7141469298971428,1.8120071346109563,2.278771075335416,0.2034987513189426
Chatterbox,1.7087468592801096,1.7847166955471039,2.267656888280596,0.18163351403407293
DeepGram,1.72943271294409,1.8269282182057698,2.2745540936787925,0.19165720633432434
Edge-TTS,1.6557765784111789,1.7400180995464325,2.2112221717834473,0.17145563828990348
FireRedTTS-2.0,1.7269564172658214,1.8149378933012486,2.2598655819892883,0.1726903768151576
FishTTS,1.7148250845826778,1.807146934668223,2.2645650545756024,0.19446329489556033
Higgs-Audio-V2,1.7156954903356922,1.7923753624377043,2.26198032627935,0.1785322914382133
Index-TTS-1.5,1.6814742906760227,1.7427617112795513,2.260140053431193,0.18523534104946277
Index-TTS-2.0,1.7173960058758633,1.810897153966567,2.26360102260814,0.18828812901068148
Indri-TTS-0.1,1.7592282517683968,1.8574515240533012,2.2727284261158536,0.17809826581514107
Kani-TTS-370M,1.715025167209432,1.7986272681843152,2.2681768157265405,0.18074505496852392
Kitten-TTS-Nano-0.1,1.7120315365791576,1.830062793833869,2.269170199121748,0.19208199972742326
Kitten-TTS-Nano-0.2,1.6266847323540108,1.7175858952105045,2.2555169612169266,0.22249361865485584
Kyutai-TTS,1.7229179491284838,1.8112552542435496,2.261116856022885,0.17785165367641376
Llasa-1B-Multilingual,1.6511235199138048,1.7401181943714619,2.257249101996422,0.20884806103066011
Llasa-8B,1.6735665949431202,1.7482516219218571,2.250197794702318,0.18506461964731755
Mars5,1.7768820139462784,1.8584115542471409,2.2693816125392914,0.1771632105269471
Marvis-TTS,1.7419370993550984,1.8449060201644898,2.261246156692505,0.18269385143777078
MatchaTTS,1.7578674357280335,1.8705425918102265,2.2737141609191895,0.17900718105449512
Maya1 TTS,1.6797467789412344,1.769209507633658,2.2521915435791016,0.1911829308398277
MegaTTS3,1.7875170945324257,1.887624353170395,2.2762709856033325,0.176680249042261
MeloTTS,1.7171285267359246,1.8343348365563612,2.2647385047032285,0.19311471917350007
Metavoice-1B,1.8159113589117022,1.9036180056058443,2.27287613428556,0.16150752599416804
Microsoft VibeVoice 1.5B,1.7356112585566335,1.835236824475802,2.2695899193103495,0.1863993913509495
Microsoft VibeVoice Large,1.7198997688499618,1.829321331837598,2.269152220557718,0.1924643707310514
MiniCPM-o-2.6,1.7185996525644036,1.8088437139987945,2.271068239212036,0.1864047239272683
Nari Dia-1.6B,1.6712270836376353,1.7520509091290561,2.1697369488802822,0.16449217957895632
Nari Dia2,1.768283926284947,1.8609408140182495,2.275297511707653,0.1719937052688689
NeuTTS-Air,1.7005057837094175,1.7949494756758213,2.2701462507247925,0.19091526299573214
OpenVoiceV2,1.7598023195264572,1.862505821386973,2.2744699001312254,0.17366519992856383
Openaudio-S1-Mini,1.730534343198825,1.8097297954559326,2.267269239425659,0.17592799192088981
OuteTTS,1.7712592184072355,1.8684563338756561,2.272668556733565,0.16977505066251672
Qwen2.5-Omni,1.6892378754367512,1.7647061262811934,2.2661376169749667,0.1997695949399252
RVC,1.7960913273128214,1.9112853450434548,2.271958589553833,0.1715690805672127
"Resemble.ai (April 12th, 2025)",1.7316709703290087,1.8172094523906708,2.2729139857821994,0.17753685303860267
Ringg Squirrel TTS v1.0,1.767929086423739,1.8577366140153673,2.2740450037850275,0.16690279103598185
SoulX-Podcast,1.714118202147927,1.8058932920296986,2.266777495543162,0.1895144360346589
Spark-TTS-0.5B,1.670246260651595,1.7544065341353416,2.263520836830139,0.1885550388786552
Step-Audio-EditX,1.6981581868964106,1.7991354248740457,2.2691724517128686,0.19469123140493458
Supertonic,1.6930853731328308,1.783566314727068,2.2641356587409973,0.19604831662286676
Veena,1.791090097268325,1.8895596973598003,2.2743477821350098,0.16259041996726664
VoxCPM-0.5B,1.7220030093876377,1.8068255808042444,2.2623661704685376,0.17903622072922323
VoxCPM-1.5,1.7190884400571627,1.812616799558912,2.264815262385777,0.18469717969019436
Voxtream,1.7254511472883853,1.8188440965281591,2.27232207192315,0.18980389714456003
WhisperSpeech,1.7460114848422157,1.84321448632649,2.2682498636699857,0.18370590938899078
ZipVoice,1.6320099764666065,1.723702758550644,2.215411822001139,0.19354548199689622
e2-tts,1.7613488190814404,1.8699576668441296,2.2744323760271072,0.1756084047290964
f5-tts,1.70133964680998,1.7821517937323625,2.271126158097211,0.1883752360221307
facebook_mms-tts-eng,1.741988417744933,1.835977875524097,2.270362933476766,0.1783372397919305
griffin_lim,1.802936166502431,1.8944233576456706,2.274902852376302,0.15595949716187787
kokoro,1.647373358769735,1.723109948007684,2.268855747423674,0.2159570539599196
microsoft_speecht5_tts,1.6833974865603496,1.7551986250010403,2.255543427033858,0.18876118280679996
minimax_speech-02-turbo,1.7276215333988956,1.8191737749359824,2.2686591798608955,0.17771483502933488
minimax_speech-2.6-hd,1.7349129388321176,1.8217453161875408,2.275475720564524,0.1870771146470367
optispeech,1.6697519336869608,1.7609979978629522,2.2540012427738736,0.18778542128520279
orpheus-tts-0.1-finetune,1.733102362539943,1.8545641140504316,2.264725598421964,0.19249220067769962
parler_tts_large_v1,1.796972207888613,1.8982985615730286,2.279947212764195,0.1633915171269465
parler_tts_mini_v0.1,1.7685570876066528,1.8808935039183672,2.2731781426598046,0.1795671840299844
parler_tts_mini_v1,1.8362049461072962,1.944150596857071,2.2810534238815308,0.15516154540049834
sesame_csm,1.7465993878272061,1.8404470361196077,2.271650497729962,0.18284382825608086
suno_bark,1.6451275262130434,1.728475000177111,2.1579167331968034,0.17640681033674557
suno_bark-small,1.6553205063981622,1.7437772239957536,2.159217357635498,0.1756060654146527
vixTTS,1.7954562191834342,1.8980075605213642,2.278252363204956,0.17092985028125626
