feature,spearman_rho,spearman_p,pearson_r,pearson_p,n
phoneme_var_mean,-0.48396697388632876,5.8552999938837574e-05,-0.42293980150806226,0.0005536818517167054,63
phoneme_var_median,-0.4827668970814133,6.145552129773454e-05,-0.45252903564856484,0.00019635902923546204,63
frame_mean_dist_mean,-0.3355414746543779,0.007180213554155165,-0.35745359255049486,0.004026661933926052,63
n_segs_mean,-0.19612361248834967,0.12343515853952253,-0.19619897360677416,0.12328818032570835,63
n_nodes_mean,-0.1941074108668809,0.1274171130944085,-0.19308621033443074,0.1294707764618093,63
n_edges_mean,-0.1941074108668809,0.1274171130944085,-0.1940184435727071,0.12759504008481898,63
max_entropy_mean,-0.19335637480798773,0.12892504566955856,-0.030328728271345824,0.8134633045584909,63
edge_density_mean,0.16037826420890938,0.20925448548562542,0.13488790049943272,0.2918708693496521,63
median_entropy_mean,-0.13325652841781876,0.2977999680989657,-0.141980237245795,0.2669986481834378,63
var_entropy_mean,-0.12355990783410138,0.33464953206575476,-0.1389409818052421,0.2774772424365366,63
avg_degree_mean,-0.12149577572964669,0.3428485308051027,-0.05913122186627686,0.6452691913683054,63
mean_gini_mean,0.09360599078341013,0.46557302804950285,0.10729943177529612,0.40257646769791616,63
mean_top3_mass_mean,0.0904857910906298,0.4806388699933758,0.11249347651249877,0.3800522164362707,63
frame_var_dist_mean,-0.09029377880184332,0.4815743805871838,-0.09651936687049001,0.4517401384696633,63
mean_top1_mass_mean,0.042962749615975425,0.7381290113293448,0.07923024381305646,0.5370705062120562,63
mean_entropy_mean,-0.0375384024577573,0.7702191006647764,-0.05892280426111892,0.646436117194522,63
