system_id,frame_mean_dist_mean,frame_mean_dist_median,frame_var_dist_mean
Cartesia.ai (Sonic-3),16.384260351007637,16.455965042114258,54.803692904385656
Chatterbox,16.74300738743373,16.25709629058838,43.28291034698486
DeepGram,16.74966197543674,16.8737850189209,45.105904473198784
Edge-TTS,15.118374188741049,15.540611267089844,76.02008374532063
FireRedTTS-2.0,15.223041653633118,15.158029079437256,62.67057490348816
FishTTS,15.207433446248372,15.750551223754883,41.35889956156413
Higgs-Audio-V2,15.25706498519234,15.646446228027344,50.079265179841414
Index-TTS-1.5,15.36389586130778,15.51257610321045,43.317909749348956
Index-TTS-2.0,17.220159811132095,17.181432723999023,49.9313435274012
Indri-TTS-0.1,15.938402788979667,15.73935079574585,30.823028564453125
Kani-TTS-370M,16.6900972886519,16.547868728637695,31.489871111783113
Kitten-TTS-Nano-0.1,15.913467543465751,16.38524055480957,34.90493760790144
Kitten-TTS-Nano-0.2,15.381689727306366,15.249764919281006,38.05484867095947
Kyutai-TTS,16.49917843467311,16.805084228515625,40.31617897435238
Llasa-1B-Multilingual,14.618153601884842,15.357609272003174,49.9751855134964
Llasa-8B,14.847330543729994,15.74838638305664,51.68218845791287
Mars5,15.690521955490112,15.488901615142822,52.26396191120148
Marvis-TTS,19.258155059814452,19.240827560424805,44.15463562011719
MatchaTTS,18.193036842346192,17.86925506591797,37.27377796173096
Maya1 TTS,16.157707663143384,16.62713050842285,63.55980188706342
MegaTTS3,15.562808649880546,15.844664573669434,68.09850869859967
MeloTTS,17.469381405757023,17.48894691467285,44.30443807748648
Metavoice-1B,18.034916060311453,18.353955268859863,57.26668077707291
Microsoft VibeVoice 1.5B,17.01640356504,17.05147361755371,51.124893775353065
Microsoft VibeVoice Large,16.551658518174115,16.81175994873047,54.20615162568934
MiniCPM-o-2.6,14.569387459754944,15.153419494628906,61.718499755859376
Nari Dia-1.6B,17.440148310227826,18.991336822509766,48.67688959295099
Nari Dia2,16.185014377940785,16.23857879638672,41.680710705843836
NeuTTS-Air,15.603172063827515,15.806832790374756,46.860629081726074
OpenVoiceV2,17.20873343149821,17.270620346069336,54.435563532511395
Openaudio-S1-Mini,16.86842140197754,16.649700164794922,41.526456146240236
OuteTTS,15.801995667544277,16.152007579803467,47.984655987132676
Qwen2.5-Omni,17.253031185695104,17.490007400512695,49.93752779279436
RVC,16.004149981907435,15.596269607543945,58.97749982561384
"Resemble.ai (April 12th, 2025)",14.895693673027885,14.889269351959229,83.28298547532823
Ringg Squirrel TTS v1.0,18.323838657803005,18.259541511535645,52.87585396236844
SoulX-Podcast,16.920538028081257,16.829548835754395,43.4966344833374
Spark-TTS-0.5B,15.498833119869232,15.270410537719727,46.00673282146454
Step-Audio-EditX,16.661320773037996,16.676889419555664,57.25075461647727
Supertonic,17.208496570587158,17.517166137695312,56.053555488586426
Veena,16.764170706272125,16.685340881347656,74.55349349975586
VoxCPM-0.5B,16.68187427520752,17.00341796875,52.93118758823561
VoxCPM-1.5,16.15841109412057,16.40231990814209,50.20513807024275
Voxtream,15.479797628190783,15.47688102722168,48.81587367587619
WhisperSpeech,15.244165102640787,15.043734550476074,38.954581941877095
ZipVoice,13.46408987045288,13.074539184570312,57.97332954406738
e2-tts,17.193385004997253,17.095117568969727,32.12937331199646
f5-tts,18.240520308999454,18.639137268066406,31.87532896154067
facebook_mms-tts-eng,19.217000749376083,19.164937019348145,40.72574922773573
griffin_lim,16.51631342569987,16.23276138305664,30.717855135599773
kokoro,16.985020788092363,17.735158920288086,55.634580511795846
microsoft_speecht5_tts,14.663122336069742,14.825490474700928,33.81889413793882
minimax_speech-02-turbo,17.496178193525836,18.033449172973633,56.312132055109196
minimax_speech-2.6-hd,16.4018231232961,16.836870193481445,51.38889185587565
optispeech,17.784674099513463,19.35114860534668,46.63913754054478
orpheus-tts-0.1-finetune,15.950674143704502,16.215415954589844,59.12810308283026
parler_tts_large_v1,19.309248243059432,19.712360382080078,42.282029560634065
parler_tts_mini_v0.1,18.32985793842989,18.228073120117188,39.30122768177706
parler_tts_mini_v1,18.6574125289917,18.84981060028076,38.73324489593506
sesame_csm,15.740043786855844,15.885154724121094,31.588510513305664
suno_bark,14.219861371176583,14.535531520843506,43.048036439078196
suno_bark-small,14.57748556137085,14.394025325775146,35.27338763645717
vixTTS,16.846470296382904,16.68345546722412,33.861605763435364
