system_id,mean_gini_mean,mean_top1_mass_mean,mean_top3_mass_mean
Cartesia.ai (Sonic-3),0.4447723139828534,0.37872775818951754,0.6978680919732597
Chatterbox,0.4590762533737912,0.3777819921182458,0.7096078656605298
DeepGram,0.4450100860311953,0.3753329055749426,0.6940531256250602
Edge-TTS,0.4259751655208847,0.3865196946355638,0.7193250397084424
FireRedTTS-2.0,0.43813236696559194,0.36881622497900035,0.7004434076430353
FishTTS,0.43276866366370187,0.3698657717403503,0.7008285238658715
Higgs-Audio-V2,0.4498876559830466,0.37712441826665555,0.7050397803457263
Index-TTS-1.5,0.4629072833148083,0.3929750272154124,0.7185211646954357
Index-TTS-2.0,0.457457366921743,0.37839952339057137,0.7033202534035261
Indri-TTS-0.1,0.43117075429885127,0.35638749779453666,0.6825287547026834
Kani-TTS-370M,0.44928761743517676,0.371911428287494,0.7051002919236238
Kitten-TTS-Nano-0.1,0.4512222146520162,0.3722766723591618,0.7050071277034168
Kitten-TTS-Nano-0.2,0.4706076772651792,0.4088392955705959,0.7332972541426286
Kyutai-TTS,0.44699113675260665,0.370789218045918,0.7028663973860477
Llasa-1B-Multilingual,0.46388079317773745,0.40080843574040836,0.7261707750955693
Llasa-8B,0.4451930847860594,0.38747718899645656,0.7153347811045436
Mars5,0.39901710194276196,0.34231294699150056,0.6724600200408892
Marvis-TTS,0.44825753597381546,0.36994134930659245,0.6932844542105919
MatchaTTS,0.4291990173197582,0.3570609564767713,0.6827713285119077
Maya1 TTS,0.4427975799691377,0.3821284976695854,0.7162304721279206
MegaTTS3,0.40531425571873114,0.3450097355456391,0.6708760803884656
MeloTTS,0.4533042578207193,0.3751672154947904,0.7019427483971481
Metavoice-1B,0.40293693868476865,0.33514470720521783,0.6608416409285094
Microsoft VibeVoice 1.5B,0.44501086567816917,0.3671265156795224,0.6957369857069154
Microsoft VibeVoice Large,0.44699028277795105,0.3762948765606856,0.700083060249681
MiniCPM-o-2.6,0.43387964826399533,0.3711858302118559,0.6989410289847889
Nari Dia-1.6B,0.4136329052104513,0.37952980772187445,0.716706203417485
Nari Dia2,0.42831298744817575,0.35284036998300977,0.6810837309161211
NeuTTS-Air,0.45253828265944473,0.3849825270469309,0.7070566684385087
OpenVoiceV2,0.4346505870087047,0.36042058313181863,0.6844385857451858
Openaudio-S1-Mini,0.4550008986314474,0.36916665017732186,0.7003068089827359
OuteTTS,0.42676743372026793,0.3518583286294249,0.6805034870310873
Qwen2.5-Omni,0.459475278725566,0.3815716971272019,0.7129837743255784
RVC,0.40119581131745885,0.3434776648654329,0.6638952562903321
"Resemble.ai (April 12th, 2025)",0.4301755041576947,0.36634265747415334,0.6962628581040986
Ringg Squirrel TTS v1.0,0.43804505940100763,0.35355130873296875,0.6848494399027787
SoulX-Podcast,0.456828178094161,0.37535346792997765,0.7049413405102909
Spark-TTS-0.5B,0.47361151862270334,0.39799385008942334,0.7236496166779129
Step-Audio-EditX,0.4574805796450965,0.3798249696077857,0.7082349768313967
Supertonic,0.46033832495968086,0.3841730466950761,0.7117408634575482
Veena,0.4194447310635682,0.3474483552171799,0.6708853911603562
VoxCPM-0.5B,0.4464291706071106,0.372316600732583,0.7008909217704682
VoxCPM-1.5,0.4487143170497224,0.37822184784455853,0.7006608922232616
Voxtream,0.4408415823800488,0.3707312695673637,0.6968275625590776
WhisperSpeech,0.4286949079032596,0.361772016522201,0.6890616110056585
ZipVoice,0.4471033762283682,0.40379495438375473,0.7307046164404949
e2-tts,0.43888861722165456,0.3532725065740615,0.6868203371448309
f5-tts,0.47135492517100525,0.38355612194053973,0.7132903531659496
facebook_mms-tts-eng,0.4467422486643413,0.36695242217520035,0.6941901933248488
griffin_lim,0.41830651426024457,0.3416467662528995,0.6693177156678793
kokoro,0.47959422633708826,0.4073700589916327,0.7273193277297697
microsoft_speecht5_tts,0.45812419632152696,0.38351053478601144,0.7174533720562878
minimax_speech-02-turbo,0.4437311891483324,0.3663402987621718,0.700987992129095
minimax_speech-2.6-hd,0.4272600090900769,0.36385291818114746,0.6931872124321267
optispeech,0.44067878743156247,0.38392706659420955,0.7178363310154208
orpheus-tts-0.1-finetune,0.4371148723859264,0.3716884271145792,0.6924732859283484
parler_tts_large_v1,0.42538679183687017,0.3486680577177173,0.6672727301683149
parler_tts_mini_v0.1,0.42769195737612425,0.35823048595835916,0.6782568316546055
parler_tts_mini_v1,0.4065570565828401,0.3293991721253155,0.6526706189460746
sesame_csm,0.4267929183578583,0.363013944376105,0.6874657710708573
suno_bark,0.3974023600753279,0.3821563348656446,0.7179515607042448
suno_bark-small,0.3851207151956353,0.37636329638125743,0.7127889609463699
vixTTS,0.3995800025458545,0.339625832066333,0.6650311315742254
