feature,hard_mean,easy_mean,delta,cohen_d,perm_p
frame_mean_dist_mean,15.410455709727508,16.843242365102373,-1.4327866553748656,-1.3572563304204766,0.0106
phoneme_var_median,0.39334929175674915,0.4256571516394615,-0.03230785988271234,-0.946828373249197,0.0692
phoneme_var_mean,0.3941466978578724,0.4241037781399756,-0.0299570802821032,-0.9024366875668007,0.082
edge_density_mean,0.22398490082978267,0.2092840110221613,0.014700889807621381,0.7518433297977627,0.1388
avg_degree_mean,8.555745005970852,8.700551389546074,-0.14480638357522224,-0.7511070899248441,0.1232
n_segs_mean,41.2092058982684,43.97262949039264,-2.7634235921242407,-0.7078481088001608,0.169
n_nodes_mean,41.2092058982684,43.97262949039264,-2.7634235921242407,-0.7078481088001608,0.1524
n_edges_mean,357.15455898268397,384.7262949039265,-27.57173592124252,-0.7072872319823685,0.1604
max_entropy_mean,2.2591631615033445,2.268844240411676,-0.009681078908331475,-0.7027647327905552,0.0848
var_entropy_mean,0.17862378221162176,0.18966591125874094,-0.011042129047119181,-0.6859855794875951,0.1852
median_entropy_mean,1.8004600938480912,1.817654299498789,-0.017194205650697736,-0.29101621519563897,0.5454
mean_top3_mass_mean,0.7036050850906042,0.6996344763677438,0.003970608722860369,0.19457093105616907,0.6932
mean_gini_mean,0.44567880826809414,0.4479290195058855,-0.002250211237791344,-0.12411080130109052,0.7994
mean_top1_mass_mean,0.37655392720764114,0.3744019990225874,0.0021519281850537197,0.10054168438384051,0.8274
mean_entropy_mean,1.7149582825453207,1.7201945929525162,-0.005236310407195521,-0.09789754072466027,0.8326
frame_var_dist_mean,48.6194326738982,48.78600550895854,-0.16657283506033593,-0.014347643264138682,0.9808
