dist_to_ctr_mean,dist_to_ctr_median,dist_to_ctr_var,cos_dist_to_ctr_mean,cos_dist_to_ctr_var,avg_pairwise_dist,cov_trace,log_det_cov,effective_rank,pca_k80,pca_k95,pca_var1,knn_density,intrinsic_dim,n_utts,system
7.76535,8.18751,1.04552,0.13265,0.00075,11.47142,67.48080,15.03217,7.05627,5.00000,8.00000,0.30608,0.10529,7.42799,11,Cartesia.ai (Sonic-3)
7.61053,7.28546,2.71932,0.11926,0.00284,11.14525,65.30403,13.17938,7.57279,6.00000,10.00000,0.32967,0.11987,6.69243,14,Chatterbox
7.90798,7.93664,0.88755,0.12665,0.00060,11.77212,71.35165,14.49899,5.81934,4.00000,6.00000,0.36085,0.10052,5.87114,9,DeepGram
8.79904,8.90129,5.76169,0.17298,0.00565,13.24321,93.58289,14.88249,4.63069,4.00000,6.00000,0.49486,0.09659,6.12889,9,Edge-TTS
8.58861,8.23137,3.15583,0.16478,0.00420,12.51826,82.04813,13.45109,8.04112,5.00000,10.00000,0.29607,0.10990,6.69853,16,FireRedTTS-2.0
8.94389,8.80202,1.43062,0.15568,0.00110,12.88246,87.23979,14.82320,6.71641,5.00000,10.00000,0.43365,0.11046,9.79705,15,FishTTS
9.33394,9.30033,1.49289,0.17238,0.00130,13.39351,92.64327,12.94893,10.89069,7.00000,14.00000,0.26045,0.10549,8.20374,23,Higgs-Audio-V2
8.04039,7.97728,2.10869,0.12601,0.00237,11.71364,71.52487,12.55036,7.85051,6.00000,9.00000,0.30565,0.11421,9.35487,15,Index-TTS-1.5
7.47591,6.61171,4.86327,0.12192,0.00569,10.97259,64.54961,10.16132,8.03111,6.00000,11.00000,0.34300,0.12379,7.76609,17,Index-TTS-2.0
8.56246,8.25374,3.11732,0.12881,0.00308,12.51150,82.31244,14.23885,6.93945,5.00000,9.00000,0.30846,0.10827,5.50144,14,Indri-TTS-0.1
8.73357,8.36637,1.43100,0.14643,0.00128,12.83773,85.47694,16.54680,6.36635,5.00000,8.00000,0.36389,0.09977,6.64609,11,Kani-TTS-370M
5.98075,5.51543,2.66829,0.07196,0.00148,8.80034,41.39439,5.42725,7.24958,5.00000,9.00000,0.30676,0.15669,4.27715,14,Kitten-TTS-Nano-0.1
5.93216,6.06496,1.49945,0.07263,0.00096,8.58078,39.13597,-0.74869,6.91000,5.00000,8.00000,0.35652,0.17454,3.62836,16,Kitten-TTS-Nano-0.2
9.03155,8.87361,1.05397,0.15595,0.00117,13.07098,87.21295,17.82754,11.35916,7.00000,12.00000,0.21093,0.09647,12.04280,19,Kyutai-TTS
9.16956,8.53230,5.00377,0.17253,0.00536,13.40407,95.02347,15.88711,7.66230,5.00000,10.00000,0.30352,0.10065,7.63603,16,Llasa-1B-Multilingual
9.70333,9.37511,8.36940,0.19467,0.00782,14.24774,108.55485,18.46156,8.74556,6.00000,11.00000,0.33326,0.09497,8.42015,18,Llasa-8B
9.80897,9.24041,4.35884,0.19153,0.00416,14.29494,107.27975,17.88580,7.89162,6.00000,10.00000,0.33948,0.09661,11.26453,16,Mars5
4.11169,3.78049,0.57573,0.02948,0.00020,6.52478,21.85216,6.37309,3.58195,3.00000,4.00000,0.45819,0.16409,18.85382,5,Marvis-TTS
7.63086,7.48270,2.70562,0.11707,0.00277,11.37901,67.70627,13.83969,6.06498,4.00000,7.00000,0.35244,0.10860,5.58406,10,MatchaTTS
7.79121,7.64544,2.90086,0.13212,0.00394,11.33449,67.57906,10.64009,8.24023,6.00000,10.00000,0.27499,0.12474,8.38424,17,Maya1 TTS
8.67246,8.41299,2.73542,0.16787,0.00284,12.73896,83.94293,17.68496,8.70722,6.00000,10.00000,0.25175,0.09916,4.66701,14,MegaTTS3
7.92968,7.67590,2.24856,0.12722,0.00195,11.44120,70.55578,8.63972,5.22997,3.00000,7.00000,0.40622,0.13303,2.60017,13,MeloTTS
7.79045,6.69141,16.95556,0.12365,0.00751,11.71034,83.61946,13.02972,5.69375,4.00000,9.00000,0.49048,0.11520,10.32462,14,Metavoice-1B
7.70788,7.45551,3.18065,0.11952,0.00233,11.30052,67.80806,12.39003,6.60368,5.00000,8.00000,0.32571,0.11878,6.65786,13,Microsoft VibeVoice 1.5B
7.96371,7.61744,0.99732,0.12517,0.00122,11.41808,68.44419,9.63203,7.23623,5.00000,10.00000,0.40713,0.12693,9.56694,17,Microsoft VibeVoice Large
8.91562,8.79725,3.25950,0.17307,0.00364,12.89114,87.10297,12.43809,8.65637,6.00000,12.00000,0.33219,0.10646,17.74173,20,MiniCPM-o-2.6
8.09185,7.35958,10.20687,0.15052,0.02001,12.19410,83.25340,15.04594,5.66400,4.00000,7.00000,0.42876,0.10621,7.65044,11,Nari Dia-1.6B
9.43995,9.35011,1.78878,0.16539,0.00217,13.85639,99.99157,17.98920,6.21655,5.00000,8.00000,0.38719,0.09191,5.17244,11,Nari Dia2
7.91235,7.95419,2.50357,0.12925,0.00253,11.54713,69.44939,12.79468,8.52413,6.00000,10.00000,0.29816,0.11103,9.91305,16,NeuTTS-Air
7.20256,7.09824,0.79936,0.10778,0.00044,10.41128,56.43876,10.11316,7.59814,6.00000,10.00000,0.37744,0.13242,8.62843,15,OpenVoiceV2
8.87628,9.08408,3.39504,0.14571,0.00263,12.76303,85.60765,5.21546,10.36949,7.00000,14.00000,0.29301,0.11607,10.71786,25,Openaudio-S1-Mini
8.80997,8.56665,1.27764,0.15803,0.00157,12.55007,82.64995,5.04473,8.12526,6.00000,12.00000,0.34322,0.12231,9.04883,22,OuteTTS
6.52541,6.34089,1.61442,0.09070,0.00089,9.38706,47.59500,4.90029,5.42552,4.00000,9.00000,0.50029,0.16288,8.31357,14,Qwen2.5-Omni
8.99039,8.21923,4.11224,0.16925,0.00325,13.24923,91.47316,18.87700,8.67915,6.00000,10.00000,0.23585,0.09331,11.17160,14,RVC
