system,group,observed_eer,residual,dist_to_ctr_mean,avg_pairwise_dist,cov_trace,effective_rank,knn_density,intrinsic_dim,phoneme_var_mean_x,frame_mean_dist_mean_x
Kitten-TTS-Nano-0.2,easy,0.1040,-0.2440,5.9322,8.5808,39.1360,6.9100,0.1745,3.6284,0.3645,15.3817
Kitten-TTS-Nano-0.1,easy,0.0773,-0.2327,5.9807,8.8003,41.3944,7.2496,0.1567,4.2771,0.3710,15.9135
Indri-TTS-0.1,easy,0.1386,-0.1542,8.5625,12.5115,82.3124,6.9395,0.1083,5.5014,0.3695,15.9384
orpheus-tts-0.1-finetune,easy,0.0863,-0.1407,7.3433,10.8355,61.5454,6.0805,0.1170,9.0112,0.4444,15.9507
Veena,easy,0.0861,-0.1254,5.2231,7.6219,30.6933,7.5935,0.1778,9.2517,0.4481,16.7642
kokoro,easy,0.1264,-0.1238,7.7052,11.1086,64.7273,8.8855,0.1303,4.0553,0.4322,16.9850
Edge-TTS,mid,0.2061,-0.1060,8.7990,13.2432,93.5829,4.6307,0.0966,6.1289,0.4062,15.1184
Llasa-1B-Multilingual,mid,0.2240,-0.0930,9.1696,13.4041,95.0235,7.6623,0.1006,7.6360,0.4189,14.6181
suno_bark,mid,0.2464,-0.0879,11.6453,17.0287,158.3674,6.2281,0.0819,13.1441,0.3574,14.2199
MatchaTTS,mid,0.1700,-0.0872,7.6309,11.3790,67.7063,6.0650,0.1086,5.5841,0.4186,18.1930
facebook_mms-tts-eng,easy,0.1380,-0.0863,5.1971,7.5748,30.2379,8.8984,0.1773,13.5223,0.4218,19.2170
suno_bark-small,mid,0.2424,-0.0853,11.9466,17.5874,169.1114,6.1422,0.0782,9.8752,0.3492,14.5775
parler_tts_mini_v0.1,mid,0.1295,-0.0839,8.2007,11.9887,75.5633,8.9763,0.1106,12.4032,0.4415,18.3299
Kyutai-TTS,mid,0.2024,-0.0831,9.0315,13.0710,87.2130,11.3592,0.0965,12.0428,0.4146,16.4992
MegaTTS3,mid,0.2049,-0.0745,8.6725,12.7390,83.9429,8.7072,0.0992,4.6670,0.4230,15.5628
parler_tts_large_v1,mid,0.1379,-0.0641,7.8044,11.4465,67.5481,8.4308,0.1089,15.5948,0.4359,19.3092
minimax_speech-2.6-hd,mid,0.1932,-0.0605,7.6378,11.4502,72.1116,6.8254,0.1124,8.8684,0.4096,16.4018
DeepGram,easy,0.1319,-0.0585,7.9080,11.7721,71.3517,5.8193,0.1005,5.8711,0.4516,16.7497
Ringg Squirrel TTS v1.0,easy,0.1255,-0.0549,7.8993,11.3928,67.5016,8.9498,0.1191,10.6822,0.4541,18.3238
sesame_csm,mid,0.2712,-0.0544,11.3134,16.5379,143.7381,6.6711,0.0812,8.5205,0.3454,15.7400
Cartesia.ai (Sonic-3),mid,0.1594,-0.0490,7.7654,11.4714,67.4808,7.0563,0.1053,7.4280,0.4671,16.3843
optispeech,mid,0.1424,-0.0475,6.2476,9.2658,61.3381,3.2321,0.1623,8.4589,0.4471,17.7847
Step-Audio-EditX,mid,0.2548,-0.0472,7.1762,10.5908,57.5485,7.4213,0.1145,5.6786,0.4185,16.6613
Supertonic,easy,0.1283,-0.0419,6.2808,9.0971,43.9169,7.1671,0.1597,10.6803,0.4840,17.2085
vixTTS,mid,0.2864,-0.0406,7.1457,10.4160,56.2045,9.1955,0.1230,5.7839,0.3816,16.8465
Maya1 TTS,mid,0.1593,-0.0389,7.7912,11.3345,67.5791,8.2402,0.1247,8.3842,0.4469,16.1577
minimax_speech-02-turbo,mid,0.1859,-0.0359,7.9308,11.7261,70.7103,7.0089,0.1027,7.4280,0.4329,17.4962
WhisperSpeech,mid,0.3254,-0.0351,8.5646,12.3313,79.8947,9.1247,0.1174,11.0887,0.3964,15.2442
FishTTS,mid,0.3434,-0.0271,8.9439,12.8825,87.2398,6.7164,0.1105,9.7970,0.3804,15.2074
MeloTTS,mid,0.2712,-0.0266,7.9297,11.4412,70.5558,5.2300,0.1330,2.6002,0.3918,17.4694
OpenVoiceV2,mid,0.2481,-0.0246,7.2026,10.4113,56.4388,7.5981,0.1324,8.6284,0.4149,17.2087
"Resemble.ai (April 12th, 2025)",mid,0.2431,-0.0239,8.0470,11.6808,70.8811,9.6294,0.1130,5.4861,0.4312,14.8957
parler_tts_mini_v1,mid,0.1655,-0.0227,7.6897,11.9355,73.1223,4.2864,0.0924,9.0072,0.4379,18.6574
Nari Dia2,mid,0.3210,-0.0067,9.4399,13.8564,99.9916,6.2166,0.0919,5.1724,0.3601,16.1850
microsoft_speecht5_tts,mid,0.3129,0.0022,9.0902,13.4166,99.4743,5.9377,0.1032,5.2438,0.3438,14.6631
Qwen2.5-Omni,mid,0.2301,0.0134,6.5254,9.3871,47.5950,5.4255,0.1629,8.3136,0.4366,17.2530
Nari Dia-1.6B,mid,0.2447,0.0138,8.0919,12.1941,83.2534,5.6640,0.1062,7.6504,0.4207,17.4401
Mars5,mid,0.3556,0.0185,9.8090,14.2949,107.2797,7.8916,0.0966,11.2645,0.3915,15.6905
MiniCPM-o-2.6,mid,0.3172,0.0230,8.9156,12.8911,87.1030,8.6564,0.1065,17.7417,0.4212,14.5694
