system,intercept,beta_logit,beta_C,beta_T
Cartesia.ai (Sonic-3),0.07027615330641214,1.249281146675897,0.32952412779116264,-0.39731865810867545
Chatterbox,0.05987590865372484,1.2664973580102616,0.31319526205963716,-0.39761684224038635
DeepGram,0.07032745152466424,1.251118738670861,0.3284935596786188,-0.3996913722494237
Edge-TTS,0.06916115590572147,1.2509955031294178,0.3344988843054605,-0.396707008814602
FireRedTTS-2.0,0.0458908978935069,1.3120772002932513,0.34045666223781457,-0.3974589625279362
FishTTS,0.06162604075599672,1.2560778808836293,0.3353018969034571,-0.3999799257254317
Higgs-Audio-V2,0.04415625884988113,1.2842672839926668,0.320841891743012,-0.39514052976461334
Index-TTS-1.5,0.05043403481556747,1.298479136837548,0.290383828637514,-0.36476484111539587
Index-TTS-2.0,0.05155751007839085,1.2767227000195855,0.3112678473048801,-0.4061805502609301
Indri-TTS-0.1,0.06761519537486721,1.2446334785221664,0.34060402127507905,-0.40833558766799866
Kani-TTS-370M,0.06640268261711373,1.254067231229797,0.3335406003636582,-0.40100142783862297
Kitten-TTS-Nano-0.1,0.07160978828777541,1.2472078508711075,0.33473968371763635,-0.402954984505684
Kitten-TTS-Nano-0.2,0.0695257239265298,1.2465060962587111,0.327080868799997,-0.3951340599629202
Kyutai-TTS,0.0629223846319622,1.2432424467931618,0.32898708221651785,-0.3978681332839499
Llasa-1B-Multilingual,0.06572761889501917,1.246660297504413,0.32089985468184035,-0.38912425925648786
Llasa-8B,0.05845809779793016,1.2560160324347056,0.3207068995166497,-0.3758791184517379
Mars5,0.05048365075395096,1.2709196204964293,0.3722949090189423,-0.4174355862254334
Marvis-TTS,0.0733132455143905,1.2551817330507427,0.33266421930032447,-0.40403241668073403
MatchaTTS,0.0693152354700623,1.2501569402240373,0.33324728675677767,-0.40119471077590396
Maya1 TTS,0.06501467303755636,1.2480558271758513,0.32346931838382,-0.3757182338997253
MegaTTS3,0.05865259124462659,1.256001239978325,0.3540115878615368,-0.4141868253537085
