system,C,T,baseline_eer,model_eer,d_eer,baseline_auc,model_auc,d_auc,d_bal_acc,d_acc,eer_improved,auc_corroborated
MegaTTS3,-10.87811,2.81748,0.3571428571428213,0.2813614432556562,-0.07578141388716508,0.7709251101321586,0.8145059786028949,0.04358086847073628,0.02441262848751835,0.20968908170643535,True,True
Marvis-TTS,-11.07228,2.7861,0.2000000000003107,0.12591776798798787,-0.07408223201232284,0.9240088105726872,0.9545521292217328,0.03054331864904558,0.06347283406754756,-0.07155896312522803,True,True
Microsoft VibeVoice Large,-11.20791,2.80826,0.2352941176470588,0.17051049494674156,-0.06478362270031723,0.8701736201088366,0.882525697503671,0.01235207739483446,0.018862831476202824,0.09369369369369374,True,True
Microsoft VibeVoice 1.5B,-11.06696,2.72165,0.3846153846153616,0.33333333333333326,-0.05128205128202834,0.646645205015249,0.7155484016717497,0.06890319665650069,0.0726589856545804,0.11834961997828441,True,True
OpenVoiceV2,-11.36205,2.6472,0.2621145374449449,0.21387665198245742,-0.04823788546248747,0.7904552129221734,0.8446891825746451,0.054233969652471736,0.033786098874204695,0.023474178403755874,True,True
"Resemble.ai (April 12th, 2025)",-10.97008,2.89231,0.2777777777775597,0.2311143742862473,-0.0466634034913124,0.8188325991189427,0.8480176211453744,0.029185022026431695,0.05376080926741722,-0.09035277177825762,True,True
Index-TTS-2.0,-11.02141,2.74238,0.428414096917327,0.3901917595229449,-0.03822233739438213,0.6142135268204197,0.6330655610261725,0.018852034205752766,0.005312257061414805,0.10486486486486479,True,True
Openaudio-S1-Mini,-10.82325,2.85961,0.3999999999999531,0.36314243759136855,-0.036857562408584565,0.6790748898678415,0.6751101321585904,-0.003964757709251088,0.014508076358296651,0.06609503394069316,True,False
Supertonic,-11.13805,2.78536,0.125,0.09003303964770888,-0.03496696035229112,0.969920154185022,0.9671897944199705,-0.0027303597650514266,0.011472099853156892,-0.017676767676767735,True,False
e2-tts,-10.92617,2.76124,0.3711453744483705,0.3392988252572233,-0.031846549191147155,0.7031938325991189,0.6797448604992659,-0.023448972099853083,-0.013169970631424333,0.07467532467532467,True,False
minimax_speech-02-turbo,-11.02915,2.74086,0.1818181818181817,0.1507475637430176,-0.03107061807516412,0.932819383259912,0.9193699105593378,-0.013449472700574172,0.035993191830196225,0.01196953210010876,True,False
MeloTTS,-11.02763,2.75371,0.2307692307692276,0.1999039873488241,-0.030865243420403476,0.912741443578448,0.8817067660679996,-0.031034677510448416,-0.03625889528973236,0.0032573289902280145,True,False
FireRedTTS-2.0,-9.67617,2.74047,0.6249999999999997,0.594346549192876,-0.030653450807123672,0.3053414096916299,0.375,0.06965859030837013,0.014959618208516878,0.4718614718614719,True,True
sesame_csm,-10.80728,2.79118,0.2830396475764219,0.25968598215324534,-0.023353665423176573,0.800152490681125,0.8015644414322828,0.0014119507511577423,-0.002301479724387101,0.07021353601158165,True,True
DeepGram,-11.17381,2.62221,0.157488986784906,0.13762440854894806,-0.01986457823595794,0.9358786098874204,0.9546826562245064,0.01880404633708599,0.0016519823788545551,0.0032715376226826187,True,True
WhisperSpeech,-11.26201,2.76802,0.3809523809525412,0.3724914341658337,-0.008460946786707502,0.6815082861338368,0.6818753933291378,0.00036710719530097524,0.02135340186000978,-0.17043415859346978,True,True
Veena,-11.30142,2.76771,0.105726872245475,0.0977422907485674,-0.007984581496907603,0.9620732378854624,0.9639087738619677,0.0018355359765053203,-0.018676578560939627,-0.016594516594516606,True,True
