system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
Spark-TTS-0.5B,-10.85044,2.8038,0.6250000000000492,0.625,0.3302129221732745,0.3876651982378855,0.5104166666666667,0.5272577092511013,0.33946608946608947,0.9155844155844156
Index-TTS-1.5,-11.09735,2.74406,0.6500244738131374,0.5999999999999996,0.34329417523250116,0.3758443465491923,0.5261257953989231,0.5225770925110133,0.8201516793066089,0.0606717226435536
FireRedTTS-2.0,-9.67617,2.74047,0.594346549192876,0.6249999999999997,0.375,0.3053414096916299,0.5199155653450808,0.5049559471365639,0.4989177489177489,0.027056277056277
VoxCPM-1.5,-11.05028,2.80275,0.4861023704639981,0.4779735682815185,0.4986889028739248,0.5553807426054123,0.5920652401929934,0.6141441157960982,0.9352856109906003,0.8633405639913232
Higgs-Audio-V2,-11.109,2.80124,0.5217391304347826,0.4347826086956909,0.5189938070612271,0.6046734342080062,0.5966369788673945,0.6251436506416395,0.8331543143573219,0.7647690655209453
Mars5,-11.32011,2.84054,0.49118942731235493,0.4374999999999708,0.5843887665198239,0.5824614537444934,0.6262389867841409,0.6172907488986784,0.3257575757575757,0.2478354978354978
Index-TTS-2.0,-11.02141,2.74238,0.3901917595229449,0.428414096917327,0.6330655610261725,0.6142135268204197,0.6508810572687224,0.6455688002073076,0.6356756756756756,0.5308108108108108
OuteTTS,-10.98285,2.79802,0.4049192364164958,0.3931718061669267,0.6543685756240822,0.6662995594713657,0.6386330262982245,0.6472266720064077,0.5974910394265233,0.5709677419354838
Voxtream,-10.93791,2.77738,0.4009218469564346,0.3270925110123337,0.6605074237232827,0.7098017621145374,0.6662587697829988,0.6975648556045031,0.5946724262059035,0.673866090712743
ZipVoice,-10.86822,2.80332,0.4597405775817979,0.3469162995605787,0.5668441018110623,0.6422540381791483,0.6277533039647577,0.6598751835535976,0.589855072463768,0.6532608695652173
griffin_lim,-10.82422,2.8566,0.42222222222222244,0.4,0.5799069995105237,0.6585168869309839,0.6058737151248165,0.6355726872246696,0.676056338028169,0.8634886240520043
FishTTS,-11.17461,2.7008,0.3865149290260777,0.2666666666666666,0.7468428781204112,0.8086637298091043,0.7075379344101811,0.7683553597650514,0.6395810762007946,0.866738894907909
Nari Dia2,-11.16706,2.70401,0.3387064477375062,0.2819383259912535,0.7089507408890668,0.7294753704445334,0.7089006808169804,0.722667200640769,0.690968443960827,0.7181719260065288
SoulX-Podcast,-10.93597,2.76337,0.35523739598671566,0.3333333333333337,0.6912628487518355,0.6994309838472834,0.7264439549681839,0.7523861967694567,0.8387681159420289,0.8358695652173913
WhisperSpeech,-11.26201,2.76802,0.3724914341658337,0.3809523809525412,0.6818753933291378,0.6815082861338368,0.6641843227746311,0.6428309209146214,0.6315034086831718,0.8019375672766416
VoxCPM-0.5B,-10.66426,2.74095,0.40752090914950295,0.4140969162984599,0.6072112622103045,0.6096533231181767,0.6246488539871033,0.6245929898486879,0.639813820264948,0.7636949516648764
f5-tts,-10.75229,2.70689,0.4229722726093768,0.3898678414094841,0.6420057009587977,0.6410987302409951,0.6472315798566122,0.6362723503498315,0.7607207207207206,0.9091891891891892
Microsoft VibeVoice 1.5B,-11.06696,2.72165,0.33333333333333326,0.3846153846153616,0.7155484016717497,0.646645205015249,0.7273523099514289,0.6546933242968485,0.8859934853420195,0.7676438653637351
Openaudio-S1-Mini,-10.82325,2.85961,0.36314243759136855,0.3999999999999531,0.6751101321585904,0.6790748898678415,0.6663803230543318,0.6518722466960352,0.7670596641657735,0.7009646302250804
Chatterbox,-11.13056,2.82544,0.3809523809524739,0.285714285714382,0.6287497377805747,0.7168030207677785,0.6838158170757289,0.7244336060415355,0.769703543022415,0.7342733188720173
Metavoice-1B,-11.26542,2.78059,0.3248898678412056,0.2857142857140903,0.7239091671911057,0.776431718061674,0.7329557373610237,0.7857929515418502,0.49710773680404907,0.5780911062906724
