system,eer,auc,acc,bal_acc,n_spoof
Spark-TTS-0.5B,0.6249999999999869,0.36171530837004406,0.030303030303030304,0.5066079295154186,16
Index-TTS-1.5,0.6,0.4035976505139501,0.8028169014084507,0.5391703377386197,15
FireRedTTS-2.0,0.5837004405305308,0.39420429515418504,0.025974025974025976,0.5044052863436124,16
Higgs-Audio-V2,0.5217391304347826,0.51944072016855,0.8968850698174007,0.6081210496073549,23
ZipVoice,0.5,0.5383627019089574,0.7347826086956522,0.6189427312775331,12
Mars5,0.49229074889757274,0.6037995594713657,0.37337662337662336,0.6811674008810573,16
griffin_lim,0.4666666666666672,0.5627753303964758,0.447453954496208,0.5880323054331864,15
VoxCPM-1.5,0.4285714285717078,0.5564820641913153,0.9598698481561823,0.6279893014474512,14
f5-tts,0.4117647058823529,0.648613630474216,0.9081081081081082,0.6645827934698108,17
VoxCPM-0.5B,0.3964757709266401,0.6562918981038115,0.7765843179377014,0.6523893890059376,23
Voxtream,0.3711453744481556,0.6920582476749878,0.5615550755939525,0.7219774840920214,18
OuteTTS,0.366740088105807,0.6719062875450541,0.8505376344086022,0.6573388065678815,22
Chatterbox,0.35714285714285693,0.7164096916299559,0.7559652928416486,0.7002831969792322,14
Nari Dia2,0.34691629955898684,0.7447937525030035,0.5527747551686616,0.7287745294353224,11
Kani-TTS-370M,0.3447136563861601,0.7884461353624349,0.9521218715995647,0.7512515018021626,11
MiniCPM-o-2.6,0.33700440528520625,0.7633810572687224,0.6530172413793104,0.7004405286343612,20
SoulX-Podcast,0.33590308370195654,0.7431167400881058,0.8369565217391305,0.7118208516886931,12
microsoft_speecht5_tts,0.33370044052978176,0.7604625550660793,0.48478260869565215,0.7389867841409692,12
Metavoice-1B,0.3337004405276273,0.7482693517935809,0.41865509761388287,0.7048458149779736,14
WhisperSpeech,0.3333333333335943,0.7019089574155654,0.6932185145317545,0.6802496328928047,21
Llasa-8B,0.3333333333333395,0.75354870288791,0.8347732181425486,0.6979319627998042,18
FishTTS,0.33333333333333365,0.7890602055800294,0.514626218851571,0.7205212922173274,15
e2-tts,0.33039647577166975,0.7195071585903084,0.6298701298701299,0.6888766519823788,16
Openaudio-S1-Mini,0.33039647577109715,0.709955947136564,0.632368703108253,0.6944273127753304,25
RVC,0.3160792951551431,0.7743077407174324,0.8947939262472885,0.7356041535556954,14
NeuTTS-Air,0.3072687224667512,0.8064427312775331,0.5898268398268398,0.7606002202643172,16
Index-TTS-2.0,0.30506607929547824,0.7292044571132417,0.6572972972972972,0.7388572168955687,17
suno_bark,0.28571428571438207,0.7994808055380742,0.8036876355748374,0.7596758967904342,14
Step-Audio-EditX,0.2727272727272724,0.8130756908289948,0.6006528835690969,0.7530036043251902,11
Nari Dia-1.6B,0.2727272727272724,0.8176812174609531,0.6213275299238302,0.7634661593912695,11
minimax_speech-2.6-hd,0.25,0.8270007342143906,0.8804347826086957,0.8160792951541851,12
vixTTS,0.25,0.8332874449339207,0.7186147186147186,0.7647301762114538,16
Edge-TTS,0.24449339207087828,0.8579295154185022,0.7088331515812432,0.7979686735193343,9
MegaTTS3,0.2312775330403964,0.8502989301447452,0.7234273318872018,0.7892542479546885,14
Microsoft VibeVoice 1.5B,0.23076923076923067,0.782954930532023,0.7980456026058632,0.7838444595052525,13
"Resemble.ai (April 12th, 2025)",0.2222222222222223,0.8376774351443955,0.8898488120950324,0.8349241311796378,18
Qwen2.5-Omni,0.21428571428572127,0.8321271239773441,0.7418655097613883,0.7986154814348647,14
sesame_csm,0.21255506607927355,0.8590308370044053,0.7882736156351792,0.8167993900372754,13
suno_bark-small,0.21145374449318982,0.8628067967275015,0.789587852494577,0.8228445563247325,14
MeloTTS,0.20264317180582753,0.9019823788546255,0.6938110749185668,0.8447136563876652,13
DeepGram,0.201541850219258,0.9270680372001958,0.7415485278080698,0.8694933920704846,9
OpenVoiceV2,0.20000000000031073,0.8605726872246696,0.8158179848320694,0.8080396475770926,15
MatchaTTS,0.19999999999999993,0.9243392070484582,0.9139433551198257,0.8575991189427312,10
Llasa-1B-Multilingual,0.18750000000012607,0.8948926211453745,0.7911255411255411,0.8323237885462555,16
Cartesia.ai (Sonic-3),0.181818181817986,0.9187024429315178,0.9488574537540805,0.8843111734080897,11
Microsoft VibeVoice Large,0.17647058823539968,0.8713397253174398,0.774054054054054,0.8271896864472661,17
Maya1 TTS,0.17647058823530148,0.8765224151334543,0.8572972972972973,0.840729463591604,17
Kyutai-TTS,0.1585903083707159,0.9336308833758404,0.8252427184466019,0.8850278228611175,19
kokoro,0.1486784140963352,0.9362972408996059,0.8489751887810141,0.8971423603060514,19
parler_tts_mini_v0.1,0.14537444934024296,0.9295154185022027,0.9643243243243244,0.8952448820938066,17
optispeech,0.1428571428571444,0.9443832599118942,0.9056399132321041,0.8817652611705475,14
parler_tts_large_v1,0.14285714285714293,0.9558684707363121,0.9414316702819957,0.8999370673379483,14
Marvis-TTS,0.1420704845804002,0.9555066079295155,0.8587075575027382,0.928964757709251,5
orpheus-tts-0.1-finetune,0.14207048458038915,0.9649579495394474,0.8541893362350381,0.9262114537444934,11
Ringg Squirrel TTS v1.0,0.13215859030895227,0.9624326970141948,0.7948164146868251,0.8953744493392071,18
Indri-TTS-0.1,0.13215859030725025,0.9432819383259912,0.868763557483731,0.8982064191315293,14
Supertonic,0.12499999999984908,0.9693006607929515,0.9675324675324676,0.9220814977973568,16
facebook_mms-tts-eng,0.09140969162947302,0.9523984336759668,0.9092872570194385,0.9265173764072443,18
minimax_speech-02-turbo,0.09090909090909588,0.9390268321986384,0.9096844396082698,0.9093912695234281,11
Kitten-TTS-Nano-0.1,0.07142857142904539,0.9672750157331655,0.9609544468546638,0.9450125865324104,14
parler_tts_mini_v1,0.06718061674098275,0.9709985315712187,0.9332603938730853,0.9664096916299559,6
Veena,0.06250000000000007,0.9827230176211453,0.8939393939393939,0.946035242290749,16
Kitten-TTS-Nano-0.2,0.062499999999999986,0.9805203744493393,0.9664502164502164,0.9522301762114538,16
