system,C,T,baseline_eer,model_eer,d_eer,baseline_auc,model_auc,d_auc,d_bal_acc,d_acc,eer_improved,auc_corroborated
MegaTTS3,-10.87811,2.81748,0.3571428571428213,0.22320117474314313,-0.13394168239967816,0.7709251101321586,0.8491713866163205,0.07824627648416194,0.08750262219425231,0.28778018799710775,True,True
"Resemble.ai (April 12th, 2025)",-10.97008,2.89231,0.2777777777775597,0.20007342143946438,-0.0777043563380953,0.8188325991189427,0.8705335291238375,0.05170093000489484,0.05586147821830645,-0.10403167746580266,True,True
FireRedTTS-2.0,-9.67617,2.74047,0.6249999999999997,0.5526798825254834,-0.07232011747451628,0.3053414096916299,0.4188004772393539,0.113459067547724,0.022026431718061623,0.12373737373737378,True,True
Mars5,-11.32011,2.84054,0.4374999999999708,0.40556167400915005,-0.03193832599082075,0.5824614537444934,0.677863436123348,0.09540198237885456,0.06672173274596183,0.3322510822510823,True,True
MeloTTS,-11.02763,2.75371,0.2307692307692276,0.20631424375974294,-0.024454987009484647,0.912741443578448,0.868942731277533,-0.04379871230091503,-0.024327911442448946,0.026782482808541452,True,False
Spark-TTS-0.5B,-10.85044,2.8038,0.625,0.6028817914828571,-0.022118208517142857,0.3876651982378855,0.3107791850220264,-0.07688601321585908,-0.02542217327459617,-0.5728715728715729,True,False
minimax_speech-2.6-hd,-11.40033,2.69219,0.2500000000001466,0.2305433186491034,-0.019456681351043198,0.8198421439060205,0.873898678414097,0.05405653450807646,-0.0011625061184532548,-0.19166666666666665,True,True
Veena,-11.30142,2.76771,0.105726872245475,0.0864537444931039,-0.019273127752371097,0.9620732378854624,0.9695989353891336,0.007525697503671158,-0.004864170337738449,0.030663780663780615,True,True
RVC,-11.10697,2.72935,0.2857142857142856,0.2677784770300207,-0.017935808684264865,0.7556639395846445,0.7885200335640864,0.03285609397944189,0.008600797147052641,-0.006146059291395667,True,True
Nari Dia-1.6B,-11.2362,2.78417,0.2290748898677189,0.21645975170218543,-0.012615138165533474,0.8932719263115739,0.8715792284074223,-0.021692697904151625,-0.015435188893338503,0.028654334421472694,True,False
Index-TTS-1.5,-11.09735,2.74406,0.5999999999999996,0.58746940773316,-0.012530592266839613,0.3758443465491923,0.36262848751835536,-0.01321585903083694,-0.012983357807146323,0.7699530516431925,True,False
griffin_lim,-10.82422,2.8566,0.4,0.39055310817411004,-0.00944689182588998,0.6585168869309839,0.6294175232501223,-0.029099363680861523,0.0007709251101321035,-0.12748284579270497,True,False
suno_bark,-10.55239,2.80122,0.2511013215846743,0.24412628487503843,-0.006975036709635868,0.8059314033983637,0.8183343822110342,0.012402978812670495,0.030207677784770293,-0.009761388286333994,True,True
DeepGram,-11.17381,2.62221,0.157488986784906,0.15157448197105358,-0.005914504813852417,0.9358786098874204,0.9159324522760647,-0.019946157611355764,-0.02604421602218976,-0.015267175572518998,True,False
Marvis-TTS,-11.07228,2.7861,0.2000000000003107,0.19647577092497626,-0.0035242290753344507,0.9240088105726872,0.8970631424375917,-0.02694566813509558,0.010315712187958903,-0.11135450894487031,True,False
Cartesia.ai (Sonic-3),-11.13107,2.77879,0.0909090909090908,0.0909090909090942,3.400058012914542e-15,0.9535442531037244,0.9339540782272059,-0.019590174876518485,-0.0005506607929515184,-0.0010881392818281599,False,False
