system,C,T,smooth_eer,baseline_eer,smooth_auc,baseline_auc,smooth_bal_acc,baseline_bal_acc,smooth_acc,baseline_acc
Cartesia.ai (Sonic-3),-11.13107,2.77879,0.09090909090909588,0.0909090909090908,0.9322186623948738,0.9535442531037244,0.915448538245895,0.9204044853824588,0.9216539717083787,0.9314472252448314
Chatterbox,-11.13056,2.82544,0.42857142857130065,0.285714285714382,0.564977973568282,0.7168030207677785,0.598882945248584,0.7244336060415355,0.48698481561822127,0.7342733188720173
DeepGram,-11.17381,2.62221,0.23237885462574479,0.157488986784906,0.8321096426823299,0.9358786098874204,0.8040259422418012,0.9140969162995596,0.7208287895310797,0.8298800436205016
Edge-TTS,-10.92675,2.75393,0.2698237885464331,0.2059471365635573,0.823910915320607,0.8947626040137053,0.8001713166911404,0.8584801762114538,0.7131952017448201,0.7197382769901853
FireRedTTS-2.0,-9.67617,2.74047,0.5624999999997616,0.6249999999999997,0.4056993392070485,0.3053414096916299,0.5027533039647577,0.5049559471365639,0.022727272727272728,0.027056277056277
FishTTS,-11.17461,2.7008,0.4000000000000001,0.2666666666666666,0.6656387665198238,0.8086637298091043,0.6531938325991189,0.7683553597650514,0.8981581798483207,0.866738894907909
Higgs-Audio-V2,-11.109,2.80124,0.5217391304347826,0.4347826086956909,0.4504405286343613,0.6046734342080062,0.5613388239800805,0.6251436506416395,0.8882921589688507,0.7647690655209453
Index-TTS-1.5,-11.09735,2.74406,0.6618942731271961,0.5999999999999996,0.2752569750367107,0.3758443465491923,0.5,0.5225770925110133,0.9837486457204767,0.0606717226435536
Index-TTS-2.0,-11.02141,2.74238,0.5294117647058824,0.428414096917327,0.4816014511531485,0.6142135268204197,0.5483609743456854,0.6455688002073076,0.9632432432432433,0.5308108108108108
Indri-TTS-0.1,-11.05397,2.73531,0.07819383259947968,0.0814977973582911,0.966881686595343,0.9693989930774072,0.9322687224669604,0.9553964757709252,0.8665943600867679,0.9121475054229936
Kani-TTS-370M,-11.07769,2.78509,0.27272727272727265,0.2202643171806545,0.7862434921906287,0.8433119743692431,0.7714757709251101,0.8036143372046456,0.5484221980413493,0.8781284004352558
Kitten-TTS-Nano-0.1,-11.27775,2.68213,0.08149779735790931,0.0495594713653781,0.9817495280050346,0.9904027690371304,0.947136563876652,0.9752202643171806,0.89587852494577,0.9511930585683296
Kitten-TTS-Nano-0.2,-11.13214,2.69919,0.12499999999999997,0.0625,0.9609030837004406,0.973430616740088,0.8967511013215859,0.9456222466960352,0.9177489177489178,0.9534632034632036
Kyutai-TTS,-11.10458,2.69058,0.21052631578944866,0.1541850220255072,0.9120681660097381,0.9363552051936008,0.8437282633897518,0.914647577092511,0.7443365695792881,0.8327939590075513
Llasa-1B-Multilingual,-11.06328,2.67872,0.3125000000000023,0.1574889867839805,0.774022577092511,0.92903359030837,0.754818281938326,0.8828469162995595,0.9404761904761905,0.8300865800865801
Llasa-8B,-11.13795,2.7481,0.3799559471361755,0.2621145374438587,0.7030714635340186,0.7773494860499266,0.6917523250122369,0.7578316201664219,0.6090712742980562,0.7386609071274298
Mars5,-11.32011,2.84054,0.37500000000000006,0.4374999999999708,0.692318281938326,0.5824614537444934,0.6957599118942731,0.6172907488986784,0.5227272727272727,0.2478354978354978
Marvis-TTS,-11.07228,2.7861,0.2000000000000011,0.2000000000003107,0.8964757709251101,0.9240088105726872,0.8915198237885462,0.873568281938326,0.7842278203723987,0.9463307776560788
MatchaTTS,-11.11983,2.76045,0.23568281938330735,0.1000000000000026,0.8896475770925111,0.9284140969162996,0.8248898678414097,0.9026431718061674,0.6535947712418301,0.9052287581699346
Maya1 TTS,-10.7007,2.72062,0.15528634361142962,0.1764705882351814,0.920704845814978,0.8826768592899714,0.8714692925628401,0.8633065561026172,0.8043243243243243,0.9016216216216216
