system,eer,auc,acc,bal_acc,n_spoof
Spark-TTS-0.5B,0.62114537444881,0.29240088105726875,0.01948051948051948,0.501101321585903,16
ZipVoice,0.5833333333333333,0.4306167400881057,0.9858695652173913,0.5405653450807636,12
Index-TTS-1.5,0.5333333333333328,0.405726872246696,0.5731310942578548,0.5207782672540382,15
FireRedTTS-2.0,0.5330396475766771,0.4859581497797357,0.4036796536796537,0.5737885462555066,16
Openaudio-S1-Mini,0.48000000000000004,0.5596475770925111,0.8188638799571275,0.5957488986784141,25
Higgs-Audio-V2,0.47826086956521735,0.4947806933537637,0.7099892588614393,0.5546830109174488,23
f5-tts,0.4705882352941175,0.5603135527338688,0.9524324324324325,0.6005765742420316,17
VoxCPM-1.5,0.44823788546372173,0.5125865324103209,0.7689804772234273,0.5662366268093141,14
WhisperSpeech,0.4196035242288644,0.6372456471575414,0.7222820236813778,0.6253408852527795,21
microsoft_speecht5_tts,0.41666666666666424,0.6495961820851689,0.7923913043478261,0.6481277533039648,12
OuteTTS,0.4162995594716272,0.6576391670004005,0.7623655913978494,0.6565378454144974,22
VoxCPM-0.5B,0.4085903083714087,0.5914575751771691,0.7540279269602578,0.6408255123539552,23
Index-TTS-2.0,0.4074889867838387,0.6169344389738274,0.5178378378378379,0.66782197460482,17
Mars5,0.40418502202745105,0.705534140969163,0.5043290043290043,0.7170980176211453,16
Nari Dia2,0.40198237885511184,0.6963356027232679,0.48313384113166485,0.7384361233480177,11
FishTTS,0.4000000000000001,0.6658590308370044,0.5752979414951246,0.6530102790014685,15
Voxtream,0.39647577092567027,0.6534508076358296,0.541036717062635,0.6570606950562898,18
Metavoice-1B,0.38766519823849066,0.7100377595972309,0.5488069414316703,0.7709251101321586,14
NeuTTS-Air,0.37499999999999994,0.7206084801762115,0.775974025974026,0.7018171806167401,16
e2-tts,0.3656387665181552,0.6516382158590308,0.5151515151515151,0.6612059471365639,16
Microsoft VibeVoice 1.5B,0.36453744493222817,0.6733310742121315,0.8067318132464713,0.674517112843104,13
Chatterbox,0.3571428571428571,0.6956419131529263,0.5357917570498916,0.6939899307740718,14
griffin_lim,0.3333333333333398,0.6771659324522761,0.7497291440953413,0.6761013215859031,15
SoulX-Podcast,0.3259911894264169,0.7183370044052863,0.6684782608695652,0.7498164464023496,12
