system,C,T,baseline_eer,model_eer,d_eer,baseline_auc,model_auc,d_auc,d_bal_acc,d_acc,eer_improved,auc_corroborated
Marvis-TTS,-11.07228,2.7861,0.2000000000003107,0.05653450807675203,-0.14346549192355867,0.9240088105726872,0.9790748898678414,0.05506607929515417,0.09816446402349488,-0.002555677254472255,True,True
Spark-TTS-0.5B,-10.85044,2.8038,0.625,0.49999999999994965,-0.12500000000005035,0.3876651982378855,0.4737518355359765,0.08608663729809102,0.055157856093979496,-0.4145021645021645,True,True
MegaTTS3,-10.87811,2.81748,0.3571428571428213,0.26101321585925913,-0.09612964128356216,0.7709251101321586,0.817180616740088,0.04625550660792943,0.03172855045101741,0.2010122921185829,True,True
Mars5,-11.32011,2.84054,0.4374999999999708,0.3493942731272945,-0.08810572687267632,0.5824614537444934,0.7122797356828193,0.1298182819383259,0.08750917767988253,0.3932178932178933,True,True
"Resemble.ai (April 12th, 2025)",-10.97008,2.89231,0.2777777777775597,0.19138521781720386,-0.08639255996035583,0.8188325991189427,0.8863191385217818,0.06748653940283911,0.0790708108990047,-0.07631389488840878,True,True
MiniCPM-o-2.6,-10.42072,2.73015,0.3303964757709247,0.25183553597644764,-0.07856093979447704,0.7543502202643172,0.8185756240822321,0.06422540381791486,0.040308370044052855,-0.06465517241379315,True,True
Index-TTS-2.0,-11.02141,2.74238,0.428414096917327,0.35294117647048523,-0.07547292044684178,0.6142135268204197,0.7078042670812819,0.09359074026086212,0.03806037833635656,0.1502702702702703,True,True
Index-TTS-1.5,-11.09735,2.74406,0.5999999999999996,0.5258932941746823,-0.07410670582531731,0.3758443465491923,0.4692119432207538,0.09336759667156153,0.05015907978463041,0.5716865294330084,True,True
minimax_speech-02-turbo,-11.02915,2.74086,0.1818181818181817,0.1106995060745221,-0.07111867574365961,0.932819383259912,0.9572820718195166,0.02446268855960465,0.05748564944600176,-0.004715270221254952,True,True
FireRedTTS-2.0,-9.67617,2.74047,0.6249999999999997,0.5592878120412935,-0.06571218795870615,0.3053414096916299,0.4305479074889868,0.12520649779735693,0.04969713656387664,0.39935064935064934,True,True
OpenVoiceV2,-11.36205,2.6472,0.2621145374449449,0.19850709740601732,-0.06360744003892757,0.7904552129221734,0.8819872736172295,0.09153206069505615,0.0693954968184044,0.09353557240881194,True,True
Microsoft VibeVoice 1.5B,-11.06696,2.72165,0.3846153846153616,0.32582175533750835,-0.058793629277853254,0.646645205015249,0.7466960352422908,0.10005083022704175,0.070668135095448,0.13934129569308717,True,True
e2-tts,-10.92617,2.76124,0.3711453744483705,0.3142437591771638,-0.056901615271206685,0.7031938325991189,0.7247384361233481,0.021544603524229156,0.016749265785609313,0.13347763347763353,True,True
Openaudio-S1-Mini,-10.82325,2.85961,0.3999999999999531,0.34434654919143565,-0.05565345080851747,0.6790748898678415,0.7245814977973568,0.04550660792951533,0.04930983847283421,0.07073954983922826,True,True
Supertonic,-11.13805,2.78536,0.125,0.0695668135100513,-0.0554331864899487,0.969920154185022,0.9711820851688694,0.0012619309838474146,0.028175477239353874,0.015151515151515027,True,True
Maya1 TTS,-10.7007,2.72062,0.1764705882351814,0.13129480867185306,-0.045175779563328355,0.8826768592899714,0.9365552388356223,0.05387837954565089,0.02728470242722658,-0.02198198198198209,True,True
VoxCPM-0.5B,-10.66426,2.74095,0.4140969162984599,0.36961310093901006,-0.04448381535944984,0.6096533231181767,0.6880067675413395,0.07835344442316283,0.0428876971206027,-0.1367704976727533,True,True
Microsoft VibeVoice Large,-11.20791,2.80826,0.2352941176470588,0.19260171028765297,-0.042692407359405826,0.8701736201088366,0.8968212835795111,0.026647663470674487,0.00924246350522584,0.09369369369369385,True,True
Llasa-8B,-11.13795,2.7481,0.2621145374438587,0.22267090879472407,-0.03944362864913464,0.7773494860499266,0.8420011421112742,0.0646516560613476,0.03391662587697841,-0.004679625629949724,True,True
minimax_speech-2.6-hd,-11.40033,2.69219,0.2500000000001466,0.21818404307368333,-0.031815956926463274,0.8198421439060205,0.8748776309348997,0.05503548702887917,0.030041605482134193,-0.048913043478260976,True,True
SoulX-Podcast,-10.93597,2.76337,0.3333333333333337,0.3055555555557827,-0.027777777777551027,0.6994309838472834,0.742137787567303,0.04270680372001956,-0.004833578071463673,0.04456521739130437,True,True
NeuTTS-Air,-11.09782,2.80331,0.25,0.22246696035226252,-0.027533039647737484,0.7926762114537446,0.8198191997063143,0.027142988252569777,0.025743392070484705,0.0707070707070705,True,True
RVC,-11.10697,2.72935,0.2857142857142856,0.2619047619048487,-0.023809523809436905,0.7556639395846445,0.7899360184602475,0.03427207887560302,0.03450807635829656,-0.09363702096890825,True,True
orpheus-tts-0.1-finetune,-11.16202,2.73997,0.0909090909090912,0.06758109731684654,-0.02332799359224466,0.947436924309171,0.973000934454679,0.02556401014550791,0.03442464290481895,0.038447587957925355,True,True
suno_bark-small,-10.97017,2.74983,0.2147577092521519,0.19787077826749144,-0.01688693098466046,0.8414096916299559,0.8800083910216069,0.03859869939165095,-0.006581707572897,0.010122921185828027,True,True
DeepGram,-11.17381,2.62221,0.157488986784906,0.14239680208923652,-0.015092184695669475,0.9358786098874204,0.9494207864251917,0.013542176537771233,-0.012257301354217653,0.04834605597964392,True,True
OuteTTS,-10.98285,2.79802,0.3931718061669267,0.37878787878787995,-0.014383927379046757,0.6662995594713657,0.6627452943532239,-0.0035542651181417195,0.011447069817113853,0.26774193548387104,True,False
Llasa-1B-Multilingual,-11.06328,2.67872,0.1574889867839805,0.14317180616726802,-0.014317180616712472,0.92903359030837,0.9374082232011746,0.008374632892804601,-0.0008718795888399411,0.018398268398268525,True,True
Qwen2.5-Omni,-11.10027,2.65093,0.280837004404946,0.2687224669607117,-0.012114537444234297,0.7711611076148521,0.8002412418711978,0.029080134256345702,0.018250471994965323,-0.056399132321041434,True,True
Kyutai-TTS,-11.10458,2.69058,0.1541850220255072,0.14477548496755777,-0.009409537057949446,0.9363552051936008,0.9418231702604528,0.0054679650668519875,-0.01391143055877575,-0.010427903631787139,True,True
MeloTTS,-11.02763,2.75371,0.2307692307692276,0.22156331187156078,-0.00920591889766681,0.912741443578448,0.8739127979216086,-0.03882864565683941,-0.03656952445498707,0.05247918928700679,True,False
Nari Dia-1.6B,-11.2362,2.78417,0.2290748898677189,0.22453610999908413,-0.004538779868634768,0.8932719263115739,0.8630690161527167,-0.030202910158857232,-0.020658123081030544,-0.011244105912223357,True,False
facebook_mms-tts-eng,-11.25166,2.6995,0.1024229074873087,0.09940447054995454,-0.003018436937354166,0.9626162506118452,0.964064284548866,0.001448033937020754,0.0005506607929515184,0.001079913606911398,True,True
VoxCPM-1.5,-11.05028,2.80275,0.4779735682815185,0.47619047619056926,-0.0017830920909492343,0.5553807426054123,0.5654237465911475,0.01004300398573521,-0.005323054331864974,-0.17208966015907456,True,True
Edge-TTS,-10.92675,2.75393,0.2059471365635573,0.20468265622399684,-0.0012644803395604476,0.8947626040137053,0.8701664219285364,-0.024596182085168894,-0.010401370533529186,0.08833151581243204,True,False
WhisperSpeech,-11.26201,2.76802,0.3809523809525412,0.38095238095237915,-1.620370504440416e-13,0.6815082861338368,0.6907384099014054,0.009230123767568599,0.018766170197888288,-0.2967348403301041,True,True
