system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
FireRedTTS-2.0,-9.67617,2.74047,0.5592878120412935,0.6249999999999997,0.4305479074889868,0.3053414096916299,0.5546530837004405,0.5049559471365639,0.42640692640692635,0.027056277056277
Index-TTS-1.5,-11.09735,2.74406,0.5258932941746823,0.5999999999999996,0.4692119432207538,0.3758443465491923,0.5727361722956437,0.5225770925110133,0.6323582520765619,0.0606717226435536
Higgs-Audio-V2,-11.109,2.80124,0.4798091042587887,0.4347826086956909,0.575512353955181,0.6046734342080062,0.6184798569878057,0.6251436506416395,0.8757608306480488,0.7647690655209453
ZipVoice,-10.86822,2.80332,0.368575624082587,0.3469162995605787,0.6488925599608418,0.6422540381791483,0.6612212432697014,0.6598751835535976,0.7641304347826088,0.6532608695652173
VoxCPM-1.5,-11.05028,2.80275,0.47619047619056926,0.4779735682815185,0.5654237465911475,0.5553807426054123,0.6088210614642332,0.6141441157960982,0.6912509038322486,0.8633405639913232
Spark-TTS-0.5B,-10.85044,2.8038,0.49999999999994965,0.625,0.4737518355359765,0.3876651982378855,0.5824155653450808,0.5272577092511013,0.5010822510822511,0.9155844155844156
f5-tts,-10.75229,2.70689,0.4079208776019622,0.3898678414094841,0.6509674354323227,0.6410987302409951,0.6781441651550488,0.6362723503498315,0.8025225225225224,0.9091891891891892
OuteTTS,-10.98285,2.79802,0.37878787878787995,0.3931718061669267,0.6627452943532239,0.6662995594713657,0.6586737418235216,0.6472266720064077,0.8387096774193549,0.5709677419354838
FishTTS,-11.17461,2.7008,0.3446402349485193,0.2666666666666666,0.749681840430739,0.8086637298091043,0.7152838962310328,0.7683553597650514,0.8483206933911158,0.866738894907909
Chatterbox,-11.13056,2.82544,0.3640130060836395,0.285714285714382,0.7445196140130061,0.7168030207677785,0.6992867631634151,0.7244336060415355,0.5231381055676066,0.7342733188720173
Nari Dia2,-11.16706,2.70401,0.35792951541846496,0.2819383259912535,0.6896942998264585,0.7294753704445334,0.6971198771859566,0.722667200640769,0.7859992745738121,0.7181719260065288
SoulX-Podcast,-10.93597,2.76337,0.3055555555557827,0.3333333333333337,0.742137787567303,0.6994309838472834,0.747552618697993,0.7523861967694567,0.8804347826086957,0.8358695652173913
griffin_lim,-10.82422,2.8566,0.40543318649089083,0.4,0.6326725403817915,0.6585168869309839,0.6524596182085168,0.6355726872246696,0.5742145178764897,0.8634886240520043
Voxtream,-10.93791,2.77738,0.332966226139117,0.3270925110123337,0.7046010768477728,0.7098017621145374,0.7071708272148801,0.6975648556045031,0.6393088552915768,0.673866090712743
vixTTS,-11.27667,2.78681,0.33470998531575463,0.2257709251091819,0.7409599853157122,0.8531112334801761,0.7502294419970633,0.8235132158590308,0.6096681096681097,0.7738095238095238
e2-tts,-10.92617,2.76124,0.3142437591771638,0.3711453744483705,0.7247384361233481,0.7031938325991189,0.7093428781204111,0.6925936123348018,0.7103174603174603,0.5768398268398268
WhisperSpeech,-11.26201,2.76802,0.38095238095237915,0.3809523809525412,0.6907384099014054,0.6815082861338368,0.6615970911125096,0.6428309209146214,0.5052027269465375,0.8019375672766416
Mars5,-11.32011,2.84054,0.3493942731272945,0.4374999999999708,0.7122797356828193,0.5824614537444934,0.7047999265785609,0.6172907488986784,0.6410533910533911,0.2478354978354978
Metavoice-1B,-11.26542,2.78059,0.3192783721423728,0.2857142857140903,0.751887979861548,0.776431718061674,0.7450964967484791,0.7857929515418502,0.5441070137382501,0.5780911062906724
Index-TTS-2.0,-11.02141,2.74238,0.35294117647048523,0.428414096917327,0.7078042670812819,0.6142135268204197,0.6836291785436641,0.6455688002073076,0.6810810810810811,0.5308108108108108
Microsoft VibeVoice 1.5B,-11.06696,2.72165,0.32582175533750835,0.3846153846153616,0.7466960352422908,0.646645205015249,0.7253614593922965,0.6546933242968485,0.9069851610568223,0.7676438653637351
VoxCPM-0.5B,-10.66426,2.74095,0.36961310093901006,0.4140969162984599,0.6880067675413395,0.6096533231181767,0.6674806869692906,0.6245929898486879,0.6269244539921232,0.7636949516648764
Openaudio-S1-Mini,-10.82325,2.85961,0.34434654919143565,0.3999999999999531,0.7245814977973568,0.6790748898678415,0.7011820851688694,0.6518722466960352,0.7717041800643086,0.7009646302250804
microsoft_speecht5_tts,-11.04778,2.79557,0.30017131669113123,0.2500000000002551,0.7783590308370044,0.7678964757709251,0.7520802741067057,0.7615638766519823,0.7000000000000001,0.7728260869565218
MegaTTS3,-10.87811,2.81748,0.26101321585925913,0.3571428571428213,0.817180616740088,0.7709251101321586,0.7685126914201804,0.736784140969163,0.6825741142443963,0.4815618221258134
sesame_csm,-10.80728,2.79118,0.31678527053002226,0.2830396475764219,0.760872020783915,0.800152490681125,0.7288489777476562,0.7699932226363944,0.5899384726746291,0.6959826275787188
Qwen2.5-Omni,-11.10027,2.65093,0.2687224669607117,0.280837004404946,0.8002412418711978,0.7711611076148521,0.7868942731277532,0.7686438011327879,0.9034707158351409,0.9598698481561824
suno_bark,-10.55239,2.80122,0.2588105726876952,0.2511013215846743,0.8258338577721838,0.8059314033983637,0.7666771554436753,0.7673064820641913,0.8405639913232105,0.7494577006507592
suno_bark-small,-10.97017,2.74983,0.19787077826749144,0.2147577092521519,0.8800083910216069,0.8414096916299559,0.8316026851269142,0.8381843926998112,0.7606652205350688,0.7505422993492408
Nari Dia-1.6B,-11.2362,2.78417,0.22453610999908413,0.2290748898677189,0.8630690161527167,0.8932719263115739,0.816045921772794,0.8367040448538245,0.7548059484947407,0.766050054406964
OpenVoiceV2,-11.36205,2.6472,0.19850709740601732,0.2621145374449449,0.8819872736172295,0.7904552129221734,0.8383382280959374,0.768942731277533,0.8324304803178043,0.7388949079089924
NeuTTS-Air,-11.09782,2.80331,0.22246696035226252,0.25,0.8198191997063143,0.7926762114537446,0.8031387665198239,0.7773953744493391,0.8142135642135641,0.7435064935064936
minimax_speech-2.6-hd,-11.40033,2.69219,0.21818404307368333,0.2500000000001466,0.8748776309348997,0.8198421439060205,0.8490577581987274,0.8190161527165932,0.9184782608695651,0.967391304347826
MiniCPM-o-2.6,-10.42072,2.73015,0.25183553597644764,0.3303964757709247,0.8185756240822321,0.7543502202643172,0.781057268722467,0.7407488986784141,0.7629310344827586,0.8275862068965517
RVC,-11.10697,2.72935,0.2619047619048487,0.2857142857142856,0.7899360184602475,0.7556639395846445,0.7721575414306692,0.7376494650723726,0.6666666666666666,0.7603036876355749
"Resemble.ai (April 12th, 2025)",-10.97008,2.89231,0.19138521781720386,0.2777777777775597,0.8863191385217818,0.8188325991189427,0.835617555881873,0.7565467449828683,0.8200143988480922,0.896328293736501
Microsoft VibeVoice Large,-11.20791,2.80826,0.19260171028765297,0.2352941176470588,0.8968212835795111,0.8701736201088366,0.8361082318389911,0.8268657683337652,0.8104504504504506,0.7167567567567568
MeloTTS,-11.02763,2.75371,0.22156331187156078,0.2307692307692276,0.8739127979216086,0.912741443578448,0.8274172596859821,0.8639867841409692,0.7842924357582337,0.7318132464712269
Llasa-8B,-11.13795,2.7481,0.22267090879472407,0.2621145374438587,0.8420011421112742,0.7773494860499266,0.7917482460434003,0.7578316201664219,0.7339812814974801,0.7386609071274298
Step-Audio-EditX,-11.19811,2.72185,0.2263716459755035,0.2015418502210192,0.8465491923641704,0.841309571485783,0.8098885329061541,0.808319983980777,0.7722161770039898,0.7986942328618063
parler_tts_large_v1,-10.88228,2.72001,0.15712187958889715,0.1046255506613693,0.9208883994126285,0.953508495909377,0.873846234529054,0.9449339207048458,0.8669558929862617,0.8915401301518439
parler_tts_mini_v1,-11.02714,2.73203,0.19211943220823915,0.1420704845810204,0.8944566813509546,0.9449339207048458,0.8650881057268723,0.928964757709251,0.7319474835886215,0.8588621444201313
Cartesia.ai (Sonic-3),-11.13107,2.77879,0.18068348685067429,0.0909090909090908,0.9268789213723134,0.9535442531037244,0.8740488586303564,0.9204044853824588,0.8694232861806311,0.9314472252448314
Kani-TTS-370M,-11.07769,2.78509,0.242424242424248,0.2202643171806545,0.7847750634094247,0.8433119743692431,0.7885629421973034,0.8036143372046456,0.8483859267319551,0.8781284004352558
parler_tts_mini_v0.1,-10.93578,2.702,0.16271486568185822,0.1057268722460944,0.9066899887708386,0.9282845296708992,0.8558240476807463,0.9191500388701735,0.8302702702702702,0.9545945945945946
Edge-TTS,-10.92675,2.75393,0.20468265622399684,0.2059471365635573,0.8701664219285364,0.8947626040137053,0.8480788056779246,0.8584801762114538,0.8080697928026174,0.7197382769901853
DeepGram,-11.17381,2.62221,0.14239680208923652,0.157488986784906,0.9494207864251917,0.9358786098874204,0.9018396149453419,0.9140969162995596,0.8782260996001455,0.8298800436205016
Ringg Squirrel TTS v1.0,-11.25993,2.75387,0.15712187958819038,0.0881057268712717,0.9399167890357317,0.9727116984826236,0.8768967205090553,0.9281693587860989,0.865370770338373,0.9125269978401728
Maya1 TTS,-10.7007,2.72062,0.13129480867185306,0.1764705882351814,0.9365552388356223,0.8826768592899714,0.8905912585298438,0.8633065561026172,0.8796396396396395,0.9016216216216216
kokoro,-11.13242,2.85862,0.1473452353353334,0.1321585903070981,0.9394659556379937,0.9556573150939022,0.8849312157044595,0.915748898678414,0.9428263214670981,0.8349514563106796
MatchaTTS,-11.11983,2.76045,0.19162995594672197,0.1000000000000026,0.8754772393538913,0.9284140969162996,0.8499632892804699,0.9026431718061674,0.8010167029774872,0.9052287581699346
optispeech,-11.08127,2.75023,0.0979651772600914,0.0737885462561879,0.9678781204111601,0.9431246066708622,0.9256870148940632,0.927391441157961,0.8767172812725957,0.9262472885032538
Kyutai-TTS,-11.10458,2.69058,0.14477548496755777,0.1541850220255072,0.9418231702604528,0.9363552051936008,0.9007361465337352,0.914647577092511,0.8223660553757641,0.8327939590075513
Llasa-1B-Multilingual,-11.06328,2.67872,0.14317180616726802,0.1574889867839805,0.9374082232011746,0.92903359030837,0.8819750367107195,0.8828469162995595,0.8484848484848486,0.8300865800865801
Kitten-TTS-Nano-0.2,-11.13214,2.69919,0.07002569750353653,0.0625,0.9866235315712188,0.973430616740088,0.9570943465491925,0.9456222466960352,0.9357864357864357,0.9534632034632036
minimax_speech-02-turbo,-11.02915,2.74086,0.1106995060745221,0.1818181818181817,0.9572820718195166,0.932819383259912,0.9109598184488051,0.8534741690028034,0.8832063837504535,0.8879216539717084
Veena,-11.30142,2.76771,0.10958149779687816,0.105726872245475,0.9503258076358296,0.9620732378854624,0.9225862701908958,0.9454845814977972,0.8679653679653679,0.8928571428571429
Kitten-TTS-Nano-0.1,-11.27775,2.68213,0.09612964128374597,0.0495594713653781,0.9605884203901826,0.9904027690371304,0.9237203692049506,0.9752202643171806,0.9190166305133767,0.9511930585683296
