system,eer,auc,acc,bal_acc,n_spoof
Spark-TTS-0.5B,0.5624999999998782,0.40755781938325997,0.14285714285714285,0.5638766519823788,16
FireRedTTS-2.0,0.5154185022033245,0.4826541850220264,0.79004329004329,0.5554790748898679,16
Index-TTS-1.5,0.5110132158573802,0.5162995594713656,0.29252437703141926,0.6076358296622614,15
VoxCPM-1.5,0.5,0.5645059786028949,0.9067245119305857,0.6010069225928256,14
Higgs-Audio-V2,0.47826086956521735,0.5831737215092894,0.7883995703544576,0.6372581880865735,23
sesame_csm,0.4118942731285104,0.6872246696035242,0.3463626492942454,0.6685022026431718,13
f5-tts,0.4117647058823529,0.6717413837781809,0.8551351351351352,0.7241837263539777,17
griffin_lim,0.40000000000040237,0.6292217327459618,0.5590465872156013,0.6447503671071952,15
Microsoft VibeVoice 1.5B,0.3986784140983357,0.6788376821416469,0.8642779587404995,0.6657912572009488,13
VoxCPM-0.5B,0.3986784140980576,0.6486784140969163,0.6809881847475833,0.6245690480750814,23
Openaudio-S1-Mini,0.39096916299468126,0.6837444933920704,0.8520900321543409,0.6906167400881058,25
WhisperSpeech,0.3809523809523801,0.7061044682190056,0.5209903121636168,0.6619204950702748,21
Chatterbox,0.3777533039652359,0.7201069855254878,0.36984815618221256,0.6800660792951542,14
Nari Dia2,0.35792951541780205,0.6713055666800161,0.7410228509249184,0.6893271926311574,11
Index-TTS-2.0,0.35294117647057505,0.7147577092511013,0.5783783783783784,0.6986589790101062,17
ZipVoice,0.3381057268729294,0.666758443465492,0.7434782608695653,0.6644640234948604,12
OuteTTS,0.3181818181818202,0.6733580296355627,0.6924731182795699,0.6872747296756108,22
Mars5,0.3125,0.7638353524229076,0.7803030303030303,0.7347191629955947,16
Voxtream,0.29735682819501214,0.7122491434165443,0.703023758099352,0.7124326970141948,18
vixTTS,0.2863436123341915,0.7628716960352423,0.7045454545454546,0.7575715859030837,16
Metavoice-1B,0.2857142857147811,0.7694304594084329,0.6258134490238612,0.7396947765890497,14
RVC,0.2857142857142857,0.7454373820012586,0.6106290672451193,0.7319855254877281,14
Kani-TTS-370M,0.27272727272728975,0.7726271525830997,0.9499455930359086,0.7950540648778535,11
Step-Audio-EditX,0.27272727272726877,0.8500200240288347,0.809575625680087,0.7689227072486984,11
