system,weight,C,T
FireRedTTS-2.0,3.0,-9.67617,2.74047
"Resemble.ai (April 12th, 2025)",2.8830425642282993,-10.97008,2.89231
Openaudio-S1-Mini,2.8310759830139767,-10.82325,2.85961
suno_bark,2.7877204975993704,-10.55239,2.80122
griffin_lim,2.7470356740626563,-10.82422,2.8566
MiniCPM-o-2.6,1.8541094032284247,-10.42072,2.73015
MegaTTS3,1.712174781369077,-10.87811,2.81748
Spark-TTS-0.5B,1.5901578642105678,-10.85044,2.8038
sesame_csm,1.5376831658246537,-10.80728,2.79118
ZipVoice,1.5286712074489952,-10.86822,2.80332
kokoro,1.5279662896056914,-11.13242,2.85862
VoxCPM-0.5B,1.2715039286199425,-10.66426,2.74095
OuteTTS,1.1612270265956515,-10.98285,2.79802
Chatterbox,1.123467865074434,-11.13056,2.82544
VoxCPM-1.5,1.0632763169071955,-11.05028,2.80275
Voxtream,1.0451956251278232,-10.93791,2.77738
microsoft_speecht5_tts,0.998931241206217,-11.04778,2.79557
Maya1 TTS,0.9781864427298302,-10.7007,2.72062
NeuTTS-Air,0.9735595554288498,-11.09782,2.80331
Higgs-Audio-V2,0.9340969932072668,-11.109,2.80124
SoulX-Podcast,0.9200067552986285,-10.93597,2.76337
e2-tts,0.9193432642214547,-10.92617,2.76124
Mars5,0.8919175512236357,-11.32011,2.84054
Marvis-TTS,0.8710833645536764,-11.07228,2.7861
Edge-TTS,0.8574515682914561,-10.92675,2.75393
Kani-TTS-370M,0.8537483105663293,-11.07769,2.78509
Microsoft VibeVoice Large,0.8214612290594311,-11.20791,2.80826
f5-tts,0.7771054297552045,-10.75229,2.70689
Supertonic,0.7601970214331866,-11.13805,2.78536
suno_bark-small,0.7576376486760943,-10.97017,2.74983
Cartesia.ai (Sonic-3),0.7246407677615312,-11.13107,2.77879
MeloTTS,0.7018360246829097,-11.02763,2.75371
parler_tts_large_v1,0.6807699015849584,-10.88228,2.72001
Index-TTS-2.0,0.6388465726048247,-11.02141,2.74238
MatchaTTS,0.6237574879702702,-11.11983,2.76045
minimax_speech-02-turbo,0.620299436774218,-11.02915,2.74086
Nari Dia-1.6B,0.6199132161693132,-11.2362,2.78417
optispeech,0.611353506576255,-11.08127,2.75023
vixTTS,0.5868831179998997,-11.27667,2.78681
parler_tts_mini_v1,0.573260985552343,-11.02714,2.73203
Metavoice-1B,0.5660010150249439,-11.26542,2.78059
Indri-TTS-0.1,0.5608134172687905,-11.05397,2.73531
Index-TTS-1.5,0.5590385717316331,-11.09735,2.74406
Llasa-8B,0.5361097287760974,-11.13795,2.7481
parler_tts_mini_v0.1,0.5176029162294641,-10.93578,2.702
WhisperSpeech,0.50644231580594,-11.26201,2.76802
Microsoft VibeVoice 1.5B,0.4809479016091432,-11.06696,2.72165
RVC,0.4778816388674772,-11.10697,2.72935
orpheus-tts-0.1-finetune,0.47380807765354677,-11.16202,2.73997
Veena,0.46734757815237066,-11.30142,2.76771
Ringg Squirrel TTS v1.0,0.44532047642425915,-11.25993,2.75387
Step-Audio-EditX,0.3723970558892262,-11.19811,2.72185
Kitten-TTS-Nano-0.2,0.34277064116973066,-11.13214,2.69919
Nari Dia2,0.33484128549233694,-11.16706,2.70401
Kyutai-TTS,0.33377339496652864,-11.10458,2.69058
Llasa-1B-Multilingual,0.32388190696023167,-11.06328,2.67872
FishTTS,0.3201272680161841,-11.17461,2.7008
facebook_mms-tts-eng,0.27182123242375994,-11.25166,2.6995
Qwen2.5-Omni,0.2320797126626094,-11.10027,2.65093
Kitten-TTS-Nano-0.1,0.21941916779148066,-11.27775,2.68213
minimax_speech-2.6-hd,0.18951975980037317,-11.40033,2.69219
DeepGram,0.15343089130156193,-11.17381,2.62221
OpenVoiceV2,0.13399112676682057,-11.36205,2.6472
