epoch,step,train-acc,train-auc,train-aug_loss,train-clip_loss,train-cls_loss,train-div_loss,train-eer,train-loss,val-acc,val-auc,val-aug_loss,val-clip_loss,val-cls_loss,val-eer,val-loss
0,516,,,,,,,,,0.5694319009780884,0.7815279960632324,0.0,0.007475691381841898,1.4308971166610718,0.30703336000442505,1.4346352815628052
0,516,0.7959381341934204,0.8784072995185852,0.015953220427036285,0.01315597165375948,0.4356074035167694,-15.341453552246094,0.20502901077270508,0.2967474162578583,,,,,,,
1,1033,,,,,,,,,0.5698827505111694,0.7908927798271179,0.0,0.0077747744508087635,1.4673844575881958,0.29125338792800903,1.4712717533111572
1,1033,0.8094777464866638,0.8919519186019897,0.014329896308481693,0.009667161852121353,0.41201210021972656,-15.32359504699707,0.19119922816753387,0.27077484130859375,,,,,,,
2,1550,,,,,,,,,0.5919747352600098,0.7513637542724609,0.0,0.007207497023046017,1.123241901397705,0.3086435794830322,1.1268455982208252
2,1550,0.8174081444740295,0.8980898857116699,0.012710025534033775,0.009028867818415165,0.4007960259914398,-15.332080841064453,0.1851780116558075,0.258344829082489,,,,,,,
3,2067,,,,,,,,,0.5045085549354553,0.7789403796195984,0.0,0.010977441444993019,2.2948615550994873,0.29272890090942383,2.3003504276275635
3,2067,0.8187620639801025,0.9010432958602905,0.011688904836773872,0.006848662625998259,0.3960454761981964,-15.334758758544922,0.1804991364479065,0.25196701288223267,,,,,,,
4,2584,,,,,,,,,0.5698827505111694,0.7799214124679565,0.0,0.00458123441785574,1.4889612197875977,0.2841684818267822,1.4912515878677368
4,2584,0.8226305842399597,0.9046428203582764,0.010394183918833733,0.008356536738574505,0.3891122043132782,-15.325457572937012,0.17798413336277008,0.24523302912712097,,,,,,,
