system,C,T,baseline_eer,model_eer,d_eer,baseline_auc,model_auc,d_auc,d_bal_acc,d_acc,eer_improved,auc_corroborated
Marvis-TTS,-11.07228,2.7861,0.2000000000003107,0.06020558003014167,-0.13979441997016903,0.9240088105726872,0.9790014684287812,0.054992657856093974,0.09632892804698978,-0.006206644760861635,True,True
Spark-TTS-0.5B,-10.85044,2.8038,0.625,0.5110132158585614,-0.11398678414143859,0.3876651982378855,0.4243070851688693,0.0366418869309838,0.022439427312775373,-0.4989177489177489,True,True
MegaTTS3,-10.87811,2.81748,0.3571428571428213,0.26190476190476647,-0.09523809523805482,0.7709251101321586,0.8126442206838682,0.041719110551709626,0.021554436752674655,0.27331887201735355,True,True
Mars5,-11.32011,2.84054,0.4374999999999708,0.3458149779735675,-0.09168502202640333,0.5824614537444934,0.7179928414096916,0.13553138766519812,0.09847650513950068,0.39466089466089466,True,True
OpenVoiceV2,-11.36205,2.6472,0.2621145374449449,0.1710719530096715,-0.09104258443527338,0.7904552129221734,0.9110866372980911,0.12063142437591778,0.0984214390602055,0.0646442759118816,True,True
Index-TTS-2.0,-11.02141,2.74238,0.428414096917327,0.3456422216458627,-0.08277187527146429,0.6142135268204197,0.6807679018744062,0.06655437505398643,0.027716593245227683,0.0544144144144143,True,True
Microsoft VibeVoice 1.5B,-11.06696,2.72165,0.3846153846153616,0.3076923076921783,-0.07692307692318329,0.646645205015249,0.7360499265785609,0.08940472156331192,0.06874788207387328,0.06080347448425616,True,True
MiniCPM-o-2.6,-10.42072,2.73015,0.3303964757709247,0.2544052863436786,-0.07599118942724609,0.7543502202643172,0.8194199706314245,0.06506975036710727,0.02342143906020555,-0.09770114942528729,True,True
e2-tts,-10.92617,2.76124,0.3711453744483705,0.29937591776830147,-0.07176945668006901,0.7031938325991189,0.715239537444934,0.01204570484581502,0.01968612334801756,0.13924963924963918,True,True
Index-TTS-1.5,-11.09735,2.74406,0.5999999999999996,0.5347772883016054,-0.06522271169839422,0.3758443465491923,0.4766275085658345,0.10078316201664222,0.04669603524229071,0.47887323943661975,True,True
RVC,-11.10697,2.72935,0.2857142857142856,0.22063142437590721,-0.06508286133837837,0.7556639395846445,0.8174166142227817,0.06175267463813716,0.06521397105097537,0.013015184381778622,True,True
"Resemble.ai (April 12th, 2025)",-10.97008,2.89231,0.2777777777775597,0.21312612171616582,-0.06465165606139386,0.8188325991189427,0.8885421765377712,0.06970957741882855,0.061102953173437724,-0.0759539236861051,True,True
Supertonic,-11.13805,2.78536,0.125,0.0644273127755568,-0.0605726872244432,0.969920154185022,0.9738895007342143,0.003969346549192343,0.03014867841409674,-0.00108225108225124,True,True
